,date,value,name_B08R8QSQ2H
0,2020-12-25,108127.0,Throw Pillow Covers
1,2020-12-26,108127.0,Throw Pillow Covers
2,2020-12-27,108127.0,Throw Pillow Covers
3,2020-12-28,108127.0,Throw Pillow Covers
4,2020-12-29,38046.0,Throw Pillow Covers
5,2020-12-30,26211.0,Throw Pillow Covers
6,2020-12-31,26439.0,Throw Pillow Covers
7,2021-01-01,26439.0,Throw Pillow Covers
8,2021-01-02,19786.0,Throw Pillow Covers
9,2021-01-03,19786.0,Throw Pillow Covers
10,2021-01-04,19786.0,Throw Pillow Covers
11,2021-01-05,22195.0,Throw Pillow Covers
12,2021-01-06,22195.0,Throw Pillow Covers
13,2021-01-07,24769.0,Throw Pillow Covers
14,2021-01-08,21961.0,Throw Pillow Covers
15,2021-01-09,21961.0,Throw Pillow Covers
16,2021-01-10,21961.0,Throw Pillow Covers
17,2021-01-11,19306.0,Throw Pillow Covers
18,2021-01-12,19306.0,Throw Pillow Covers
19,2021-01-13,19306.0,Throw Pillow Covers
20,2021-01-14,19137.0,Throw Pillow Covers
21,2021-01-15,17891.0,Throw Pillow Covers
22,2021-01-16,17891.0,Throw Pillow Covers
23,2021-01-17,17891.0,Throw Pillow Covers
24,2021-01-18,17891.0,Throw Pillow Covers
25,2021-01-19,24862.0,Throw Pillow Covers
26,2021-01-20,26323.0,Throw Pillow Covers
27,2021-01-21,26323.0,Throw Pillow Covers
28,2021-01-22,26323.0,Throw Pillow Covers
29,2021-01-23,26323.0,Throw Pillow Covers
30,2021-01-24,37520.0,Throw Pillow Covers
31,2021-01-25,37520.0,Throw Pillow Covers
32,2021-01-26,37520.0,Throw Pillow Covers
33,2021-01-27,49459.0,Throw Pillow Covers
34,2021-01-28,49459.0,Throw Pillow Covers
35,2021-01-29,53727.0,Throw Pillow Covers
36,2021-01-30,53727.0,Throw Pillow Covers
37,2021-01-31,53727.0,Throw Pillow Covers
38,2021-02-01,47243.0,Throw Pillow Covers
39,2021-02-02,47243.0,Throw Pillow Covers
40,2021-02-03,47243.0,Throw Pillow Covers
41,2021-02-04,33181.0,Throw Pillow Covers
42,2021-02-05,23672.0,Throw Pillow Covers
43,2021-02-06,28002.0,Throw Pillow Covers
44,2021-02-07,28002.0,Throw Pillow Covers
45,2021-02-08,28002.0,Throw Pillow Covers
46,2021-02-09,28002.0,Throw Pillow Covers
47,2021-02-10,28002.0,Throw Pillow Covers
48,2021-02-11,28002.0,Throw Pillow Covers
49,2021-02-12,28002.0,Throw Pillow Covers
50,2021-02-13,28002.0,Throw Pillow Covers
51,2021-02-14,29131.0,Throw Pillow Covers
52,2021-02-15,29131.0,Throw Pillow Covers
53,2021-02-16,29131.0,Throw Pillow Covers
54,2021-02-17,28835.0,Throw Pillow Covers
55,2021-02-18,28835.0,Throw Pillow Covers
56,2021-02-19,28835.0,Throw Pillow Covers
57,2021-02-20,28835.0,Throw Pillow Covers
58,2021-02-21,28835.0,Throw Pillow Covers
59,2021-02-22,28835.0,Throw Pillow Covers
60,2021-02-23,41009.0,Throw Pillow Covers
61,2021-02-24,41009.0,Throw Pillow Covers
62,2021-02-25,57420.0,Throw Pillow Covers
63,2021-02-26,57420.0,Throw Pillow Covers
64,2021-02-27,57420.0,Throw Pillow Covers
65,2021-02-28,57420.0,Throw Pillow Covers
66,2021-03-01,42731.0,Throw Pillow Covers
67,2021-03-02,42731.0,Throw Pillow Covers
68,2021-03-03,42731.0,Throw Pillow Covers
69,2021-03-04,43182.0,Throw Pillow Covers
70,2021-03-05,43182.0,Throw Pillow Covers
71,2021-03-06,61001.0,Throw Pillow Covers
72,2021-03-07,61001.0,Throw Pillow Covers
73,2021-03-08,61001.0,Throw Pillow Covers
74,2021-03-09,96330.0,Throw Pillow Covers
75,2021-03-10,96330.0,Throw Pillow Covers
76,2021-03-11,84329.0,Throw Pillow Covers
77,2021-03-12,84329.0,Throw Pillow Covers
78,2021-03-13,84329.0,Throw Pillow Covers
79,2021-03-14,84329.0,Throw Pillow Covers
80,2021-03-15,55694.0,Throw Pillow Covers
81,2021-03-16,69205.0,Throw Pillow Covers
82,2021-03-17,61609.0,Throw Pillow Covers
83,2021-03-18,61609.0,Throw Pillow Covers
84,2021-03-19,31599.0,Throw Pillow Covers
85,2021-03-20,22291.0,Throw Pillow Covers
86,2021-03-21,22291.0,Throw Pillow Covers
87,2021-03-22,22297.0,Throw Pillow Covers
88,2021-03-23,22297.0,Throw Pillow Covers
89,2021-03-24,22297.0,Throw Pillow Covers
90,2021-03-25,32471.0,Throw Pillow Covers
91,2021-03-26,38107.0,Throw Pillow Covers
92,2021-03-27,42777.0,Throw Pillow Covers
93,2021-03-28,42777.0,Throw Pillow Covers
94,2021-03-29,42777.0,Throw Pillow Covers
95,2021-03-30,34156.0,Throw Pillow Covers
96,2021-03-31,37825.0,Throw Pillow Covers
97,2021-04-01,34447.0,Throw Pillow Covers
98,2021-04-02,31857.0,Throw Pillow Covers
99,2021-04-03,31857.0,Throw Pillow Covers
100,2021-04-04,31857.0,Throw Pillow Covers
101,2021-04-05,40455.0,Throw Pillow Covers
102,2021-04-06,43222.0,Throw Pillow Covers
103,2021-04-07,43222.0,Throw Pillow Covers
104,2021-04-08,28472.0,Throw Pillow Covers
105,2021-04-09,28472.0,Throw Pillow Covers
106,2021-04-10,22994.0,Throw Pillow Covers
107,2021-04-11,29124.0,Throw Pillow Covers
108,2021-04-12,28165.0,Throw Pillow Covers
109,2021-04-13,24625.0,Throw Pillow Covers
110,2021-04-14,24137.0,Throw Pillow Covers
111,2021-04-15,24137.0,Throw Pillow Covers
112,2021-04-16,18484.0,Throw Pillow Covers
113,2021-04-17,18484.0,Throw Pillow Covers
114,2021-04-18,18484.0,Throw Pillow Covers
115,2021-04-19,18484.0,Throw Pillow Covers
