,date,value,name_B08Q6DKCNZ
0,2020-12-13,22725.0,Pill Dispensers & Reminders
1,2020-12-14,22725.0,Pill Dispensers & Reminders
2,2020-12-15,22725.0,Pill Dispensers & Reminders
3,2020-12-16,22725.0,Pill Dispensers & Reminders
4,2020-12-17,21857.0,Pill Dispensers & Reminders
5,2020-12-18,21857.0,Pill Dispensers & Reminders
6,2020-12-19,28558.0,Pill Dispensers & Reminders
7,2020-12-20,28558.0,Pill Dispensers & Reminders
8,2020-12-21,25516.0,Pill Dispensers & Reminders
9,2020-12-22,25516.0,Pill Dispensers & Reminders
10,2020-12-23,25516.0,Pill Dispensers & Reminders
11,2020-12-24,22943.0,Pill Dispensers & Reminders
12,2020-12-25,22943.0,Pill Dispensers & Reminders
13,2020-12-26,22943.0,Pill Dispensers & Reminders
14,2020-12-27,22608.0,Pill Dispensers & Reminders
15,2020-12-28,22608.0,Pill Dispensers & Reminders
16,2020-12-29,22608.0,Pill Dispensers & Reminders
17,2020-12-30,22608.0,Pill Dispensers & Reminders
18,2020-12-31,22608.0,Pill Dispensers & Reminders
19,2021-01-01,22608.0,Pill Dispensers & Reminders
20,2021-01-02,22608.0,Pill Dispensers & Reminders
21,2021-01-03,42624.0,Pill Dispensers & Reminders
22,2021-01-04,32644.0,Pill Dispensers & Reminders
23,2021-01-05,32644.0,Pill Dispensers & Reminders
24,2021-01-06,32644.0,Pill Dispensers & Reminders
25,2021-01-07,37563.0,Pill Dispensers & Reminders
26,2021-01-08,49712.0,Pill Dispensers & Reminders
27,2021-01-09,49712.0,Pill Dispensers & Reminders
28,2021-01-10,18148.0,Pill Dispensers & Reminders
29,2021-01-11,18148.0,Pill Dispensers & Reminders
30,2021-01-12,18148.0,Pill Dispensers & Reminders
31,2021-01-13,18148.0,Pill Dispensers & Reminders
32,2021-01-14,24847.0,Pill Dispensers & Reminders
33,2021-01-15,24847.0,Pill Dispensers & Reminders
34,2021-01-16,24847.0,Pill Dispensers & Reminders
35,2021-01-17,16944.0,Pill Dispensers & Reminders
36,2021-01-18,16469.0,Pill Dispensers & Reminders
37,2021-01-19,16469.0,Pill Dispensers & Reminders
38,2021-01-20,17421.0,Pill Dispensers & Reminders
39,2021-01-21,17421.0,Pill Dispensers & Reminders
40,2021-01-22,21130.0,Pill Dispensers & Reminders
