,date,value,name_B07G8NXN1Y
0,2018-08-28,139989.0,Wall & Tabletop Frames
1,2018-08-29,200682.0,Wall & Tabletop Frames
2,2018-08-30,314054.0,Wall & Tabletop Frames
3,2018-08-31,314054.0,Wall & Tabletop Frames
4,2018-09-01,314054.0,Wall & Tabletop Frames
5,2018-09-02,301634.0,Wall & Tabletop Frames
6,2018-09-03,249549.0,Wall & Tabletop Frames
7,2018-09-04,400507.0,Wall & Tabletop Frames
8,2018-09-05,250007.0,Wall & Tabletop Frames
9,2018-09-06,197510.0,Wall & Tabletop Frames
10,2018-09-07,197510.0,Wall & Tabletop Frames
11,2018-09-08,110259.0,Wall & Tabletop Frames
12,2018-09-09,224058.0,Wall & Tabletop Frames
13,2018-09-10,109777.0,Wall & Tabletop Frames
14,2018-09-11,150792.0,Wall & Tabletop Frames
15,2018-09-12,120585.0,Wall & Tabletop Frames
16,2018-09-13,120585.0,Wall & Tabletop Frames
17,2018-09-14,225798.0,Wall & Tabletop Frames
18,2018-09-15,312447.0,Wall & Tabletop Frames
19,2018-09-16,220106.0,Wall & Tabletop Frames
20,2018-09-17,201775.0,Wall & Tabletop Frames
21,2018-09-18,214153.0,Wall & Tabletop Frames
22,2018-09-19,221864.0,Wall & Tabletop Frames
23,2018-09-20,221864.0,Wall & Tabletop Frames
24,2018-09-21,98731.0,Wall & Tabletop Frames
25,2018-09-22,180636.0,Wall & Tabletop Frames
26,2018-09-23,176327.0,Wall & Tabletop Frames
27,2018-09-24,121185.0,Wall & Tabletop Frames
28,2018-09-25,247716.0,Wall & Tabletop Frames
29,2018-09-26,247716.0,Wall & Tabletop Frames
30,2018-09-27,247716.0,Wall & Tabletop Frames
31,2018-09-28,247716.0,Wall & Tabletop Frames
32,2018-09-29,247716.0,Wall & Tabletop Frames
33,2018-09-30,247716.0,Wall & Tabletop Frames
34,2018-10-01,225248.0,Wall & Tabletop Frames
35,2018-10-02,114229.0,Wall & Tabletop Frames
36,2018-10-03,114229.0,Wall & Tabletop Frames
37,2018-10-04,216276.0,Wall & Tabletop Frames
38,2018-10-05,123937.0,Wall & Tabletop Frames
39,2018-10-06,123937.0,Wall & Tabletop Frames
40,2018-10-07,123937.0,Wall & Tabletop Frames
41,2018-10-08,123937.0,Wall & Tabletop Frames
42,2018-10-09,123937.0,Wall & Tabletop Frames
43,2018-10-10,125056.0,Wall & Tabletop Frames
44,2018-10-11,152346.0,Wall & Tabletop Frames
45,2018-10-12,152346.0,Wall & Tabletop Frames
46,2018-10-13,120314.0,Wall & Tabletop Frames
47,2018-10-14,146752.0,Wall & Tabletop Frames
48,2018-10-15,213348.0,Wall & Tabletop Frames
49,2018-10-16,237399.0,Wall & Tabletop Frames
50,2018-10-17,237399.0,Wall & Tabletop Frames
51,2018-10-18,366169.0,Wall & Tabletop Frames
52,2018-10-19,414321.0,Wall & Tabletop Frames
53,2018-10-20,414321.0,Wall & Tabletop Frames
54,2018-10-21,362006.0,Wall & Tabletop Frames
55,2018-10-22,437428.0,Wall & Tabletop Frames
56,2018-10-23,437428.0,Wall & Tabletop Frames
57,2018-10-24,437428.0,Wall & Tabletop Frames
58,2018-10-25,437428.0,Wall & Tabletop Frames
59,2018-10-26,170065.0,Wall & Tabletop Frames
60,2018-10-27,307319.0,Wall & Tabletop Frames
61,2018-10-28,97900.0,Wall & Tabletop Frames
62,2018-10-29,84611.0,Wall & Tabletop Frames
63,2018-10-30,123984.0,Wall & Tabletop Frames
64,2018-10-31,123984.0,Wall & Tabletop Frames
65,2018-11-01,123984.0,Wall & Tabletop Frames
66,2018-11-02,123984.0,Wall & Tabletop Frames
67,2018-11-03,123984.0,Wall & Tabletop Frames
68,2018-11-04,135806.0,Wall & Tabletop Frames
69,2018-11-05,121566.0,Wall & Tabletop Frames
70,2018-11-06,121566.0,Wall & Tabletop Frames
71,2018-11-07,121566.0,Wall & Tabletop Frames
72,2018-11-08,121566.0,Wall & Tabletop Frames
73,2018-11-09,121566.0,Wall & Tabletop Frames
74,2018-11-10,124771.0,Wall & Tabletop Frames
75,2018-11-11,231189.0,Wall & Tabletop Frames
76,2018-11-12,231189.0,Wall & Tabletop Frames
77,2018-11-13,276707.0,Wall & Tabletop Frames
78,2018-11-14,276707.0,Wall & Tabletop Frames
79,2018-11-15,129776.0,Wall & Tabletop Frames
80,2018-11-16,218612.0,Wall & Tabletop Frames
81,2018-11-17,121555.0,Wall & Tabletop Frames
82,2018-11-18,121555.0,Wall & Tabletop Frames
83,2018-11-19,150981.0,Wall & Tabletop Frames
84,2018-11-20,150981.0,Wall & Tabletop Frames
85,2018-11-21,190374.0,Wall & Tabletop Frames
86,2018-11-22,124378.0,Wall & Tabletop Frames
87,2018-11-23,108193.0,Wall & Tabletop Frames
88,2018-11-24,108193.0,Wall & Tabletop Frames
89,2018-11-25,108193.0,Wall & Tabletop Frames
90,2018-11-26,130810.0,Wall & Tabletop Frames
91,2018-11-27,130810.0,Wall & Tabletop Frames
92,2018-11-28,130810.0,Wall & Tabletop Frames
93,2018-11-29,130810.0,Wall & Tabletop Frames
94,2018-11-30,130810.0,Wall & Tabletop Frames
95,2018-12-01,130810.0,Wall & Tabletop Frames
96,2018-12-02,130810.0,Wall & Tabletop Frames
97,2018-12-03,147214.0,Wall & Tabletop Frames
98,2018-12-04,147214.0,Wall & Tabletop Frames
99,2018-12-05,147214.0,Wall & Tabletop Frames
100,2018-12-06,147214.0,Wall & Tabletop Frames
101,2018-12-07,108391.0,Wall & Tabletop Frames
102,2018-12-08,92600.0,Wall & Tabletop Frames
103,2018-12-09,92600.0,Wall & Tabletop Frames
104,2018-12-10,92600.0,Wall & Tabletop Frames
105,2018-12-11,92600.0,Wall & Tabletop Frames
106,2018-12-12,92600.0,Wall & Tabletop Frames
107,2018-12-13,92600.0,Wall & Tabletop Frames
108,2018-12-14,79525.0,Wall & Tabletop Frames
109,2018-12-15,79525.0,Wall & Tabletop Frames
110,2018-12-16,79525.0,Wall & Tabletop Frames
111,2018-12-17,79525.0,Wall & Tabletop Frames
112,2018-12-18,79525.0,Wall & Tabletop Frames
113,2018-12-19,84246.0,Wall & Tabletop Frames
114,2018-12-20,84246.0,Wall & Tabletop Frames
115,2018-12-21,84246.0,Wall & Tabletop Frames
116,2018-12-22,84246.0,Wall & Tabletop Frames
117,2018-12-23,84246.0,Wall & Tabletop Frames
118,2018-12-24,84246.0,Wall & Tabletop Frames
