,date,value,name_B08GKQ4J6R
0,2020-08-26,4648.0,Accessories
1,2020-08-27,3869.0,Accessories
2,2020-08-28,3869.0,Accessories
3,2020-08-29,3076.0,Accessories
4,2020-08-30,3076.0,Accessories
5,2020-08-31,4238.0,Accessories
6,2020-09-01,2592.0,Accessories
7,2020-09-02,2849.0,Accessories
8,2020-09-03,2849.0,Accessories
9,2020-09-04,3376.0,Accessories
10,2020-09-05,3376.0,Accessories
11,2020-09-06,4033.0,Accessories
12,2020-09-07,4033.0,Accessories
13,2020-09-08,4033.0,Accessories
14,2020-09-09,1240.0,Accessories
15,2020-09-10,1240.0,Accessories
16,2020-09-11,1240.0,Accessories
17,2020-09-12,3321.0,Accessories
18,2020-09-13,3321.0,Accessories
19,2020-09-14,2880.0,Accessories
20,2020-09-15,2880.0,Accessories
21,2020-09-16,3648.0,Accessories
22,2020-09-17,3648.0,Accessories
23,2020-09-18,1329.0,Accessories
24,2020-09-19,1329.0,Accessories
25,2020-09-20,1837.0,Accessories
26,2020-09-21,2411.0,Accessories
27,2020-09-22,3038.0,Accessories
28,2020-09-23,3038.0,Accessories
29,2020-09-24,2032.0,Accessories
30,2020-09-25,2151.0,Accessories
31,2020-09-26,2151.0,Accessories
32,2020-09-27,2726.0,Accessories
33,2020-09-28,2492.0,Accessories
34,2020-09-29,2492.0,Accessories
35,2020-09-30,2750.0,Accessories
36,2020-10-01,2750.0,Accessories
37,2020-10-02,2750.0,Accessories
38,2020-10-03,3653.0,Accessories
39,2020-10-04,3653.0,Accessories
40,2020-10-05,3653.0,Accessories
41,2020-10-06,3868.0,Accessories
42,2020-10-07,3868.0,Accessories
43,2020-10-08,2735.0,Accessories
44,2020-10-09,3096.0,Accessories
45,2020-10-10,2997.0,Accessories
46,2020-10-11,3959.0,Accessories
47,2020-10-12,4146.0,Accessories
48,2020-10-13,4146.0,Accessories
49,2020-10-14,3045.0,Accessories
50,2020-10-15,3915.0,Accessories
51,2020-10-16,3915.0,Accessories
52,2020-10-17,3915.0,Accessories
53,2020-10-18,3915.0,Accessories
54,2020-10-19,3932.0,Accessories
55,2020-10-20,3932.0,Accessories
56,2020-10-21,2738.0,Accessories
57,2020-10-22,2738.0,Accessories
58,2020-10-23,4336.0,Accessories
59,2020-10-24,4726.0,Accessories
60,2020-10-25,2858.0,Accessories
61,2020-10-26,2858.0,Accessories
62,2020-10-27,2873.0,Accessories
63,2020-10-28,2873.0,Accessories
64,2020-10-29,2842.0,Accessories
65,2020-10-30,2842.0,Accessories
66,2020-10-31,2842.0,Accessories
67,2020-11-01,2093.0,Accessories
68,2020-11-02,2116.0,Accessories
69,2020-11-03,2116.0,Accessories
70,2020-11-04,3439.0,Accessories
71,2020-11-05,3439.0,Accessories
72,2020-11-06,3439.0,Accessories
73,2020-11-07,2599.0,Accessories
74,2020-11-08,2651.0,Accessories
75,2020-11-09,2651.0,Accessories
76,2020-11-10,3485.0,Accessories
77,2020-11-11,3485.0,Accessories
78,2020-11-12,3030.0,Accessories
79,2020-11-13,3030.0,Accessories
80,2020-11-14,1121.0,Accessories
81,2020-11-15,1121.0,Accessories
82,2020-11-16,2100.0,Accessories
83,2020-11-17,2100.0,Accessories
84,2020-11-18,3273.0,Accessories
85,2020-11-19,4210.0,Accessories
86,2020-11-20,4210.0,Accessories
87,2020-11-21,4210.0,Accessories
88,2020-11-22,5171.0,Accessories
89,2020-11-23,9165.0,Accessories
90,2020-11-24,9165.0,Accessories
91,2020-11-25,6990.0,Accessories
92,2020-11-26,6990.0,Accessories
93,2020-11-27,9456.0,Accessories
94,2020-11-28,9456.0,Accessories
95,2020-11-29,9456.0,Accessories
96,2020-11-30,9456.0,Accessories
97,2020-12-01,5438.0,Accessories
98,2020-12-02,5438.0,Accessories
99,2020-12-03,5438.0,Accessories
100,2020-12-04,5157.0,Accessories
101,2020-12-05,5157.0,Accessories
102,2020-12-06,5157.0,Accessories
103,2020-12-07,8706.0,Accessories
104,2020-12-08,7697.0,Accessories
105,2020-12-09,7697.0,Accessories
106,2020-12-10,7611.0,Accessories
107,2020-12-11,11003.0,Accessories
108,2020-12-12,9291.0,Accessories
109,2020-12-13,8748.0,Accessories
110,2020-12-14,6530.0,Accessories
111,2020-12-15,6474.0,Accessories
112,2020-12-16,7982.0,Accessories
113,2020-12-17,7263.0,Accessories
114,2020-12-18,6040.0,Accessories
115,2020-12-19,9108.0,Accessories
116,2020-12-20,6914.0,Accessories
117,2020-12-21,6818.0,Accessories
118,2020-12-22,7769.0,Accessories
119,2020-12-23,7769.0,Accessories
120,2020-12-24,4360.0,Accessories
121,2020-12-25,5973.0,Accessories
122,2020-12-26,7018.0,Accessories
123,2020-12-27,5958.0,Accessories
124,2020-12-28,8924.0,Accessories
125,2020-12-29,6385.0,Accessories
126,2020-12-30,6385.0,Accessories
127,2020-12-31,4803.0,Accessories
128,2021-01-01,4803.0,Accessories
129,2021-01-02,6760.0,Accessories
130,2021-01-03,6760.0,Accessories
131,2021-01-04,5747.0,Accessories
132,2021-01-05,5747.0,Accessories
133,2021-01-06,6844.0,Accessories
134,2021-01-07,6844.0,Accessories
135,2021-01-08,7561.0,Accessories
136,2021-01-09,7561.0,Accessories
137,2021-01-10,5333.0,Accessories
138,2021-01-11,5333.0,Accessories
139,2021-01-12,5333.0,Accessories
140,2021-01-13,11870.0,Accessories
141,2021-01-14,11870.0,Accessories
142,2021-01-15,11870.0,Accessories
143,2021-01-16,6514.0,Accessories
144,2021-01-17,6514.0,Accessories
145,2021-01-18,6839.0,Accessories
146,2021-01-19,6839.0,Accessories
147,2021-01-20,6839.0,Accessories
148,2021-01-21,4230.0,Accessories
149,2021-01-22,5831.0,Accessories
150,2021-01-23,5831.0,Accessories
151,2021-01-24,4207.0,Accessories
152,2021-01-25,4909.0,Accessories
153,2021-01-26,4909.0,Accessories
154,2021-01-27,4999.0,Accessories
155,2021-01-28,4999.0,Accessories
156,2021-01-29,4999.0,Accessories
157,2021-01-30,5431.0,Accessories
158,2021-01-31,5431.0,Accessories
159,2021-02-01,6792.0,Accessories
160,2021-02-02,6792.0,Accessories
161,2021-02-03,6792.0,Accessories
162,2021-02-04,4261.0,Accessories
163,2021-02-05,4261.0,Accessories
164,2021-02-06,5866.0,Accessories
165,2021-02-07,5866.0,Accessories
166,2021-02-08,5866.0,Accessories
167,2021-02-09,8700.0,Accessories
168,2021-02-10,8700.0,Accessories
169,2021-02-11,8700.0,Accessories
170,2021-02-12,8700.0,Accessories
171,2021-02-13,8700.0,Accessories
172,2021-02-14,8700.0,Accessories
173,2021-02-15,8700.0,Accessories
174,2021-02-16,5692.0,Accessories
175,2021-02-17,5692.0,Accessories
176,2021-02-18,5692.0,Accessories
177,2021-02-19,6564.0,Accessories
178,2021-02-20,6564.0,Accessories
179,2021-02-21,6564.0,Accessories
180,2021-02-22,8059.0,Accessories
181,2021-02-23,5342.0,Accessories
182,2021-02-24,8023.0,Accessories
183,2021-02-25,8023.0,Accessories
184,2021-02-26,8023.0,Accessories
185,2021-02-27,8023.0,Accessories
186,2021-02-28,8023.0,Accessories
187,2021-03-01,8023.0,Accessories
188,2021-03-02,7987.0,Accessories
189,2021-03-03,6851.0,Accessories
190,2021-03-04,6851.0,Accessories
191,2021-03-05,6783.0,Accessories
192,2021-03-06,7545.0,Accessories
193,2021-03-07,7545.0,Accessories
194,2021-03-08,4241.0,Accessories
195,2021-03-09,4241.0,Accessories
196,2021-03-10,4241.0,Accessories
197,2021-03-11,5488.0,Accessories
198,2021-03-12,5488.0,Accessories
199,2021-03-13,5488.0,Accessories
200,2021-03-14,5663.0,Accessories
201,2021-03-15,5663.0,Accessories
202,2021-03-16,5663.0,Accessories
203,2021-03-17,5685.0,Accessories
204,2021-03-18,3905.0,Accessories
205,2021-03-19,3430.0,Accessories
206,2021-03-20,3430.0,Accessories
207,2021-03-21,3430.0,Accessories
208,2021-03-22,5044.0,Accessories
209,2021-03-23,5044.0,Accessories
210,2021-03-24,5044.0,Accessories
211,2021-03-25,4445.0,Accessories
212,2021-03-26,4445.0,Accessories
213,2021-03-27,4445.0,Accessories
214,2021-03-28,4545.0,Accessories
215,2021-03-29,4545.0,Accessories
216,2021-03-30,5605.0,Accessories
217,2021-03-31,5605.0,Accessories
218,2021-04-01,5605.0,Accessories
219,2021-04-02,5097.0,Accessories
220,2021-04-03,5097.0,Accessories
221,2021-04-04,5097.0,Accessories
222,2021-04-05,4464.0,Accessories
223,2021-04-06,4464.0,Accessories
224,2021-04-07,4240.0,Accessories
225,2021-04-08,4240.0,Accessories
226,2021-04-09,4240.0,Accessories
227,2021-04-10,4509.0,Accessories
228,2021-04-11,4509.0,Accessories
229,2021-04-12,4996.0,Accessories
230,2021-04-13,4996.0,Accessories
231,2021-04-14,5068.0,Accessories
232,2021-04-15,5068.0,Accessories
233,2021-04-16,6568.0,Accessories
234,2021-04-17,9762.0,Accessories
235,2021-04-18,9762.0,Accessories
236,2021-04-19,28851.0,Accessories
237,2021-04-20,28851.0,Accessories
238,2021-04-21,36200.0,Accessories
239,2021-04-22,36200.0,Accessories
240,2021-04-23,16455.0,Accessories
241,2021-04-24,6043.0,Accessories
242,2021-04-25,5456.0,Accessories
243,2021-04-26,5456.0,Accessories
244,2021-04-27,5456.0,Accessories
245,2021-04-28,5567.0,Accessories
246,2021-04-29,5567.0,Accessories
247,2021-04-30,4525.0,Accessories
248,2021-05-01,4525.0,Accessories
249,2021-05-02,4525.0,Accessories
250,2021-05-03,6015.0,Accessories
251,2021-05-04,6015.0,Accessories
252,2021-05-05,4126.0,Accessories
253,2021-05-06,3394.0,Accessories
254,2021-05-07,3468.0,Accessories
255,2021-05-08,3655.0,Accessories
256,2021-05-09,4009.0,Accessories
257,2021-05-10,3460.0,Accessories
258,2021-05-11,3460.0,Accessories
259,2021-05-12,4280.0,Accessories
260,2021-05-13,3950.0,Accessories
261,2021-05-14,3950.0,Accessories
262,2021-05-15,4833.0,Accessories
263,2021-05-16,4833.0,Accessories
264,2021-05-17,3806.0,Accessories
265,2021-05-18,3806.0,Accessories
266,2021-05-19,3507.0,Accessories
267,2021-05-20,3882.0,Accessories
268,2021-05-21,4866.0,Accessories
269,2021-05-22,5598.0,Accessories
270,2021-05-23,5598.0,Accessories
271,2021-05-24,6220.0,Accessories
272,2021-05-25,6220.0,Accessories
273,2021-05-26,6220.0,Accessories
274,2021-05-27,19506.0,Accessories
275,2021-05-28,19506.0,Accessories
276,2021-05-29,19506.0,Accessories
277,2021-05-30,4269.0,Accessories
278,2021-05-31,4289.0,Accessories
279,2021-06-01,4289.0,Accessories
280,2021-06-02,4498.0,Accessories
281,2021-06-03,3563.0,Accessories
282,2021-06-04,3584.0,Accessories
283,2021-06-05,3584.0,Accessories
284,2021-06-06,3981.0,Accessories
285,2021-06-07,3981.0,Accessories
286,2021-06-08,3179.0,Accessories
287,2021-06-09,4162.0,Accessories
288,2021-06-10,4162.0,Accessories
289,2021-06-11,3452.0,Accessories
290,2021-06-12,3452.0,Accessories
291,2021-06-13,4988.0,Accessories
292,2021-06-14,4988.0,Accessories
293,2021-06-15,6803.0,Accessories
294,2021-06-16,6803.0,Accessories
295,2021-06-17,6454.0,Accessories
296,2021-06-18,10268.0,Accessories
297,2021-06-19,10268.0,Accessories
298,2021-06-20,7852.0,Accessories
299,2021-06-21,7852.0,Accessories
300,2021-06-22,10102.0,Accessories
301,2021-06-23,10102.0,Accessories
302,2021-06-24,9999.0,Accessories
303,2021-06-25,8458.0,Accessories
304,2021-06-26,8458.0,Accessories
305,2021-06-27,8458.0,Accessories
306,2021-06-28,8733.0,Accessories
307,2021-06-29,8733.0,Accessories
308,2021-06-30,8733.0,Accessories
309,2021-07-01,16801.0,Accessories
310,2021-07-02,16801.0,Accessories
311,2021-07-03,16801.0,Accessories
312,2021-07-04,16801.0,Accessories
313,2021-07-05,17845.0,Accessories
314,2021-07-06,17845.0,Accessories
315,2021-07-07,17845.0,Accessories
316,2021-07-08,17845.0,Accessories
317,2021-07-09,9630.0,Accessories
318,2021-07-10,13780.0,Accessories
