,date,value,name_B08MW1T4WR
0,2020-11-07,2771.0,Recovery Collars & Cones
1,2020-11-08,2771.0,Recovery Collars & Cones
2,2020-11-09,2443.0,Recovery Collars & Cones
3,2020-11-10,2666.0,Recovery Collars & Cones
4,2020-11-11,2328.0,Recovery Collars & Cones
5,2020-11-12,2394.0,Recovery Collars & Cones
6,2020-11-13,2626.0,Recovery Collars & Cones
7,2020-11-14,2763.0,Recovery Collars & Cones
8,2020-11-15,3181.0,Recovery Collars & Cones
9,2020-11-16,3181.0,Recovery Collars & Cones
10,2020-11-17,3722.0,Recovery Collars & Cones
11,2020-11-18,3714.0,Recovery Collars & Cones
12,2020-11-19,3714.0,Recovery Collars & Cones
13,2020-11-20,3714.0,Recovery Collars & Cones
14,2020-11-21,3714.0,Recovery Collars & Cones
15,2020-11-22,5046.0,Recovery Collars & Cones
16,2020-11-23,4766.0,Recovery Collars & Cones
17,2020-11-24,5193.0,Recovery Collars & Cones
18,2020-11-25,4074.0,Recovery Collars & Cones
19,2020-11-26,4055.0,Recovery Collars & Cones
20,2020-11-27,3185.0,Recovery Collars & Cones
21,2020-11-28,3568.0,Recovery Collars & Cones
22,2020-11-29,3568.0,Recovery Collars & Cones
23,2020-11-30,3568.0,Recovery Collars & Cones
24,2020-12-01,3229.0,Recovery Collars & Cones
25,2020-12-02,3955.0,Recovery Collars & Cones
26,2020-12-03,3955.0,Recovery Collars & Cones
27,2020-12-04,3861.0,Recovery Collars & Cones
28,2020-12-05,3861.0,Recovery Collars & Cones
29,2020-12-06,3961.0,Recovery Collars & Cones
30,2020-12-07,4155.0,Recovery Collars & Cones
31,2020-12-08,3579.0,Recovery Collars & Cones
32,2020-12-09,2957.0,Recovery Collars & Cones
33,2020-12-10,3143.0,Recovery Collars & Cones
34,2020-12-11,3143.0,Recovery Collars & Cones
35,2020-12-12,3143.0,Recovery Collars & Cones
36,2020-12-13,3143.0,Recovery Collars & Cones
37,2020-12-14,4080.0,Recovery Collars & Cones
38,2020-12-15,3716.0,Recovery Collars & Cones
39,2020-12-16,4606.0,Recovery Collars & Cones
40,2020-12-17,4778.0,Recovery Collars & Cones
41,2020-12-18,4848.0,Recovery Collars & Cones
42,2020-12-19,4848.0,Recovery Collars & Cones
43,2020-12-20,4749.0,Recovery Collars & Cones
44,2020-12-21,4569.0,Recovery Collars & Cones
45,2020-12-22,4120.0,Recovery Collars & Cones
46,2020-12-23,3372.0,Recovery Collars & Cones
47,2020-12-24,3433.0,Recovery Collars & Cones
48,2020-12-25,3848.0,Recovery Collars & Cones
