,date,value,name_B08MTKLB4J
0,2020-11-13,21743.0,Oils
1,2020-11-14,21743.0,Oils
2,2020-11-15,21743.0,Oils
3,2020-11-16,21743.0,Oils
4,2020-11-17,22443.0,Oils
5,2020-11-18,22443.0,Oils
6,2020-11-19,23912.0,Oils
7,2020-11-20,23124.0,Oils
8,2020-11-21,23124.0,Oils
9,2020-11-22,27852.0,Oils
10,2020-11-23,27852.0,Oils
11,2020-11-24,27852.0,Oils
12,2020-11-25,19484.0,Oils
13,2020-11-26,15782.0,Oils
14,2020-11-27,15782.0,Oils
15,2020-11-28,15782.0,Oils
16,2020-11-29,15323.0,Oils
17,2020-11-30,16457.0,Oils
18,2020-12-01,17258.0,Oils
19,2020-12-02,17258.0,Oils
20,2020-12-03,17258.0,Oils
21,2020-12-04,20386.0,Oils
22,2020-12-05,20386.0,Oils
23,2020-12-06,20146.0,Oils
24,2020-12-07,20146.0,Oils
25,2020-12-08,23194.0,Oils
26,2020-12-09,23194.0,Oils
27,2020-12-10,23194.0,Oils
28,2020-12-11,16016.0,Oils
29,2020-12-12,18560.0,Oils
30,2020-12-13,18881.0,Oils
31,2020-12-14,20981.0,Oils
32,2020-12-15,18747.0,Oils
33,2020-12-16,20432.0,Oils
34,2020-12-17,19381.0,Oils
35,2020-12-18,21869.0,Oils
36,2020-12-19,21869.0,Oils
37,2020-12-20,20301.0,Oils
38,2020-12-21,20033.0,Oils
39,2020-12-22,19879.0,Oils
40,2020-12-23,22113.0,Oils
41,2020-12-24,22316.0,Oils
42,2020-12-25,22909.0,Oils
43,2020-12-26,23451.0,Oils
44,2020-12-27,20696.0,Oils
45,2020-12-28,15177.0,Oils
46,2020-12-29,22098.0,Oils
47,2020-12-30,16972.0,Oils
48,2020-12-31,19043.0,Oils
49,2021-01-01,18495.0,Oils
50,2021-01-02,17313.0,Oils
51,2021-01-03,16930.0,Oils
52,2021-01-04,16413.0,Oils
53,2021-01-05,18338.0,Oils
