,date,value,name_B08QXYSQ6Z
0,2020-12-22,6382.0,Relaxants
1,2020-12-23,6382.0,Relaxants
2,2020-12-24,6382.0,Relaxants
3,2020-12-25,6382.0,Relaxants
4,2020-12-26,5935.0,Relaxants
5,2020-12-27,5935.0,Relaxants
6,2020-12-28,5238.0,Relaxants
7,2020-12-29,5238.0,Relaxants
8,2020-12-30,8473.0,Relaxants
9,2020-12-31,8473.0,Relaxants
10,2021-01-01,8473.0,Relaxants
11,2021-01-02,8473.0,Relaxants
12,2021-01-03,6545.0,Relaxants
13,2021-01-04,6545.0,Relaxants
14,2021-01-05,6545.0,Relaxants
15,2021-01-06,6369.0,Relaxants
16,2021-01-07,6369.0,Relaxants
17,2021-01-08,6369.0,Relaxants
18,2021-01-09,6149.0,Relaxants
19,2021-01-10,4292.0,Relaxants
20,2021-01-11,3940.0,Relaxants
21,2021-01-12,4651.0,Relaxants
22,2021-01-13,3859.0,Relaxants
23,2021-01-14,3859.0,Relaxants
24,2021-01-15,3859.0,Relaxants
25,2021-01-16,3353.0,Relaxants
26,2021-01-17,3353.0,Relaxants
27,2021-01-18,6621.0,Relaxants
28,2021-01-19,6106.0,Relaxants
29,2021-01-20,7670.0,Relaxants
30,2021-01-21,7509.0,Relaxants
31,2021-01-22,5288.0,Relaxants
32,2021-01-23,5288.0,Relaxants
33,2021-01-24,5339.0,Relaxants
34,2021-01-25,7163.0,Relaxants
35,2021-01-26,7163.0,Relaxants
36,2021-01-27,5019.0,Relaxants
37,2021-01-28,5019.0,Relaxants
38,2021-01-29,5019.0,Relaxants
39,2021-01-30,2841.0,Relaxants
40,2021-01-31,2935.0,Relaxants
41,2021-02-01,2935.0,Relaxants
42,2021-02-02,2935.0,Relaxants
43,2021-02-03,4088.0,Relaxants
44,2021-02-04,5425.0,Relaxants
45,2021-02-05,5425.0,Relaxants
46,2021-02-06,5425.0,Relaxants
47,2021-02-07,4337.0,Relaxants
48,2021-02-08,4910.0,Relaxants
49,2021-02-09,4910.0,Relaxants
50,2021-02-10,3069.0,Relaxants
51,2021-02-11,3069.0,Relaxants
52,2021-02-12,3069.0,Relaxants
53,2021-02-13,3175.0,Relaxants
54,2021-02-14,3175.0,Relaxants
55,2021-02-15,3175.0,Relaxants
56,2021-02-16,2617.0,Relaxants
57,2021-02-17,2562.0,Relaxants
58,2021-02-18,2562.0,Relaxants
59,2021-02-19,2562.0,Relaxants
60,2021-02-20,2326.0,Relaxants
61,2021-02-21,2116.0,Relaxants
62,2021-02-22,2178.0,Relaxants
63,2021-02-23,2178.0,Relaxants
64,2021-02-24,2178.0,Relaxants
65,2021-02-25,2367.0,Relaxants
66,2021-02-26,2367.0,Relaxants
67,2021-02-27,1847.0,Relaxants
68,2021-02-28,2391.0,Relaxants
69,2021-03-01,2391.0,Relaxants
70,2021-03-02,2274.0,Relaxants
71,2021-03-03,2274.0,Relaxants
72,2021-03-04,2414.0,Relaxants
73,2021-03-05,2414.0,Relaxants
74,2021-03-06,3235.0,Relaxants
75,2021-03-07,3235.0,Relaxants
76,2021-03-08,3235.0,Relaxants
77,2021-03-09,4113.0,Relaxants
78,2021-03-10,4113.0,Relaxants
79,2021-03-11,4113.0,Relaxants
80,2021-03-12,4927.0,Relaxants
81,2021-03-13,4927.0,Relaxants
82,2021-03-14,4927.0,Relaxants
83,2021-03-15,3860.0,Relaxants
84,2021-03-16,3860.0,Relaxants
85,2021-03-17,3860.0,Relaxants
86,2021-03-18,4604.0,Relaxants
87,2021-03-19,4604.0,Relaxants
88,2021-03-20,4604.0,Relaxants
89,2021-03-21,8841.0,Relaxants
90,2021-03-22,8841.0,Relaxants
91,2021-03-23,8841.0,Relaxants
92,2021-03-24,5558.0,Relaxants
93,2021-03-25,5558.0,Relaxants
94,2021-03-26,5558.0,Relaxants
95,2021-03-27,4770.0,Relaxants
96,2021-03-28,4770.0,Relaxants
97,2021-03-29,4770.0,Relaxants
98,2021-03-30,6229.0,Relaxants
99,2021-03-31,6229.0,Relaxants
100,2021-04-01,6229.0,Relaxants
101,2021-04-02,7285.0,Relaxants
102,2021-04-03,7285.0,Relaxants
103,2021-04-04,7285.0,Relaxants
104,2021-04-05,10136.0,Relaxants
105,2021-04-06,10136.0,Relaxants
106,2021-04-07,10136.0,Relaxants
107,2021-04-08,3115.0,Relaxants
108,2021-04-09,3115.0,Relaxants
109,2021-04-10,2158.0,Relaxants
110,2021-04-11,2158.0,Relaxants
111,2021-04-12,2024.0,Relaxants
112,2021-04-13,2024.0,Relaxants
113,2021-04-14,2024.0,Relaxants
114,2021-04-15,1685.0,Relaxants
115,2021-04-16,1685.0,Relaxants
116,2021-04-17,2078.0,Relaxants
117,2021-04-18,2078.0,Relaxants
118,2021-04-19,3503.0,Relaxants
119,2021-04-20,3503.0,Relaxants
120,2021-04-21,5118.0,Relaxants
121,2021-04-22,5118.0,Relaxants
122,2021-04-23,5118.0,Relaxants
123,2021-04-24,2464.0,Relaxants
124,2021-04-25,2154.0,Relaxants
125,2021-04-26,2154.0,Relaxants
126,2021-04-27,2154.0,Relaxants
127,2021-04-28,1727.0,Relaxants
128,2021-04-29,1727.0,Relaxants
129,2021-04-30,1622.0,Relaxants
130,2021-05-01,1622.0,Relaxants
131,2021-05-02,2082.0,Relaxants
132,2021-05-03,2082.0,Relaxants
133,2021-05-04,2336.0,Relaxants
134,2021-05-05,1959.0,Relaxants
135,2021-05-06,2142.0,Relaxants
136,2021-05-07,2293.0,Relaxants
137,2021-05-08,2913.0,Relaxants
138,2021-05-09,2913.0,Relaxants
139,2021-05-10,2639.0,Relaxants
140,2021-05-11,2639.0,Relaxants
141,2021-05-12,2639.0,Relaxants
142,2021-05-13,2408.0,Relaxants
143,2021-05-14,2610.0,Relaxants
144,2021-05-15,2610.0,Relaxants
145,2021-05-16,5091.0,Relaxants
146,2021-05-17,5091.0,Relaxants
147,2021-05-18,7063.0,Relaxants
148,2021-05-19,7063.0,Relaxants
149,2021-05-20,2910.0,Relaxants
150,2021-05-21,2910.0,Relaxants
151,2021-05-22,2910.0,Relaxants
152,2021-05-23,2159.0,Relaxants
153,2021-05-24,2353.0,Relaxants
154,2021-05-25,2008.0,Relaxants
155,2021-05-26,2189.0,Relaxants
156,2021-05-27,2189.0,Relaxants
157,2021-05-28,1930.0,Relaxants
158,2021-05-29,1818.0,Relaxants
159,2021-05-30,1818.0,Relaxants
160,2021-05-31,2006.0,Relaxants
161,2021-06-01,2006.0,Relaxants
162,2021-06-02,1591.0,Relaxants
163,2021-06-03,1591.0,Relaxants
164,2021-06-04,1533.0,Relaxants
165,2021-06-05,1533.0,Relaxants
166,2021-06-06,1674.0,Relaxants
167,2021-06-07,1674.0,Relaxants
168,2021-06-08,1601.0,Relaxants
169,2021-06-09,1601.0,Relaxants
170,2021-06-10,1569.0,Relaxants
171,2021-06-11,1569.0,Relaxants
172,2021-06-12,1508.0,Relaxants
173,2021-06-13,1767.0,Relaxants
174,2021-06-14,1767.0,Relaxants
175,2021-06-15,1876.0,Relaxants
176,2021-06-16,1876.0,Relaxants
177,2021-06-17,1924.0,Relaxants
178,2021-06-18,1924.0,Relaxants
179,2021-06-19,1955.0,Relaxants
180,2021-06-20,1955.0,Relaxants
181,2021-06-21,1955.0,Relaxants
182,2021-06-22,2516.0,Relaxants
183,2021-06-23,2516.0,Relaxants
184,2021-06-24,1564.0,Relaxants
185,2021-06-25,1342.0,Relaxants
186,2021-06-26,1212.0,Relaxants
187,2021-06-27,1255.0,Relaxants
188,2021-06-28,1255.0,Relaxants
189,2021-06-29,1016.0,Relaxants
190,2021-06-30,885.0,Relaxants
191,2021-07-01,885.0,Relaxants
192,2021-07-02,858.0,Relaxants
193,2021-07-03,1045.0,Relaxants
194,2021-07-04,1045.0,Relaxants
195,2021-07-05,1106.0,Relaxants
196,2021-07-06,1106.0,Relaxants
197,2021-07-07,1106.0,Relaxants
198,2021-07-08,1142.0,Relaxants
199,2021-07-09,1306.0,Relaxants
200,2021-07-10,1324.0,Relaxants
