,date,value,name_B08KS8RY1H
144,2021-03-02,7793.0,Duvet Covers
145,2021-03-03,9927.0,Duvet Covers
146,2021-03-04,9587.0,Duvet Covers
147,2021-03-05,9634.0,Duvet Covers
148,2021-03-06,11632.0,Duvet Covers
149,2021-03-07,11632.0,Duvet Covers
150,2021-03-08,9110.0,Duvet Covers
151,2021-03-09,8498.0,Duvet Covers
152,2021-03-10,7136.0,Duvet Covers
153,2021-03-11,5838.0,Duvet Covers
154,2021-03-12,7551.0,Duvet Covers
155,2021-03-13,7642.0,Duvet Covers
156,2021-03-14,6597.0,Duvet Covers
157,2021-03-15,7812.0,Duvet Covers
158,2021-03-16,7748.0,Duvet Covers
159,2021-03-17,10347.0,Duvet Covers
160,2021-03-18,11577.0,Duvet Covers
161,2021-03-19,10051.0,Duvet Covers
162,2021-03-20,7813.0,Duvet Covers
163,2021-03-21,7813.0,Duvet Covers
164,2021-03-22,8872.0,Duvet Covers
165,2021-03-23,8330.0,Duvet Covers
166,2021-03-24,7102.0,Duvet Covers
167,2021-03-25,7370.0,Duvet Covers
168,2021-03-26,9263.0,Duvet Covers
169,2021-03-27,9711.0,Duvet Covers
170,2021-03-28,9711.0,Duvet Covers
171,2021-03-29,8353.0,Duvet Covers
172,2021-03-30,7171.0,Duvet Covers
173,2021-03-31,6183.0,Duvet Covers
174,2021-04-01,7181.0,Duvet Covers
175,2021-04-02,7181.0,Duvet Covers
176,2021-04-03,7520.0,Duvet Covers
177,2021-04-04,8827.0,Duvet Covers
178,2021-04-05,8344.0,Duvet Covers
179,2021-04-06,8868.0,Duvet Covers
180,2021-04-07,8959.0,Duvet Covers
181,2021-04-08,8737.0,Duvet Covers
182,2021-04-09,9938.0,Duvet Covers
183,2021-04-10,10251.0,Duvet Covers
184,2021-04-11,9183.0,Duvet Covers
185,2021-04-12,9982.0,Duvet Covers
186,2021-04-13,7816.0,Duvet Covers
187,2021-04-14,8739.0,Duvet Covers
188,2021-04-15,7606.0,Duvet Covers
189,2021-04-16,6085.0,Duvet Covers
190,2021-04-17,5910.0,Duvet Covers
191,2021-04-18,5204.0,Duvet Covers
192,2021-04-19,6292.0,Duvet Covers
193,2021-04-20,7423.0,Duvet Covers
194,2021-04-21,8326.0,Duvet Covers
195,2021-04-22,8326.0,Duvet Covers
196,2021-04-23,9466.0,Duvet Covers
197,2021-04-24,9497.0,Duvet Covers
198,2021-04-25,9497.0,Duvet Covers
199,2021-04-26,7833.0,Duvet Covers
200,2021-04-27,8895.0,Duvet Covers
201,2021-04-28,9488.0,Duvet Covers
202,2021-04-29,9488.0,Duvet Covers
203,2021-04-30,9824.0,Duvet Covers
204,2021-05-01,10812.0,Duvet Covers
205,2021-05-02,11189.0,Duvet Covers
206,2021-05-03,11189.0,Duvet Covers
207,2021-05-04,11616.0,Duvet Covers
208,2021-05-05,11616.0,Duvet Covers
209,2021-05-06,11931.0,Duvet Covers
210,2021-05-07,11931.0,Duvet Covers
211,2021-05-08,12320.0,Duvet Covers
212,2021-05-09,12320.0,Duvet Covers
213,2021-05-10,9529.0,Duvet Covers
214,2021-05-11,7589.0,Duvet Covers
215,2021-05-12,8005.0,Duvet Covers
216,2021-05-13,7667.0,Duvet Covers
217,2021-05-14,6619.0,Duvet Covers
218,2021-05-15,7501.0,Duvet Covers
219,2021-05-16,7229.0,Duvet Covers
220,2021-05-17,7229.0,Duvet Covers
221,2021-05-18,8007.0,Duvet Covers
222,2021-05-19,10473.0,Duvet Covers
223,2021-05-20,10430.0,Duvet Covers
224,2021-05-21,9637.0,Duvet Covers
225,2021-05-22,12018.0,Duvet Covers
226,2021-05-23,11000.0,Duvet Covers
227,2021-05-24,9162.0,Duvet Covers
228,2021-05-25,10346.0,Duvet Covers
229,2021-05-26,9018.0,Duvet Covers
230,2021-05-27,7211.0,Duvet Covers
231,2021-05-28,11781.0,Duvet Covers
232,2021-05-29,9721.0,Duvet Covers
233,2021-05-30,10563.0,Duvet Covers
