,date,value,name_B08XT5DYQT
0,2021-04-12,32804.0,Duvet Cover Sets
1,2021-04-13,32804.0,Duvet Cover Sets
2,2021-04-14,34471.0,Duvet Cover Sets
3,2021-04-15,47569.0,Duvet Cover Sets
4,2021-04-16,47569.0,Duvet Cover Sets
5,2021-04-17,47569.0,Duvet Cover Sets
6,2021-04-18,59155.0,Duvet Cover Sets
7,2021-04-19,49680.0,Duvet Cover Sets
8,2021-04-20,37104.0,Duvet Cover Sets
9,2021-04-21,39685.0,Duvet Cover Sets
10,2021-04-22,47489.0,Duvet Cover Sets
11,2021-04-23,47489.0,Duvet Cover Sets
12,2021-04-24,47489.0,Duvet Cover Sets
13,2021-04-25,55573.0,Duvet Cover Sets
14,2021-04-26,52858.0,Duvet Cover Sets
15,2021-04-27,52858.0,Duvet Cover Sets
16,2021-04-28,52858.0,Duvet Cover Sets
17,2021-04-29,53895.0,Duvet Cover Sets
18,2021-04-30,53895.0,Duvet Cover Sets
19,2021-05-01,50366.0,Duvet Cover Sets
20,2021-05-02,50366.0,Duvet Cover Sets
21,2021-05-03,67936.0,Duvet Cover Sets
22,2021-05-04,51160.0,Duvet Cover Sets
23,2021-05-05,51160.0,Duvet Cover Sets
24,2021-05-06,51160.0,Duvet Cover Sets
25,2021-05-07,48441.0,Duvet Cover Sets
26,2021-05-08,48441.0,Duvet Cover Sets
27,2021-05-09,48441.0,Duvet Cover Sets
28,2021-05-10,48441.0,Duvet Cover Sets
29,2021-05-11,48441.0,Duvet Cover Sets
30,2021-05-12,33609.0,Duvet Cover Sets
31,2021-05-13,33609.0,Duvet Cover Sets
32,2021-05-14,33609.0,Duvet Cover Sets
33,2021-05-15,51815.0,Duvet Cover Sets
34,2021-05-16,50941.0,Duvet Cover Sets
35,2021-05-17,43992.0,Duvet Cover Sets
36,2021-05-18,43992.0,Duvet Cover Sets
37,2021-05-19,43992.0,Duvet Cover Sets
38,2021-05-20,45805.0,Duvet Cover Sets
39,2021-05-21,45805.0,Duvet Cover Sets
40,2021-05-22,45805.0,Duvet Cover Sets
41,2021-05-23,45805.0,Duvet Cover Sets
42,2021-05-24,45805.0,Duvet Cover Sets
43,2021-05-25,55960.0,Duvet Cover Sets
44,2021-05-26,67985.0,Duvet Cover Sets
45,2021-05-27,46124.0,Duvet Cover Sets
46,2021-05-28,46124.0,Duvet Cover Sets
47,2021-05-29,46124.0,Duvet Cover Sets
48,2021-05-30,46124.0,Duvet Cover Sets
49,2021-05-31,46124.0,Duvet Cover Sets
50,2021-06-01,46124.0,Duvet Cover Sets
51,2021-06-02,46124.0,Duvet Cover Sets
52,2021-06-03,46124.0,Duvet Cover Sets
53,2021-06-04,46124.0,Duvet Cover Sets
54,2021-06-05,46124.0,Duvet Cover Sets
55,2021-06-06,46124.0,Duvet Cover Sets
56,2021-06-07,46124.0,Duvet Cover Sets
57,2021-06-08,46124.0,Duvet Cover Sets
58,2021-06-09,46124.0,Duvet Cover Sets
59,2021-06-10,46124.0,Duvet Cover Sets
60,2021-06-11,46124.0,Duvet Cover Sets
61,2021-06-12,46124.0,Duvet Cover Sets
62,2021-06-13,46124.0,Duvet Cover Sets
63,2021-06-14,42150.0,Duvet Cover Sets
64,2021-06-15,42150.0,Duvet Cover Sets
65,2021-06-16,42150.0,Duvet Cover Sets
66,2021-06-17,72268.0,Duvet Cover Sets
67,2021-06-18,72268.0,Duvet Cover Sets
68,2021-06-19,62707.0,Duvet Cover Sets
69,2021-06-20,62707.0,Duvet Cover Sets
70,2021-06-21,44485.0,Duvet Cover Sets
71,2021-06-22,47139.0,Duvet Cover Sets
72,2021-06-23,48336.0,Duvet Cover Sets
73,2021-06-24,48336.0,Duvet Cover Sets
74,2021-06-25,39486.0,Duvet Cover Sets
75,2021-06-26,39486.0,Duvet Cover Sets
76,2021-06-27,39486.0,Duvet Cover Sets
77,2021-06-28,44590.0,Duvet Cover Sets
78,2021-06-29,44590.0,Duvet Cover Sets
79,2021-06-30,32062.0,Duvet Cover Sets
80,2021-07-01,34669.0,Duvet Cover Sets
81,2021-07-02,34669.0,Duvet Cover Sets
82,2021-07-03,34669.0,Duvet Cover Sets
83,2021-07-04,34669.0,Duvet Cover Sets
84,2021-07-05,34669.0,Duvet Cover Sets
85,2021-07-06,34669.0,Duvet Cover Sets
86,2021-07-07,34669.0,Duvet Cover Sets
87,2021-07-08,35422.0,Duvet Cover Sets
