,date,value,name_B07VY7LWYX
0,2019-08-07,121469.0,Artificial Flowers
1,2019-08-08,218161.0,Artificial Flowers
2,2019-08-09,90838.0,Artificial Flowers
3,2019-08-10,78867.0,Artificial Flowers
4,2019-08-11,85227.0,Artificial Flowers
5,2019-08-12,92720.0,Artificial Flowers
6,2019-08-13,95388.0,Artificial Flowers
7,2019-08-14,90113.0,Artificial Flowers
8,2019-08-15,82061.0,Artificial Flowers
9,2019-08-16,92641.0,Artificial Flowers
10,2019-08-17,71771.0,Artificial Flowers
11,2019-08-18,102969.0,Artificial Flowers
12,2019-08-19,163191.0,Artificial Flowers
13,2019-08-20,160175.0,Artificial Flowers
14,2019-08-21,201490.0,Artificial Flowers
15,2019-08-22,111478.0,Artificial Flowers
16,2019-08-23,106001.0,Artificial Flowers
17,2019-08-24,84557.0,Artificial Flowers
18,2019-08-25,69820.0,Artificial Flowers
19,2019-08-26,88090.0,Artificial Flowers
20,2019-08-27,89775.0,Artificial Flowers
21,2019-08-28,118496.0,Artificial Flowers
22,2019-08-29,154815.0,Artificial Flowers
23,2019-08-30,132511.0,Artificial Flowers
24,2019-08-31,91531.0,Artificial Flowers
25,2019-09-01,107332.0,Artificial Flowers
26,2019-09-02,190566.0,Artificial Flowers
27,2019-09-03,165343.0,Artificial Flowers
28,2019-09-04,79079.0,Artificial Flowers
29,2019-09-05,53400.0,Artificial Flowers
30,2019-09-06,68740.0,Artificial Flowers
31,2019-09-07,68740.0,Artificial Flowers
32,2019-09-08,68740.0,Artificial Flowers
33,2019-09-09,68740.0,Artificial Flowers
34,2019-09-10,68740.0,Artificial Flowers
35,2019-09-11,113643.0,Artificial Flowers
36,2019-09-12,113643.0,Artificial Flowers
37,2019-09-13,75281.0,Artificial Flowers
38,2019-09-14,75281.0,Artificial Flowers
39,2019-09-15,160691.0,Artificial Flowers
40,2019-09-16,80303.0,Artificial Flowers
41,2019-09-17,80303.0,Artificial Flowers
42,2019-09-18,219097.0,Artificial Flowers
43,2019-09-19,144681.0,Artificial Flowers
44,2019-09-20,144681.0,Artificial Flowers
45,2019-09-21,113836.0,Artificial Flowers
46,2019-09-22,113836.0,Artificial Flowers
47,2019-09-23,69895.0,Artificial Flowers
48,2019-09-24,69895.0,Artificial Flowers
49,2019-09-25,82112.0,Artificial Flowers
50,2019-09-26,73524.0,Artificial Flowers
51,2019-09-27,73524.0,Artificial Flowers
52,2019-09-28,94117.0,Artificial Flowers
53,2019-09-29,94117.0,Artificial Flowers
54,2019-09-30,252036.0,Artificial Flowers
55,2019-10-01,252036.0,Artificial Flowers
56,2019-10-02,92442.0,Artificial Flowers
57,2019-10-03,92442.0,Artificial Flowers
58,2019-10-04,92442.0,Artificial Flowers
59,2019-10-05,119567.0,Artificial Flowers
60,2019-10-06,119567.0,Artificial Flowers
61,2019-10-07,119567.0,Artificial Flowers
62,2019-10-08,119567.0,Artificial Flowers
63,2019-10-09,65145.0,Artificial Flowers
64,2019-10-10,65145.0,Artificial Flowers
65,2019-10-11,65145.0,Artificial Flowers
66,2019-10-12,65145.0,Artificial Flowers
67,2019-10-13,45123.0,Artificial Flowers
68,2019-10-14,70947.0,Artificial Flowers
69,2019-10-15,70947.0,Artificial Flowers
70,2019-10-16,48467.0,Artificial Flowers
71,2019-10-17,45948.0,Artificial Flowers
72,2019-10-18,69202.0,Artificial Flowers
73,2019-10-19,70830.0,Artificial Flowers
74,2019-10-20,60472.0,Artificial Flowers
75,2019-10-21,49447.0,Artificial Flowers
76,2019-10-22,55291.0,Artificial Flowers
77,2019-10-23,65860.0,Artificial Flowers
78,2019-10-24,35016.0,Artificial Flowers
79,2019-10-25,49415.0,Artificial Flowers
