,date,value,name_B092VDCNBZ
0,2021-04-21,2528.0,Stuffing & Polyester Fill
1,2021-04-22,2528.0,Stuffing & Polyester Fill
2,2021-04-23,3672.0,Stuffing & Polyester Fill
3,2021-04-24,6442.0,Stuffing & Polyester Fill
4,2021-04-25,6442.0,Stuffing & Polyester Fill
5,2021-04-26,3891.0,Stuffing & Polyester Fill
6,2021-04-27,3891.0,Stuffing & Polyester Fill
7,2021-04-28,2457.0,Stuffing & Polyester Fill
8,2021-04-29,3244.0,Stuffing & Polyester Fill
9,2021-04-30,3077.0,Stuffing & Polyester Fill
10,2021-05-01,3077.0,Stuffing & Polyester Fill
11,2021-05-02,3077.0,Stuffing & Polyester Fill
12,2021-05-03,3950.0,Stuffing & Polyester Fill
13,2021-05-04,5925.0,Stuffing & Polyester Fill
14,2021-05-05,6341.0,Stuffing & Polyester Fill
15,2021-05-06,6341.0,Stuffing & Polyester Fill
16,2021-05-07,4305.0,Stuffing & Polyester Fill
17,2021-05-08,5375.0,Stuffing & Polyester Fill
18,2021-05-09,5375.0,Stuffing & Polyester Fill
19,2021-05-10,8193.0,Stuffing & Polyester Fill
20,2021-05-11,8193.0,Stuffing & Polyester Fill
21,2021-05-12,3970.0,Stuffing & Polyester Fill
22,2021-05-13,4481.0,Stuffing & Polyester Fill
23,2021-05-14,4481.0,Stuffing & Polyester Fill
24,2021-05-15,4607.0,Stuffing & Polyester Fill
25,2021-05-16,4607.0,Stuffing & Polyester Fill
26,2021-05-17,2947.0,Stuffing & Polyester Fill
27,2021-05-18,4395.0,Stuffing & Polyester Fill
28,2021-05-19,3806.0,Stuffing & Polyester Fill
29,2021-05-20,3806.0,Stuffing & Polyester Fill
30,2021-05-21,3425.0,Stuffing & Polyester Fill
31,2021-05-22,5827.0,Stuffing & Polyester Fill
32,2021-05-23,5827.0,Stuffing & Polyester Fill
33,2021-05-24,3911.0,Stuffing & Polyester Fill
34,2021-05-25,5099.0,Stuffing & Polyester Fill
35,2021-05-26,5099.0,Stuffing & Polyester Fill
36,2021-05-27,5101.0,Stuffing & Polyester Fill
37,2021-05-28,5069.0,Stuffing & Polyester Fill
38,2021-05-29,6008.0,Stuffing & Polyester Fill
39,2021-05-30,7266.0,Stuffing & Polyester Fill
40,2021-05-31,5535.0,Stuffing & Polyester Fill
41,2021-06-01,3710.0,Stuffing & Polyester Fill
42,2021-06-02,3710.0,Stuffing & Polyester Fill
43,2021-06-03,3710.0,Stuffing & Polyester Fill
44,2021-06-04,4211.0,Stuffing & Polyester Fill
45,2021-06-05,3842.0,Stuffing & Polyester Fill
46,2021-06-06,4808.0,Stuffing & Polyester Fill
47,2021-06-07,3541.0,Stuffing & Polyester Fill
48,2021-06-08,3541.0,Stuffing & Polyester Fill
49,2021-06-09,2873.0,Stuffing & Polyester Fill
50,2021-06-10,3357.0,Stuffing & Polyester Fill
51,2021-06-11,3542.0,Stuffing & Polyester Fill
52,2021-06-12,3542.0,Stuffing & Polyester Fill
53,2021-06-13,4973.0,Stuffing & Polyester Fill
54,2021-06-14,4973.0,Stuffing & Polyester Fill
55,2021-06-15,3036.0,Stuffing & Polyester Fill
56,2021-06-16,2404.0,Stuffing & Polyester Fill
57,2021-06-17,2404.0,Stuffing & Polyester Fill
58,2021-06-18,1996.0,Stuffing & Polyester Fill
59,2021-06-19,1996.0,Stuffing & Polyester Fill
60,2021-06-20,2023.0,Stuffing & Polyester Fill
61,2021-06-21,1906.0,Stuffing & Polyester Fill
62,2021-06-22,1906.0,Stuffing & Polyester Fill
63,2021-06-23,3490.0,Stuffing & Polyester Fill
64,2021-06-24,3490.0,Stuffing & Polyester Fill
65,2021-06-25,2384.0,Stuffing & Polyester Fill
66,2021-06-26,2113.0,Stuffing & Polyester Fill
67,2021-06-27,2186.0,Stuffing & Polyester Fill
68,2021-06-28,2186.0,Stuffing & Polyester Fill
69,2021-06-29,3317.0,Stuffing & Polyester Fill
70,2021-06-30,2445.0,Stuffing & Polyester Fill
71,2021-07-01,3125.0,Stuffing & Polyester Fill
72,2021-07-02,2978.0,Stuffing & Polyester Fill
73,2021-07-03,2932.0,Stuffing & Polyester Fill
74,2021-07-04,2932.0,Stuffing & Polyester Fill
75,2021-07-05,2913.0,Stuffing & Polyester Fill
76,2021-07-06,4709.0,Stuffing & Polyester Fill
77,2021-07-07,3918.0,Stuffing & Polyester Fill
78,2021-07-08,2654.0,Stuffing & Polyester Fill
79,2021-07-09,1882.0,Stuffing & Polyester Fill
80,2021-07-10,2981.0,Stuffing & Polyester Fill
