,date,value,name_B08L7TZNBD
0,2020-10-17,11124.0,Plush Pillows
1,2020-10-18,11124.0,Plush Pillows
2,2020-10-19,11124.0,Plush Pillows
3,2020-10-20,12601.0,Plush Pillows
4,2020-10-21,12601.0,Plush Pillows
5,2020-10-22,12601.0,Plush Pillows
6,2020-10-23,13193.0,Plush Pillows
7,2020-10-24,13193.0,Plush Pillows
8,2020-10-25,13193.0,Plush Pillows
9,2020-10-26,10105.0,Plush Pillows
10,2020-10-27,9640.0,Plush Pillows
11,2020-10-28,11500.0,Plush Pillows
12,2020-10-29,12013.0,Plush Pillows
13,2020-10-30,12013.0,Plush Pillows
14,2020-10-31,12013.0,Plush Pillows
15,2020-11-01,12013.0,Plush Pillows
16,2020-11-02,10400.0,Plush Pillows
17,2020-11-03,8157.0,Plush Pillows
18,2020-11-04,8157.0,Plush Pillows
19,2020-11-05,11285.0,Plush Pillows
20,2020-11-06,9060.0,Plush Pillows
21,2020-11-07,9060.0,Plush Pillows
22,2020-11-08,9060.0,Plush Pillows
23,2020-11-09,7258.0,Plush Pillows
24,2020-11-10,10111.0,Plush Pillows
25,2020-11-11,10111.0,Plush Pillows
26,2020-11-12,9165.0,Plush Pillows
27,2020-11-13,9579.0,Plush Pillows
28,2020-11-14,7398.0,Plush Pillows
29,2020-11-15,7398.0,Plush Pillows
30,2020-11-16,7398.0,Plush Pillows
31,2020-11-17,7884.0,Plush Pillows
32,2020-11-18,9309.0,Plush Pillows
33,2020-11-19,7960.0,Plush Pillows
34,2020-11-20,8820.0,Plush Pillows
35,2020-11-21,8820.0,Plush Pillows
36,2020-11-22,8820.0,Plush Pillows
37,2020-11-23,6080.0,Plush Pillows
38,2020-11-24,5454.0,Plush Pillows
39,2020-11-25,5454.0,Plush Pillows
40,2020-11-26,6619.0,Plush Pillows
41,2020-11-27,7506.0,Plush Pillows
42,2020-11-28,7566.0,Plush Pillows
43,2020-11-29,7566.0,Plush Pillows
44,2020-11-30,7892.0,Plush Pillows
45,2020-12-01,7892.0,Plush Pillows
46,2020-12-02,7656.0,Plush Pillows
47,2020-12-03,10672.0,Plush Pillows
48,2020-12-04,9511.0,Plush Pillows
49,2020-12-05,11729.0,Plush Pillows
50,2020-12-06,13541.0,Plush Pillows
51,2020-12-07,13785.0,Plush Pillows
52,2020-12-08,14992.0,Plush Pillows
53,2020-12-09,18672.0,Plush Pillows
54,2020-12-10,18672.0,Plush Pillows
55,2020-12-11,18672.0,Plush Pillows
56,2020-12-12,18672.0,Plush Pillows
57,2020-12-13,18672.0,Plush Pillows
58,2020-12-14,29841.0,Plush Pillows
59,2020-12-15,31340.0,Plush Pillows
60,2020-12-16,13889.0,Plush Pillows
61,2020-12-17,13889.0,Plush Pillows
62,2020-12-18,11157.0,Plush Pillows
63,2020-12-19,7146.0,Plush Pillows
64,2020-12-20,7559.0,Plush Pillows
65,2020-12-21,7318.0,Plush Pillows
66,2020-12-22,6337.0,Plush Pillows
67,2020-12-23,7303.0,Plush Pillows
68,2020-12-24,4337.0,Plush Pillows
69,2020-12-25,4216.0,Plush Pillows
70,2020-12-26,4216.0,Plush Pillows
71,2020-12-27,4216.0,Plush Pillows
72,2020-12-28,3764.0,Plush Pillows
73,2020-12-29,4562.0,Plush Pillows
74,2020-12-30,4562.0,Plush Pillows
75,2020-12-31,4169.0,Plush Pillows
76,2021-01-01,4169.0,Plush Pillows
77,2021-01-02,2971.0,Plush Pillows
78,2021-01-03,3978.0,Plush Pillows
79,2021-01-04,3978.0,Plush Pillows
80,2021-01-05,3978.0,Plush Pillows
81,2021-01-06,4339.0,Plush Pillows
82,2021-01-07,4283.0,Plush Pillows
83,2021-01-08,5597.0,Plush Pillows
84,2021-01-09,5597.0,Plush Pillows
85,2021-01-10,6386.0,Plush Pillows
86,2021-01-11,3682.0,Plush Pillows
87,2021-01-12,4361.0,Plush Pillows
88,2021-01-13,4879.0,Plush Pillows
89,2021-01-14,4896.0,Plush Pillows
90,2021-01-15,4896.0,Plush Pillows
91,2021-01-16,5784.0,Plush Pillows
92,2021-01-17,6519.0,Plush Pillows
93,2021-01-18,5843.0,Plush Pillows
94,2021-01-19,5427.0,Plush Pillows
95,2021-01-20,6683.0,Plush Pillows
96,2021-01-21,5971.0,Plush Pillows
97,2021-01-22,5611.0,Plush Pillows
98,2021-01-23,5611.0,Plush Pillows
99,2021-01-24,3310.0,Plush Pillows
100,2021-01-25,3310.0,Plush Pillows
101,2021-01-26,5325.0,Plush Pillows
102,2021-01-27,5361.0,Plush Pillows
103,2021-01-28,3913.0,Plush Pillows
104,2021-01-29,4370.0,Plush Pillows
105,2021-01-30,4370.0,Plush Pillows
106,2021-01-31,3899.0,Plush Pillows
107,2021-02-01,3070.0,Plush Pillows
108,2021-02-02,3070.0,Plush Pillows
109,2021-02-03,3353.0,Plush Pillows
110,2021-02-04,3353.0,Plush Pillows
111,2021-02-05,3353.0,Plush Pillows
112,2021-02-06,3918.0,Plush Pillows
113,2021-02-07,2368.0,Plush Pillows
114,2021-02-08,2368.0,Plush Pillows
115,2021-02-09,2368.0,Plush Pillows
116,2021-02-10,2188.0,Plush Pillows
117,2021-02-11,1864.0,Plush Pillows
118,2021-02-12,2014.0,Plush Pillows
119,2021-02-13,1818.0,Plush Pillows
120,2021-02-14,2402.0,Plush Pillows
121,2021-02-15,2402.0,Plush Pillows
122,2021-02-16,2402.0,Plush Pillows
123,2021-02-17,3269.0,Plush Pillows
124,2021-02-18,2948.0,Plush Pillows
125,2021-02-19,1219.0,Plush Pillows
126,2021-02-20,1219.0,Plush Pillows
127,2021-02-21,1784.0,Plush Pillows
128,2021-02-22,2210.0,Plush Pillows
129,2021-02-23,2822.0,Plush Pillows
130,2021-02-24,3221.0,Plush Pillows
131,2021-02-25,2970.0,Plush Pillows
132,2021-02-26,3478.0,Plush Pillows
133,2021-02-27,3874.0,Plush Pillows
134,2021-02-28,3874.0,Plush Pillows
135,2021-03-01,4381.0,Plush Pillows
136,2021-03-02,4883.0,Plush Pillows
137,2021-03-03,7960.0,Plush Pillows
138,2021-03-04,8508.0,Plush Pillows
139,2021-03-05,8508.0,Plush Pillows
140,2021-03-06,1528.0,Plush Pillows
141,2021-03-07,2244.0,Plush Pillows
142,2021-03-08,3418.0,Plush Pillows
143,2021-03-09,3252.0,Plush Pillows
144,2021-03-10,3634.0,Plush Pillows
145,2021-03-11,3634.0,Plush Pillows
146,2021-03-12,3634.0,Plush Pillows
147,2021-03-13,4051.0,Plush Pillows
148,2021-03-14,3757.0,Plush Pillows
149,2021-03-15,3757.0,Plush Pillows
150,2021-03-16,3465.0,Plush Pillows
151,2021-03-17,2617.0,Plush Pillows
152,2021-03-18,2740.0,Plush Pillows
153,2021-03-19,2515.0,Plush Pillows
154,2021-03-20,3326.0,Plush Pillows
155,2021-03-21,3762.0,Plush Pillows
156,2021-03-22,4540.0,Plush Pillows
157,2021-03-23,4930.0,Plush Pillows
158,2021-03-24,4783.0,Plush Pillows
159,2021-03-25,4783.0,Plush Pillows
160,2021-03-26,6976.0,Plush Pillows
161,2021-03-27,6976.0,Plush Pillows
162,2021-03-28,5017.0,Plush Pillows
163,2021-03-29,5606.0,Plush Pillows
164,2021-03-30,8697.0,Plush Pillows
165,2021-03-31,7328.0,Plush Pillows
166,2021-04-01,8595.0,Plush Pillows
