,date,value,name_B07SBJ2HFY
135,2020-11-05,543.0,Self-Stick Notes
136,2020-11-06,647.0,Self-Stick Notes
137,2020-11-07,926.0,Self-Stick Notes
138,2020-11-08,926.0,Self-Stick Notes
139,2020-11-09,926.0,Self-Stick Notes
140,2020-11-10,1067.0,Self-Stick Notes
141,2020-11-11,1067.0,Self-Stick Notes
142,2020-11-12,912.0,Self-Stick Notes
143,2020-11-13,959.0,Self-Stick Notes
144,2020-11-14,959.0,Self-Stick Notes
145,2020-11-15,959.0,Self-Stick Notes
146,2020-11-16,2222.0,Self-Stick Notes
147,2020-11-17,1717.0,Self-Stick Notes
148,2020-11-18,1717.0,Self-Stick Notes
149,2020-11-19,1504.0,Self-Stick Notes
150,2020-11-20,1676.0,Self-Stick Notes
151,2020-11-21,2016.0,Self-Stick Notes
152,2020-11-22,2016.0,Self-Stick Notes
153,2020-11-23,3881.0,Self-Stick Notes
154,2020-11-24,3881.0,Self-Stick Notes
155,2020-11-25,1643.0,Self-Stick Notes
156,2020-11-26,2391.0,Self-Stick Notes
157,2020-11-27,4148.0,Self-Stick Notes
158,2020-11-28,4148.0,Self-Stick Notes
159,2020-11-29,3155.0,Self-Stick Notes
160,2020-11-30,3155.0,Self-Stick Notes
161,2020-12-01,1597.0,Self-Stick Notes
162,2020-12-02,1597.0,Self-Stick Notes
163,2020-12-03,1724.0,Self-Stick Notes
164,2020-12-04,1566.0,Self-Stick Notes
165,2020-12-05,1566.0,Self-Stick Notes
166,2020-12-06,1566.0,Self-Stick Notes
167,2020-12-07,3474.0,Self-Stick Notes
168,2020-12-08,2746.0,Self-Stick Notes
169,2020-12-09,2746.0,Self-Stick Notes
170,2020-12-10,2785.0,Self-Stick Notes
171,2020-12-11,2785.0,Self-Stick Notes
172,2020-12-12,2785.0,Self-Stick Notes
173,2020-12-13,4715.0,Self-Stick Notes
174,2020-12-14,4715.0,Self-Stick Notes
175,2020-12-15,3498.0,Self-Stick Notes
176,2020-12-16,3498.0,Self-Stick Notes
177,2020-12-17,3498.0,Self-Stick Notes
178,2020-12-18,3517.0,Self-Stick Notes
179,2020-12-19,3517.0,Self-Stick Notes
180,2020-12-20,3517.0,Self-Stick Notes
181,2020-12-21,6681.0,Self-Stick Notes
182,2020-12-22,4861.0,Self-Stick Notes
183,2020-12-23,4468.0,Self-Stick Notes
184,2020-12-24,4631.0,Self-Stick Notes
185,2020-12-25,4631.0,Self-Stick Notes
186,2020-12-26,4631.0,Self-Stick Notes
187,2020-12-27,4631.0,Self-Stick Notes
188,2020-12-28,11337.0,Self-Stick Notes
189,2020-12-29,11337.0,Self-Stick Notes
190,2020-12-30,11337.0,Self-Stick Notes
191,2020-12-31,4719.0,Self-Stick Notes
192,2021-01-01,4846.0,Self-Stick Notes
193,2021-01-02,4846.0,Self-Stick Notes
194,2021-01-03,4846.0,Self-Stick Notes
195,2021-01-04,10612.0,Self-Stick Notes
196,2021-01-05,10612.0,Self-Stick Notes
197,2021-01-06,10612.0,Self-Stick Notes
