,date,value,name_B08NXMLJR4
0,2021-05-20,1439.0,Pencil Sharpeners
1,2021-05-21,1656.0,Pencil Sharpeners
2,2021-05-22,1656.0,Pencil Sharpeners
3,2021-05-23,2008.0,Pencil Sharpeners
4,2021-05-24,2567.0,Pencil Sharpeners
5,2021-05-25,3203.0,Pencil Sharpeners
6,2021-05-26,2596.0,Pencil Sharpeners
7,2021-05-27,2596.0,Pencil Sharpeners
8,2021-05-28,2596.0,Pencil Sharpeners
9,2021-05-29,1849.0,Pencil Sharpeners
10,2021-05-30,1849.0,Pencil Sharpeners
11,2021-05-31,2143.0,Pencil Sharpeners
12,2021-06-01,2684.0,Pencil Sharpeners
13,2021-06-02,2887.0,Pencil Sharpeners
14,2021-06-03,2887.0,Pencil Sharpeners
15,2021-06-04,3517.0,Pencil Sharpeners
16,2021-06-05,3517.0,Pencil Sharpeners
17,2021-06-06,2457.0,Pencil Sharpeners
18,2021-06-07,2631.0,Pencil Sharpeners
19,2021-06-08,2631.0,Pencil Sharpeners
20,2021-06-09,3250.0,Pencil Sharpeners
21,2021-06-10,3250.0,Pencil Sharpeners
22,2021-06-11,3250.0,Pencil Sharpeners
23,2021-06-12,3171.0,Pencil Sharpeners
24,2021-06-13,3171.0,Pencil Sharpeners
25,2021-06-14,3150.0,Pencil Sharpeners
26,2021-06-15,3299.0,Pencil Sharpeners
27,2021-06-16,3613.0,Pencil Sharpeners
28,2021-06-17,2777.0,Pencil Sharpeners
29,2021-06-18,2777.0,Pencil Sharpeners
30,2021-06-19,2885.0,Pencil Sharpeners
31,2021-06-20,2885.0,Pencil Sharpeners
32,2021-06-21,2885.0,Pencil Sharpeners
33,2021-06-22,1366.0,Pencil Sharpeners
34,2021-06-23,723.0,Pencil Sharpeners
35,2021-06-24,1123.0,Pencil Sharpeners
36,2021-06-25,1500.0,Pencil Sharpeners
37,2021-06-26,2146.0,Pencil Sharpeners
38,2021-06-27,2146.0,Pencil Sharpeners
39,2021-06-28,2146.0,Pencil Sharpeners
40,2021-06-29,2872.0,Pencil Sharpeners
41,2021-06-30,1827.0,Pencil Sharpeners
42,2021-07-01,2858.0,Pencil Sharpeners
43,2021-07-02,2858.0,Pencil Sharpeners
44,2021-07-03,2377.0,Pencil Sharpeners
45,2021-07-04,2377.0,Pencil Sharpeners
46,2021-07-05,1995.0,Pencil Sharpeners
47,2021-07-06,1995.0,Pencil Sharpeners
48,2021-07-07,1351.0,Pencil Sharpeners
49,2021-07-08,2032.0,Pencil Sharpeners
50,2021-07-09,1467.0,Pencil Sharpeners
51,2021-07-10,1497.0,Pencil Sharpeners
