,date,value,name_B08KFKDRCY
0,2020-10-03,1612.0,Portable Power Banks
1,2020-10-04,1612.0,Portable Power Banks
2,2020-10-05,1612.0,Portable Power Banks
3,2020-10-06,1953.0,Portable Power Banks
4,2020-10-07,2007.0,Portable Power Banks
5,2020-10-08,1817.0,Portable Power Banks
6,2020-10-09,1817.0,Portable Power Banks
7,2020-10-10,1817.0,Portable Power Banks
8,2020-10-11,1892.0,Portable Power Banks
9,2020-10-12,1989.0,Portable Power Banks
10,2020-10-13,1989.0,Portable Power Banks
11,2020-10-14,1989.0,Portable Power Banks
12,2020-10-15,1989.0,Portable Power Banks
13,2020-10-16,637.0,Portable Power Banks
14,2020-10-17,637.0,Portable Power Banks
15,2020-10-18,637.0,Portable Power Banks
16,2020-10-19,2541.0,Portable Power Banks
17,2020-10-20,2541.0,Portable Power Banks
18,2020-10-21,2541.0,Portable Power Banks
19,2020-10-22,967.0,Portable Power Banks
20,2020-10-23,967.0,Portable Power Banks
21,2020-10-24,967.0,Portable Power Banks
22,2020-10-25,967.0,Portable Power Banks
23,2020-10-26,791.0,Portable Power Banks
24,2020-10-27,791.0,Portable Power Banks
25,2020-10-28,791.0,Portable Power Banks
26,2020-10-29,2156.0,Portable Power Banks
27,2020-10-30,2151.0,Portable Power Banks
28,2020-10-31,2151.0,Portable Power Banks
29,2020-11-01,2528.0,Portable Power Banks
30,2020-11-02,2528.0,Portable Power Banks
31,2020-11-03,2528.0,Portable Power Banks
32,2020-11-04,2312.0,Portable Power Banks
33,2020-11-05,2312.0,Portable Power Banks
34,2020-11-06,2312.0,Portable Power Banks
35,2020-11-07,3660.0,Portable Power Banks
36,2020-11-08,3660.0,Portable Power Banks
37,2020-11-09,2679.0,Portable Power Banks
38,2020-11-10,3567.0,Portable Power Banks
39,2020-11-11,3567.0,Portable Power Banks
40,2020-11-12,2467.0,Portable Power Banks
41,2020-11-13,3712.0,Portable Power Banks
42,2020-11-14,3712.0,Portable Power Banks
43,2020-11-15,3712.0,Portable Power Banks
44,2020-11-16,4547.0,Portable Power Banks
45,2020-11-17,3951.0,Portable Power Banks
46,2020-11-18,3951.0,Portable Power Banks
47,2020-11-19,5471.0,Portable Power Banks
48,2020-11-20,3977.0,Portable Power Banks
49,2020-11-21,4408.0,Portable Power Banks
50,2020-11-22,4408.0,Portable Power Banks
51,2020-11-23,1942.0,Portable Power Banks
52,2020-11-24,1942.0,Portable Power Banks
53,2020-11-25,1942.0,Portable Power Banks
54,2020-11-26,3017.0,Portable Power Banks
55,2020-11-27,2583.0,Portable Power Banks
56,2020-11-28,2583.0,Portable Power Banks
57,2020-11-29,1080.0,Portable Power Banks
58,2020-11-30,1080.0,Portable Power Banks
59,2020-12-01,1080.0,Portable Power Banks
60,2020-12-02,1567.0,Portable Power Banks
61,2020-12-03,1841.0,Portable Power Banks
62,2020-12-04,1562.0,Portable Power Banks
63,2020-12-05,1626.0,Portable Power Banks
64,2020-12-06,1626.0,Portable Power Banks
65,2020-12-07,1626.0,Portable Power Banks
66,2020-12-08,1626.0,Portable Power Banks
67,2020-12-09,716.0,Portable Power Banks
68,2020-12-10,978.0,Portable Power Banks
69,2020-12-11,978.0,Portable Power Banks
70,2020-12-12,1580.0,Portable Power Banks
71,2020-12-13,1580.0,Portable Power Banks
72,2020-12-14,1580.0,Portable Power Banks
73,2020-12-15,2175.0,Portable Power Banks
74,2020-12-16,2175.0,Portable Power Banks
75,2020-12-17,2175.0,Portable Power Banks
76,2020-12-18,3009.0,Portable Power Banks
77,2020-12-19,3009.0,Portable Power Banks
78,2020-12-20,3009.0,Portable Power Banks
79,2020-12-21,3009.0,Portable Power Banks
80,2020-12-22,3009.0,Portable Power Banks
81,2020-12-23,3633.0,Portable Power Banks
82,2020-12-24,3633.0,Portable Power Banks
83,2020-12-25,5627.0,Portable Power Banks
84,2020-12-26,5627.0,Portable Power Banks
85,2020-12-27,5627.0,Portable Power Banks
86,2020-12-28,1739.0,Portable Power Banks
87,2020-12-29,3166.0,Portable Power Banks
88,2020-12-30,3166.0,Portable Power Banks
89,2020-12-31,3166.0,Portable Power Banks
90,2021-01-01,3166.0,Portable Power Banks
91,2021-01-02,3166.0,Portable Power Banks
92,2021-01-03,3166.0,Portable Power Banks
93,2021-01-04,5239.0,Portable Power Banks
94,2021-01-05,6296.0,Portable Power Banks
95,2021-01-06,6296.0,Portable Power Banks
96,2021-01-07,6296.0,Portable Power Banks
97,2021-01-08,6296.0,Portable Power Banks
98,2021-01-09,6296.0,Portable Power Banks
99,2021-01-10,2426.0,Portable Power Banks
100,2021-01-11,2426.0,Portable Power Banks
101,2021-01-12,1069.0,Portable Power Banks
102,2021-01-13,1069.0,Portable Power Banks
103,2021-01-14,768.0,Portable Power Banks
104,2021-01-15,684.0,Portable Power Banks
105,2021-01-16,687.0,Portable Power Banks
106,2021-01-17,712.0,Portable Power Banks
107,2021-01-18,712.0,Portable Power Banks
108,2021-01-19,2118.0,Portable Power Banks
109,2021-01-20,2118.0,Portable Power Banks
110,2021-01-21,3149.0,Portable Power Banks
111,2021-01-22,3149.0,Portable Power Banks
112,2021-01-23,5082.0,Portable Power Banks
113,2021-01-24,5082.0,Portable Power Banks
114,2021-01-25,5082.0,Portable Power Banks
115,2021-01-26,3711.0,Portable Power Banks
116,2021-01-27,3711.0,Portable Power Banks
117,2021-01-28,3711.0,Portable Power Banks
118,2021-01-29,5269.0,Portable Power Banks
119,2021-01-30,5269.0,Portable Power Banks
120,2021-01-31,5269.0,Portable Power Banks
121,2021-02-01,4420.0,Portable Power Banks
122,2021-02-02,4420.0,Portable Power Banks
123,2021-02-03,4420.0,Portable Power Banks
124,2021-02-04,4420.0,Portable Power Banks
125,2021-02-05,5209.0,Portable Power Banks
126,2021-02-06,3739.0,Portable Power Banks
127,2021-02-07,5267.0,Portable Power Banks
128,2021-02-08,5267.0,Portable Power Banks
129,2021-02-09,5267.0,Portable Power Banks
130,2021-02-10,6384.0,Portable Power Banks
131,2021-02-11,6384.0,Portable Power Banks
132,2021-02-12,6384.0,Portable Power Banks
133,2021-02-13,6384.0,Portable Power Banks
134,2021-02-14,6384.0,Portable Power Banks
135,2021-02-15,4341.0,Portable Power Banks
136,2021-02-16,4341.0,Portable Power Banks
137,2021-02-17,682.0,Portable Power Banks
138,2021-02-18,524.0,Portable Power Banks
139,2021-02-19,407.0,Portable Power Banks
140,2021-02-20,527.0,Portable Power Banks
141,2021-02-21,527.0,Portable Power Banks
142,2021-02-22,1712.0,Portable Power Banks
143,2021-02-23,2755.0,Portable Power Banks
144,2021-02-24,3433.0,Portable Power Banks
145,2021-02-25,2915.0,Portable Power Banks
146,2021-02-26,5441.0,Portable Power Banks
147,2021-02-27,5441.0,Portable Power Banks
148,2021-02-28,5441.0,Portable Power Banks
149,2021-03-01,6344.0,Portable Power Banks
150,2021-03-02,7200.0,Portable Power Banks
151,2021-03-03,7542.0,Portable Power Banks
152,2021-03-04,6539.0,Portable Power Banks
153,2021-03-05,6539.0,Portable Power Banks
154,2021-03-06,6539.0,Portable Power Banks
155,2021-03-07,6539.0,Portable Power Banks
156,2021-03-08,6539.0,Portable Power Banks
157,2021-03-09,6536.0,Portable Power Banks
158,2021-03-10,5645.0,Portable Power Banks
159,2021-03-11,7949.0,Portable Power Banks
160,2021-03-12,8004.0,Portable Power Banks
161,2021-03-13,8004.0,Portable Power Banks
162,2021-03-14,3538.0,Portable Power Banks
163,2021-03-15,3538.0,Portable Power Banks
164,2021-03-16,3435.0,Portable Power Banks
165,2021-03-17,3435.0,Portable Power Banks
166,2021-03-18,4794.0,Portable Power Banks
167,2021-03-19,4794.0,Portable Power Banks
168,2021-03-20,6102.0,Portable Power Banks
169,2021-03-21,6729.0,Portable Power Banks
170,2021-03-22,6729.0,Portable Power Banks
171,2021-03-23,6729.0,Portable Power Banks
172,2021-03-24,2363.0,Portable Power Banks
173,2021-03-25,2476.0,Portable Power Banks
174,2021-03-26,2476.0,Portable Power Banks
175,2021-03-27,1738.0,Portable Power Banks
176,2021-03-28,1738.0,Portable Power Banks
177,2021-03-29,1738.0,Portable Power Banks
178,2021-03-30,3078.0,Portable Power Banks
179,2021-03-31,3078.0,Portable Power Banks
180,2021-04-01,4173.0,Portable Power Banks
181,2021-04-02,4173.0,Portable Power Banks
182,2021-04-03,4173.0,Portable Power Banks
183,2021-04-04,4173.0,Portable Power Banks
184,2021-04-05,3003.0,Portable Power Banks
185,2021-04-06,3003.0,Portable Power Banks
186,2021-04-07,2763.0,Portable Power Banks
187,2021-04-08,3395.0,Portable Power Banks
188,2021-04-09,4417.0,Portable Power Banks
189,2021-04-10,4417.0,Portable Power Banks
190,2021-04-11,4417.0,Portable Power Banks
191,2021-04-12,4417.0,Portable Power Banks
192,2021-04-13,5936.0,Portable Power Banks
193,2021-04-14,1264.0,Portable Power Banks
194,2021-04-15,1264.0,Portable Power Banks
195,2021-04-16,1264.0,Portable Power Banks
196,2021-04-17,1264.0,Portable Power Banks
197,2021-04-18,4735.0,Portable Power Banks
198,2021-04-19,4735.0,Portable Power Banks
199,2021-04-20,4735.0,Portable Power Banks
200,2021-04-21,4735.0,Portable Power Banks
201,2021-04-22,4735.0,Portable Power Banks
202,2021-04-23,4175.0,Portable Power Banks
203,2021-04-24,4175.0,Portable Power Banks
204,2021-04-25,4175.0,Portable Power Banks
205,2021-04-26,4175.0,Portable Power Banks
206,2021-04-27,2388.0,Portable Power Banks
207,2021-04-28,2388.0,Portable Power Banks
208,2021-04-29,2388.0,Portable Power Banks
209,2021-04-30,1686.0,Portable Power Banks
210,2021-05-01,1686.0,Portable Power Banks
211,2021-05-02,1489.0,Portable Power Banks
212,2021-05-03,1489.0,Portable Power Banks
213,2021-05-04,1489.0,Portable Power Banks
214,2021-05-05,3522.0,Portable Power Banks
215,2021-05-06,3522.0,Portable Power Banks
216,2021-05-07,3522.0,Portable Power Banks
217,2021-05-08,4394.0,Portable Power Banks
218,2021-05-09,4394.0,Portable Power Banks
