,date,value,name_B07F6ZTY48
0,2020-05-25,8506.0,Stuffed Animals & Teddy Bears
1,2020-05-26,8506.0,Stuffed Animals & Teddy Bears
2,2020-05-27,8506.0,Stuffed Animals & Teddy Bears
3,2020-05-28,10051.0,Stuffed Animals & Teddy Bears
4,2020-05-29,10051.0,Stuffed Animals & Teddy Bears
5,2020-05-30,10051.0,Stuffed Animals & Teddy Bears
6,2020-05-31,10051.0,Stuffed Animals & Teddy Bears
7,2020-06-01,7993.0,Stuffed Animals & Teddy Bears
8,2020-06-02,7993.0,Stuffed Animals & Teddy Bears
9,2020-06-03,9300.0,Stuffed Animals & Teddy Bears
10,2020-06-04,9300.0,Stuffed Animals & Teddy Bears
11,2020-06-05,9300.0,Stuffed Animals & Teddy Bears
12,2020-06-06,9300.0,Stuffed Animals & Teddy Bears
13,2020-06-07,9300.0,Stuffed Animals & Teddy Bears
14,2020-06-08,12687.0,Stuffed Animals & Teddy Bears
15,2020-06-09,12687.0,Stuffed Animals & Teddy Bears
16,2020-06-10,12511.0,Stuffed Animals & Teddy Bears
17,2020-06-11,12511.0,Stuffed Animals & Teddy Bears
18,2020-06-12,7859.0,Stuffed Animals & Teddy Bears
19,2020-06-13,10558.0,Stuffed Animals & Teddy Bears
20,2020-06-14,10558.0,Stuffed Animals & Teddy Bears
21,2020-06-15,10558.0,Stuffed Animals & Teddy Bears
22,2020-06-16,8566.0,Stuffed Animals & Teddy Bears
23,2020-06-17,8566.0,Stuffed Animals & Teddy Bears
24,2020-06-18,9700.0,Stuffed Animals & Teddy Bears
25,2020-06-19,9157.0,Stuffed Animals & Teddy Bears
26,2020-06-20,9157.0,Stuffed Animals & Teddy Bears
27,2020-06-21,9157.0,Stuffed Animals & Teddy Bears
28,2020-06-22,7698.0,Stuffed Animals & Teddy Bears
29,2020-06-23,7698.0,Stuffed Animals & Teddy Bears
30,2020-06-24,7698.0,Stuffed Animals & Teddy Bears
31,2020-06-25,9552.0,Stuffed Animals & Teddy Bears
32,2020-06-26,9916.0,Stuffed Animals & Teddy Bears
33,2020-06-27,9916.0,Stuffed Animals & Teddy Bears
34,2020-06-28,9916.0,Stuffed Animals & Teddy Bears
35,2020-06-29,10778.0,Stuffed Animals & Teddy Bears
36,2020-06-30,10778.0,Stuffed Animals & Teddy Bears
37,2020-07-01,10778.0,Stuffed Animals & Teddy Bears
38,2020-07-02,8285.0,Stuffed Animals & Teddy Bears
39,2020-07-03,8285.0,Stuffed Animals & Teddy Bears
40,2020-07-04,8285.0,Stuffed Animals & Teddy Bears
41,2020-07-05,8285.0,Stuffed Animals & Teddy Bears
42,2020-07-06,12772.0,Stuffed Animals & Teddy Bears
43,2020-07-07,12772.0,Stuffed Animals & Teddy Bears
44,2020-07-08,12772.0,Stuffed Animals & Teddy Bears
45,2020-07-09,6671.0,Stuffed Animals & Teddy Bears
46,2020-07-10,6671.0,Stuffed Animals & Teddy Bears
47,2020-07-11,6671.0,Stuffed Animals & Teddy Bears
48,2020-07-12,10394.0,Stuffed Animals & Teddy Bears
49,2020-07-13,8205.0,Stuffed Animals & Teddy Bears
50,2020-07-14,10518.0,Stuffed Animals & Teddy Bears
51,2020-07-15,10518.0,Stuffed Animals & Teddy Bears
52,2020-07-16,9029.0,Stuffed Animals & Teddy Bears
53,2020-07-17,9029.0,Stuffed Animals & Teddy Bears
54,2020-07-18,9029.0,Stuffed Animals & Teddy Bears
55,2020-07-19,8641.0,Stuffed Animals & Teddy Bears
56,2020-07-20,10379.0,Stuffed Animals & Teddy Bears
57,2020-07-21,10379.0,Stuffed Animals & Teddy Bears
58,2020-07-22,10379.0,Stuffed Animals & Teddy Bears
59,2020-07-23,9906.0,Stuffed Animals & Teddy Bears
60,2020-07-24,9906.0,Stuffed Animals & Teddy Bears
61,2020-07-25,8239.0,Stuffed Animals & Teddy Bears
62,2020-07-26,8239.0,Stuffed Animals & Teddy Bears
63,2020-07-27,8239.0,Stuffed Animals & Teddy Bears
64,2020-07-28,9201.0,Stuffed Animals & Teddy Bears
65,2020-07-29,9201.0,Stuffed Animals & Teddy Bears
66,2020-07-30,11163.0,Stuffed Animals & Teddy Bears
67,2020-07-31,11163.0,Stuffed Animals & Teddy Bears
68,2020-08-01,11163.0,Stuffed Animals & Teddy Bears
69,2020-08-02,9612.0,Stuffed Animals & Teddy Bears
70,2020-08-03,10216.0,Stuffed Animals & Teddy Bears
71,2020-08-04,10216.0,Stuffed Animals & Teddy Bears
72,2020-08-05,11844.0,Stuffed Animals & Teddy Bears
73,2020-08-06,11844.0,Stuffed Animals & Teddy Bears
74,2020-08-07,11844.0,Stuffed Animals & Teddy Bears
75,2020-08-08,7074.0,Stuffed Animals & Teddy Bears
76,2020-08-09,7074.0,Stuffed Animals & Teddy Bears
77,2020-08-10,7074.0,Stuffed Animals & Teddy Bears
78,2020-08-11,10177.0,Stuffed Animals & Teddy Bears
79,2020-08-12,10177.0,Stuffed Animals & Teddy Bears
80,2020-08-13,10717.0,Stuffed Animals & Teddy Bears
81,2020-08-14,10717.0,Stuffed Animals & Teddy Bears
82,2020-08-15,10717.0,Stuffed Animals & Teddy Bears
83,2020-08-16,8958.0,Stuffed Animals & Teddy Bears
84,2020-08-17,8958.0,Stuffed Animals & Teddy Bears
85,2020-08-18,8958.0,Stuffed Animals & Teddy Bears
86,2020-08-19,13299.0,Stuffed Animals & Teddy Bears
87,2020-08-20,13299.0,Stuffed Animals & Teddy Bears
88,2020-08-21,13299.0,Stuffed Animals & Teddy Bears
89,2020-08-22,13299.0,Stuffed Animals & Teddy Bears
90,2020-08-23,13299.0,Stuffed Animals & Teddy Bears
91,2020-08-24,8138.0,Stuffed Animals & Teddy Bears
92,2020-08-25,8138.0,Stuffed Animals & Teddy Bears
93,2020-08-26,8138.0,Stuffed Animals & Teddy Bears
94,2020-08-27,9647.0,Stuffed Animals & Teddy Bears
