,date,value,name_B086XKTR5Y
0,2020-04-19,9925.0,Flat Sheets
1,2020-04-20,9925.0,Flat Sheets
2,2020-04-21,9925.0,Flat Sheets
3,2020-04-22,12074.0,Flat Sheets
4,2020-04-23,12074.0,Flat Sheets
5,2020-04-24,11009.0,Flat Sheets
6,2020-04-25,11009.0,Flat Sheets
7,2020-04-26,11009.0,Flat Sheets
8,2020-04-27,11781.0,Flat Sheets
9,2020-04-28,11781.0,Flat Sheets
10,2020-04-29,11781.0,Flat Sheets
11,2020-04-30,11362.0,Flat Sheets
12,2020-05-01,11362.0,Flat Sheets
13,2020-05-02,14073.0,Flat Sheets
14,2020-05-03,14073.0,Flat Sheets
15,2020-05-04,14073.0,Flat Sheets
16,2020-05-05,14959.0,Flat Sheets
17,2020-05-06,14959.0,Flat Sheets
18,2020-05-07,14959.0,Flat Sheets
19,2020-05-08,10321.0,Flat Sheets
20,2020-05-09,10321.0,Flat Sheets
21,2020-05-10,10318.0,Flat Sheets
22,2020-05-11,10318.0,Flat Sheets
23,2020-05-12,9574.0,Flat Sheets
24,2020-05-13,9574.0,Flat Sheets
25,2020-05-14,9574.0,Flat Sheets
26,2020-05-15,11177.0,Flat Sheets
27,2020-05-16,11177.0,Flat Sheets
28,2020-05-17,11177.0,Flat Sheets
29,2020-05-18,10473.0,Flat Sheets
30,2020-05-19,10473.0,Flat Sheets
31,2020-05-20,10473.0,Flat Sheets
32,2020-05-21,9894.0,Flat Sheets
33,2020-05-22,9894.0,Flat Sheets
34,2020-05-23,9894.0,Flat Sheets
35,2020-05-24,7047.0,Flat Sheets
36,2020-05-25,7047.0,Flat Sheets
37,2020-05-26,7047.0,Flat Sheets
38,2020-05-27,6859.0,Flat Sheets
39,2020-05-28,6859.0,Flat Sheets
40,2020-05-29,6859.0,Flat Sheets
41,2020-05-30,5954.0,Flat Sheets
42,2020-05-31,5954.0,Flat Sheets
43,2020-06-01,5954.0,Flat Sheets
44,2020-06-02,8591.0,Flat Sheets
45,2020-06-03,8591.0,Flat Sheets
46,2020-06-04,8591.0,Flat Sheets
47,2020-06-05,9618.0,Flat Sheets
48,2020-06-06,9618.0,Flat Sheets
49,2020-06-07,10321.0,Flat Sheets
50,2020-06-08,10321.0,Flat Sheets
51,2020-06-09,10321.0,Flat Sheets
52,2020-06-10,6946.0,Flat Sheets
53,2020-06-11,6334.0,Flat Sheets
54,2020-06-12,7212.0,Flat Sheets
55,2020-06-13,7212.0,Flat Sheets
56,2020-06-14,7212.0,Flat Sheets
57,2020-06-15,5872.0,Flat Sheets
58,2020-06-16,5872.0,Flat Sheets
59,2020-06-17,5845.0,Flat Sheets
60,2020-06-18,6233.0,Flat Sheets
61,2020-06-19,6233.0,Flat Sheets
62,2020-06-20,6233.0,Flat Sheets
63,2020-06-21,6010.0,Flat Sheets
64,2020-06-22,6010.0,Flat Sheets
65,2020-06-23,6010.0,Flat Sheets
66,2020-06-24,7146.0,Flat Sheets
67,2020-06-25,7146.0,Flat Sheets
68,2020-06-26,7146.0,Flat Sheets
