,date,value,name_B081NB6CMN
0,2019-11-21,7355.0,Bath Rugs
1,2019-11-22,8224.0,Bath Rugs
2,2019-11-23,8224.0,Bath Rugs
3,2019-11-24,7174.0,Bath Rugs
4,2019-11-25,7141.0,Bath Rugs
5,2019-11-26,9082.0,Bath Rugs
6,2019-11-27,23143.0,Bath Rugs
7,2019-11-28,24876.0,Bath Rugs
8,2019-11-29,22952.0,Bath Rugs
9,2019-11-30,30468.0,Bath Rugs
10,2019-12-01,33883.0,Bath Rugs
11,2019-12-02,33883.0,Bath Rugs
12,2019-12-03,48028.0,Bath Rugs
13,2019-12-04,26907.0,Bath Rugs
14,2019-12-05,31772.0,Bath Rugs
15,2019-12-06,36218.0,Bath Rugs
16,2019-12-07,30680.0,Bath Rugs
17,2019-12-08,30816.0,Bath Rugs
18,2019-12-09,26789.0,Bath Rugs
19,2019-12-10,28856.0,Bath Rugs
20,2019-12-11,27554.0,Bath Rugs
21,2019-12-12,32162.0,Bath Rugs
22,2019-12-13,33740.0,Bath Rugs
23,2019-12-14,34383.0,Bath Rugs
24,2019-12-15,29484.0,Bath Rugs
25,2019-12-16,22135.0,Bath Rugs
26,2019-12-17,22980.0,Bath Rugs
27,2019-12-18,22980.0,Bath Rugs
28,2019-12-19,22980.0,Bath Rugs
29,2019-12-20,22980.0,Bath Rugs
30,2019-12-21,18329.0,Bath Rugs
31,2019-12-22,18329.0,Bath Rugs
32,2019-12-23,18329.0,Bath Rugs
33,2019-12-24,15532.0,Bath Rugs
34,2019-12-25,15532.0,Bath Rugs
35,2019-12-26,14276.0,Bath Rugs
36,2019-12-27,12742.0,Bath Rugs
37,2019-12-28,12742.0,Bath Rugs
38,2019-12-29,12742.0,Bath Rugs
39,2019-12-30,12742.0,Bath Rugs
40,2019-12-31,12742.0,Bath Rugs
41,2020-01-01,9412.0,Bath Rugs
42,2020-01-02,9412.0,Bath Rugs
43,2020-01-03,9412.0,Bath Rugs
44,2020-01-04,9412.0,Bath Rugs
45,2020-01-05,9412.0,Bath Rugs
46,2020-01-06,10413.0,Bath Rugs
47,2020-01-07,10413.0,Bath Rugs
48,2020-01-08,11586.0,Bath Rugs
49,2020-01-09,11586.0,Bath Rugs
50,2020-01-10,11586.0,Bath Rugs
51,2020-01-11,9395.0,Bath Rugs
52,2020-01-12,9395.0,Bath Rugs
53,2020-01-13,9395.0,Bath Rugs
54,2020-01-14,9395.0,Bath Rugs
55,2020-01-15,8225.0,Bath Rugs
56,2020-01-16,8225.0,Bath Rugs
57,2020-01-17,7470.0,Bath Rugs
58,2020-01-18,7470.0,Bath Rugs
59,2020-01-19,7858.0,Bath Rugs
60,2020-01-20,7858.0,Bath Rugs
61,2020-01-21,7858.0,Bath Rugs
62,2020-01-22,7858.0,Bath Rugs
63,2020-01-23,10226.0,Bath Rugs
