,date,value,name_B091732YMS
0,2021-05-04,19457.0,Stands
1,2021-05-05,14982.0,Stands
2,2021-05-06,14982.0,Stands
3,2021-05-07,14982.0,Stands
4,2021-05-08,17866.0,Stands
5,2021-05-09,17866.0,Stands
6,2021-05-10,17866.0,Stands
7,2021-05-11,19122.0,Stands
8,2021-05-12,15469.0,Stands
9,2021-05-13,15469.0,Stands
10,2021-05-14,15469.0,Stands
11,2021-05-15,21872.0,Stands
12,2021-05-16,21918.0,Stands
13,2021-05-17,21918.0,Stands
14,2021-05-18,33332.0,Stands
15,2021-05-19,31501.0,Stands
16,2021-05-20,31665.0,Stands
17,2021-05-21,31665.0,Stands
18,2021-05-22,33163.0,Stands
19,2021-05-23,33163.0,Stands
20,2021-05-24,19325.0,Stands
21,2021-05-25,19325.0,Stands
22,2021-05-26,9840.0,Stands
23,2021-05-27,9840.0,Stands
24,2021-05-28,9840.0,Stands
25,2021-05-29,6891.0,Stands
26,2021-05-30,6891.0,Stands
27,2021-05-31,5707.0,Stands
28,2021-06-01,5707.0,Stands
29,2021-06-02,7744.0,Stands
30,2021-06-03,7744.0,Stands
31,2021-06-04,8206.0,Stands
32,2021-06-05,9118.0,Stands
33,2021-06-06,9118.0,Stands
34,2021-06-07,6473.0,Stands
35,2021-06-08,6647.0,Stands
36,2021-06-09,7576.0,Stands
37,2021-06-10,7576.0,Stands
38,2021-06-11,7576.0,Stands
39,2021-06-12,7576.0,Stands
40,2021-06-13,7080.0,Stands
41,2021-06-14,6721.0,Stands
42,2021-06-15,9032.0,Stands
43,2021-06-16,9032.0,Stands
44,2021-06-17,9032.0,Stands
45,2021-06-18,8506.0,Stands
46,2021-06-19,7775.0,Stands
47,2021-06-20,7775.0,Stands
48,2021-06-21,14950.0,Stands
49,2021-06-22,14975.0,Stands
50,2021-06-23,14393.0,Stands
51,2021-06-24,14393.0,Stands
52,2021-06-25,18728.0,Stands
53,2021-06-26,18728.0,Stands
54,2021-06-27,18728.0,Stands
55,2021-06-28,9537.0,Stands
56,2021-06-29,9636.0,Stands
57,2021-06-30,9636.0,Stands
58,2021-07-01,13333.0,Stands
59,2021-07-02,13333.0,Stands
60,2021-07-03,13333.0,Stands
61,2021-07-04,13333.0,Stands
62,2021-07-05,13333.0,Stands
63,2021-07-06,30897.0,Stands
64,2021-07-07,30897.0,Stands
65,2021-07-08,30897.0,Stands
66,2021-07-09,63454.0,Stands
