,date,value,name_B07MF3WLZY
0,2020-05-27,12352.0,Powders
1,2020-05-28,12352.0,Powders
2,2020-05-29,13941.0,Powders
3,2020-05-30,13941.0,Powders
4,2020-05-31,13941.0,Powders
5,2020-06-01,13941.0,Powders
6,2020-06-02,13941.0,Powders
7,2020-06-03,13512.0,Powders
8,2020-06-04,15659.0,Powders
9,2020-06-05,14445.0,Powders
10,2020-06-06,14445.0,Powders
11,2020-06-07,14445.0,Powders
12,2020-06-08,14445.0,Powders
13,2020-06-09,13722.0,Powders
14,2020-06-10,13722.0,Powders
15,2020-06-11,13722.0,Powders
16,2020-06-12,13722.0,Powders
17,2020-06-13,13722.0,Powders
18,2020-06-14,15761.0,Powders
19,2020-06-15,15761.0,Powders
20,2020-06-16,15761.0,Powders
21,2020-06-17,12225.0,Powders
22,2020-06-18,12225.0,Powders
23,2020-06-19,12225.0,Powders
24,2020-06-20,14282.0,Powders
25,2020-06-21,14282.0,Powders
26,2020-06-22,14282.0,Powders
27,2020-06-23,13505.0,Powders
28,2020-06-24,13505.0,Powders
29,2020-06-25,13505.0,Powders
30,2020-06-26,13505.0,Powders
31,2020-06-27,13505.0,Powders
32,2020-06-28,14077.0,Powders
33,2020-06-29,14077.0,Powders
34,2020-06-30,14077.0,Powders
35,2020-07-01,13909.0,Powders
36,2020-07-02,12748.0,Powders
37,2020-07-03,14766.0,Powders
38,2020-07-04,14766.0,Powders
39,2020-07-05,14766.0,Powders
40,2020-07-06,15750.0,Powders
41,2020-07-07,13744.0,Powders
42,2020-07-08,14919.0,Powders
43,2020-07-09,14919.0,Powders
44,2020-07-10,15131.0,Powders
45,2020-07-11,14727.0,Powders
46,2020-07-12,14727.0,Powders
47,2020-07-13,13683.0,Powders
48,2020-07-14,14923.0,Powders
49,2020-07-15,14923.0,Powders
50,2020-07-16,16384.0,Powders
51,2020-07-17,16384.0,Powders
52,2020-07-18,16384.0,Powders
53,2020-07-19,15427.0,Powders
54,2020-07-20,17953.0,Powders
55,2020-07-21,17953.0,Powders
56,2020-07-22,14122.0,Powders
57,2020-07-23,14122.0,Powders
58,2020-07-24,14122.0,Powders
59,2020-07-25,15369.0,Powders
60,2020-07-26,15369.0,Powders
61,2020-07-27,11892.0,Powders
62,2020-07-28,11892.0,Powders
63,2020-07-29,11327.0,Powders
64,2020-07-30,11327.0,Powders
65,2020-07-31,11327.0,Powders
66,2020-08-01,11327.0,Powders
67,2020-08-02,15598.0,Powders
68,2020-08-03,14123.0,Powders
69,2020-08-04,14584.0,Powders
70,2020-08-05,14584.0,Powders
71,2020-08-06,14584.0,Powders
72,2020-08-07,13643.0,Powders
73,2020-08-08,14666.0,Powders
74,2020-08-09,14666.0,Powders
75,2020-08-10,14666.0,Powders
76,2020-08-11,17188.0,Powders
77,2020-08-12,17188.0,Powders
78,2020-08-13,17188.0,Powders
79,2020-08-14,17188.0,Powders
80,2020-08-15,16859.0,Powders
81,2020-08-16,16859.0,Powders
82,2020-08-17,16859.0,Powders
83,2020-08-18,15782.0,Powders
84,2020-08-19,15782.0,Powders
85,2020-08-20,17836.0,Powders
86,2020-08-21,17836.0,Powders
87,2020-08-22,17836.0,Powders
88,2020-08-23,17836.0,Powders
89,2020-08-24,18197.0,Powders
90,2020-08-25,18197.0,Powders
91,2020-08-26,16531.0,Powders
92,2020-08-27,16531.0,Powders
93,2020-08-28,18258.0,Powders
94,2020-08-29,18258.0,Powders
95,2020-08-30,18258.0,Powders
96,2020-08-31,15035.0,Powders
97,2020-09-01,15650.0,Powders
98,2020-09-02,15650.0,Powders
99,2020-09-03,15650.0,Powders
100,2020-09-04,15650.0,Powders
101,2020-09-05,18598.0,Powders
102,2020-09-06,18598.0,Powders
103,2020-09-07,18598.0,Powders
104,2020-09-08,14642.0,Powders
105,2020-09-09,12578.0,Powders
106,2020-09-10,16702.0,Powders
107,2020-09-11,13867.0,Powders
108,2020-09-12,14789.0,Powders
109,2020-09-13,15746.0,Powders
110,2020-09-14,15746.0,Powders
111,2020-09-15,15746.0,Powders
112,2020-09-16,15746.0,Powders
113,2020-09-17,17595.0,Powders
114,2020-09-18,17595.0,Powders
115,2020-09-19,17595.0,Powders
116,2020-09-20,17595.0,Powders
117,2020-09-21,17817.0,Powders
118,2020-09-22,17817.0,Powders
119,2020-09-23,17817.0,Powders
120,2020-09-24,17817.0,Powders
121,2020-09-25,15761.0,Powders
122,2020-09-26,15761.0,Powders
123,2020-09-27,15761.0,Powders
124,2020-09-28,17959.0,Powders
125,2020-09-29,18488.0,Powders
126,2020-09-30,18488.0,Powders
127,2020-10-01,17737.0,Powders
128,2020-10-02,17737.0,Powders
129,2020-10-03,17737.0,Powders
130,2020-10-04,17038.0,Powders
131,2020-10-05,17038.0,Powders
132,2020-10-06,17674.0,Powders
133,2020-10-07,17674.0,Powders
134,2020-10-08,17955.0,Powders
135,2020-10-09,17955.0,Powders
136,2020-10-10,18787.0,Powders
137,2020-10-11,18787.0,Powders
138,2020-10-12,18787.0,Powders
139,2020-10-13,13886.0,Powders
140,2020-10-14,13886.0,Powders
141,2020-10-15,9810.0,Powders
142,2020-10-16,13940.0,Powders
143,2020-10-17,13940.0,Powders
144,2020-10-18,14952.0,Powders
145,2020-10-19,14952.0,Powders
146,2020-10-20,14952.0,Powders
147,2020-10-21,15751.0,Powders
148,2020-10-22,15642.0,Powders
149,2020-10-23,14158.0,Powders
150,2020-10-24,15890.0,Powders
151,2020-10-25,15890.0,Powders
152,2020-10-26,18547.0,Powders
153,2020-10-27,18547.0,Powders
154,2020-10-28,18547.0,Powders
155,2020-10-29,19393.0,Powders
156,2020-10-30,19393.0,Powders
157,2020-10-31,19009.0,Powders
158,2020-11-01,19009.0,Powders
159,2020-11-02,19009.0,Powders
160,2020-11-03,16753.0,Powders
161,2020-11-04,16753.0,Powders
162,2020-11-05,17577.0,Powders
163,2020-11-06,16700.0,Powders
