,date,value,name_B07VC7375R
0,2019-07-22,12725.0,Electric Space Heaters
1,2019-07-23,5949.0,Electric Space Heaters
2,2019-07-24,4023.0,Electric Space Heaters
3,2019-07-25,4043.0,Electric Space Heaters
4,2019-07-26,3711.0,Electric Space Heaters
5,2019-07-27,5103.0,Electric Space Heaters
6,2019-07-28,7123.0,Electric Space Heaters
7,2019-07-29,8464.0,Electric Space Heaters
8,2019-07-30,5200.0,Electric Space Heaters
9,2019-07-31,4310.0,Electric Space Heaters
10,2019-08-01,3827.0,Electric Space Heaters
11,2019-08-02,3912.0,Electric Space Heaters
12,2019-08-03,4588.0,Electric Space Heaters
13,2019-08-04,5473.0,Electric Space Heaters
14,2019-08-05,5921.0,Electric Space Heaters
15,2019-08-06,3012.0,Electric Space Heaters
16,2019-08-07,2647.0,Electric Space Heaters
17,2019-08-08,2025.0,Electric Space Heaters
18,2019-08-09,2053.0,Electric Space Heaters
19,2019-08-10,2972.0,Electric Space Heaters
20,2019-08-11,4396.0,Electric Space Heaters
21,2019-08-12,5230.0,Electric Space Heaters
22,2019-08-13,2373.0,Electric Space Heaters
23,2019-08-14,1823.0,Electric Space Heaters
24,2019-08-15,1766.0,Electric Space Heaters
25,2019-08-16,1539.0,Electric Space Heaters
26,2019-08-17,2328.0,Electric Space Heaters
27,2019-08-18,3703.0,Electric Space Heaters
28,2019-08-19,4153.0,Electric Space Heaters
29,2019-08-20,1909.0,Electric Space Heaters
30,2019-08-21,1502.0,Electric Space Heaters
31,2019-08-22,1149.0,Electric Space Heaters
32,2019-08-23,1203.0,Electric Space Heaters
33,2019-08-24,1489.0,Electric Space Heaters
34,2019-08-25,2373.0,Electric Space Heaters
35,2019-08-26,2630.0,Electric Space Heaters
36,2019-08-27,2630.0,Electric Space Heaters
37,2019-08-28,787.0,Electric Space Heaters
38,2019-08-29,915.0,Electric Space Heaters
39,2019-08-30,1068.0,Electric Space Heaters
40,2019-08-31,1362.0,Electric Space Heaters
41,2019-09-01,1900.0,Electric Space Heaters
42,2019-09-02,2510.0,Electric Space Heaters
43,2019-09-03,2900.0,Electric Space Heaters
44,2019-09-04,1426.0,Electric Space Heaters
45,2019-09-05,1381.0,Electric Space Heaters
46,2019-09-06,1124.0,Electric Space Heaters
47,2019-09-07,931.0,Electric Space Heaters
48,2019-09-08,1572.0,Electric Space Heaters
49,2019-09-09,1963.0,Electric Space Heaters
50,2019-09-10,1014.0,Electric Space Heaters
51,2019-09-11,902.0,Electric Space Heaters
52,2019-09-12,1028.0,Electric Space Heaters
53,2019-09-13,1183.0,Electric Space Heaters
54,2019-09-14,1110.0,Electric Space Heaters
55,2019-09-15,1808.0,Electric Space Heaters
56,2019-09-16,3192.0,Electric Space Heaters
57,2019-09-17,1777.0,Electric Space Heaters
58,2019-09-18,1160.0,Electric Space Heaters
59,2019-09-19,1040.0,Electric Space Heaters
60,2019-09-20,839.0,Electric Space Heaters
61,2019-09-21,1129.0,Electric Space Heaters
62,2019-09-22,1647.0,Electric Space Heaters
63,2019-09-23,2023.0,Electric Space Heaters
64,2019-09-24,1749.0,Electric Space Heaters
65,2019-09-25,1350.0,Electric Space Heaters
66,2019-09-26,1131.0,Electric Space Heaters
