,date,value,name_B07VH7G621
0,2019-07-22,2415.0,Spoons
1,2019-07-23,2624.0,Spoons
2,2019-07-24,1904.0,Spoons
3,2019-07-25,1819.0,Spoons
4,2019-07-26,1911.0,Spoons
5,2019-07-27,2197.0,Spoons
6,2019-07-28,2368.0,Spoons
7,2019-07-29,2326.0,Spoons
8,2019-07-30,1880.0,Spoons
9,2019-07-31,2101.0,Spoons
10,2019-08-01,1905.0,Spoons
11,2019-08-02,1907.0,Spoons
12,2019-08-03,1782.0,Spoons
13,2019-08-04,2861.0,Spoons
14,2019-08-05,3397.0,Spoons
15,2019-08-06,2320.0,Spoons
16,2019-08-07,2130.0,Spoons
17,2019-08-08,2119.0,Spoons
18,2019-08-09,2305.0,Spoons
19,2019-08-10,2048.0,Spoons
20,2019-08-11,2358.0,Spoons
21,2019-08-12,2616.0,Spoons
22,2019-08-13,1881.0,Spoons
23,2019-08-14,1901.0,Spoons
24,2019-08-15,1922.0,Spoons
25,2019-08-16,1617.0,Spoons
26,2019-08-17,1968.0,Spoons
27,2019-08-18,2585.0,Spoons
28,2019-08-19,2712.0,Spoons
29,2019-08-20,2107.0,Spoons
30,2019-08-21,1654.0,Spoons
31,2019-08-22,1540.0,Spoons
32,2019-08-23,1742.0,Spoons
33,2019-08-24,1831.0,Spoons
34,2019-08-25,1820.0,Spoons
35,2019-08-26,1944.0,Spoons
36,2019-08-27,1726.0,Spoons
37,2019-08-28,1798.0,Spoons
38,2019-08-29,1923.0,Spoons
39,2019-08-30,2308.0,Spoons
40,2019-08-31,1494.0,Spoons
41,2019-09-01,1983.0,Spoons
42,2019-09-02,2290.0,Spoons
43,2019-09-03,2160.0,Spoons
44,2019-09-04,1950.0,Spoons
45,2019-09-05,1950.0,Spoons
46,2019-09-06,1919.0,Spoons
47,2019-09-07,1785.0,Spoons
48,2019-09-08,1964.0,Spoons
49,2019-09-09,1826.0,Spoons
50,2019-09-10,1755.0,Spoons
51,2019-09-11,1526.0,Spoons
52,2019-09-12,1344.0,Spoons
53,2019-09-13,1414.0,Spoons
54,2019-09-14,1539.0,Spoons
55,2019-09-15,2165.0,Spoons
56,2019-09-16,2046.0,Spoons
57,2019-09-17,1867.0,Spoons
58,2019-09-18,1578.0,Spoons
59,2019-09-19,1843.0,Spoons
60,2019-09-20,1545.0,Spoons
61,2019-09-21,1776.0,Spoons
62,2019-09-22,1757.0,Spoons
63,2019-09-23,1894.0,Spoons
64,2019-09-24,1460.0,Spoons
65,2019-09-25,1242.0,Spoons
66,2019-09-26,1492.0,Spoons
67,2019-09-27,1540.0,Spoons
68,2019-09-28,1644.0,Spoons
69,2019-09-29,1690.0,Spoons
70,2019-09-30,1752.0,Spoons
71,2019-10-01,1447.0,Spoons
72,2019-10-02,1855.0,Spoons
73,2019-10-03,1460.0,Spoons
74,2019-10-04,1410.0,Spoons
75,2019-10-05,1410.0,Spoons
76,2019-10-06,1511.0,Spoons
77,2019-10-07,1652.0,Spoons
78,2019-10-08,1652.0,Spoons
79,2019-10-09,1652.0,Spoons
80,2019-10-10,1386.0,Spoons
81,2019-10-11,1386.0,Spoons
82,2019-10-12,1386.0,Spoons
83,2019-10-13,1889.0,Spoons
84,2019-10-14,2098.0,Spoons
85,2019-10-15,1808.0,Spoons
86,2019-10-16,1290.0,Spoons
87,2019-10-17,1364.0,Spoons
88,2019-10-18,1536.0,Spoons
89,2019-10-19,2236.0,Spoons
90,2019-10-20,1769.0,Spoons
91,2019-10-21,1661.0,Spoons
92,2019-10-22,1893.0,Spoons
93,2019-10-23,1529.0,Spoons
94,2019-10-24,1598.0,Spoons
95,2019-10-25,1626.0,Spoons
96,2019-10-26,1593.0,Spoons
97,2019-10-27,2442.0,Spoons
98,2019-10-28,2132.0,Spoons
99,2019-10-29,1765.0,Spoons
100,2019-10-30,1643.0,Spoons
101,2019-10-31,1756.0,Spoons
102,2019-11-01,1947.0,Spoons
103,2019-11-02,1540.0,Spoons
104,2019-11-03,2068.0,Spoons
105,2019-11-04,1889.0,Spoons
106,2019-11-05,1584.0,Spoons
107,2019-11-06,1244.0,Spoons
108,2019-11-07,1527.0,Spoons
109,2019-11-08,1527.0,Spoons
110,2019-11-09,1447.0,Spoons
111,2019-11-10,1447.0,Spoons
112,2019-11-11,1447.0,Spoons
113,2019-11-12,1447.0,Spoons
114,2019-11-13,1556.0,Spoons
115,2019-11-14,1556.0,Spoons
116,2019-11-15,1530.0,Spoons
117,2019-11-16,1706.0,Spoons
118,2019-11-17,1706.0,Spoons
119,2019-11-18,1620.0,Spoons
120,2019-11-19,1620.0,Spoons
121,2019-11-20,1644.0,Spoons
122,2019-11-21,1693.0,Spoons
123,2019-11-22,1668.0,Spoons
124,2019-11-23,1949.0,Spoons
125,2019-11-24,1949.0,Spoons
126,2019-11-25,1666.0,Spoons
127,2019-11-26,1632.0,Spoons
128,2019-11-27,1632.0,Spoons
129,2019-11-28,1632.0,Spoons
130,2019-11-29,1632.0,Spoons
131,2019-11-30,5021.0,Spoons
132,2019-12-01,5021.0,Spoons
133,2019-12-02,5021.0,Spoons
134,2019-12-03,4085.0,Spoons
135,2019-12-04,4031.0,Spoons
136,2019-12-05,4031.0,Spoons
137,2019-12-06,4031.0,Spoons
138,2019-12-07,4031.0,Spoons
139,2019-12-08,4031.0,Spoons
140,2019-12-09,5389.0,Spoons
141,2019-12-10,5389.0,Spoons
142,2019-12-11,3927.0,Spoons
143,2019-12-12,3679.0,Spoons
144,2019-12-13,3679.0,Spoons
145,2019-12-14,3679.0,Spoons
146,2019-12-15,7043.0,Spoons
147,2019-12-16,7043.0,Spoons
148,2019-12-17,5826.0,Spoons
149,2019-12-18,5826.0,Spoons
150,2019-12-19,5826.0,Spoons
151,2019-12-20,5349.0,Spoons
152,2019-12-21,5349.0,Spoons
153,2019-12-22,6037.0,Spoons
154,2019-12-23,6037.0,Spoons
155,2019-12-24,6037.0,Spoons
156,2019-12-25,6037.0,Spoons
157,2019-12-26,5211.0,Spoons
158,2019-12-27,5211.0,Spoons
159,2019-12-28,5211.0,Spoons
160,2019-12-29,4118.0,Spoons
161,2019-12-30,4118.0,Spoons
162,2019-12-31,4118.0,Spoons
163,2020-01-01,4118.0,Spoons
164,2020-01-02,5456.0,Spoons
165,2020-01-03,5456.0,Spoons
166,2020-01-04,5456.0,Spoons
167,2020-01-05,4323.0,Spoons
168,2020-01-06,4323.0,Spoons
169,2020-01-07,4323.0,Spoons
170,2020-01-08,3177.0,Spoons
171,2020-01-09,3138.0,Spoons
172,2020-01-10,3138.0,Spoons
173,2020-01-11,3138.0,Spoons
174,2020-01-12,4689.0,Spoons
175,2020-01-13,4689.0,Spoons
176,2020-01-14,3787.0,Spoons
177,2020-01-15,3787.0,Spoons
178,2020-01-16,3787.0,Spoons
179,2020-01-17,2929.0,Spoons
180,2020-01-18,2929.0,Spoons
181,2020-01-19,2929.0,Spoons
182,2020-01-20,3558.0,Spoons
183,2020-01-21,3558.0,Spoons
184,2020-01-22,3558.0,Spoons
185,2020-01-23,3558.0,Spoons
186,2020-01-24,3558.0,Spoons
187,2020-01-25,3480.0,Spoons
188,2020-01-26,3480.0,Spoons
189,2020-01-27,3480.0,Spoons
190,2020-01-28,3480.0,Spoons
191,2020-01-29,3480.0,Spoons
192,2020-01-30,2524.0,Spoons
193,2020-01-31,3059.0,Spoons
194,2020-02-01,3059.0,Spoons
195,2020-02-02,3059.0,Spoons
196,2020-02-03,2710.0,Spoons
197,2020-02-04,2710.0,Spoons
198,2020-02-05,2710.0,Spoons
199,2020-02-06,2557.0,Spoons
200,2020-02-07,2557.0,Spoons
201,2020-02-08,2212.0,Spoons
202,2020-02-09,2212.0,Spoons
203,2020-02-10,3062.0,Spoons
204,2020-02-11,3062.0,Spoons
205,2020-02-12,3062.0,Spoons
206,2020-02-13,2721.0,Spoons
207,2020-02-14,2962.0,Spoons
208,2020-02-15,2962.0,Spoons
209,2020-02-16,2962.0,Spoons
210,2020-02-17,2962.0,Spoons
211,2020-02-18,2962.0,Spoons
212,2020-02-19,1914.0,Spoons
213,2020-02-20,1914.0,Spoons
214,2020-02-21,1914.0,Spoons
215,2020-02-22,-1.0,Spoons
216,2020-02-23,-1.0,Spoons
217,2020-02-24,-1.0,Spoons
218,2020-02-25,-1.0,Spoons
219,2020-02-26,-1.0,Spoons
220,2020-02-27,-1.0,Spoons
221,2020-02-28,2030.0,Spoons
222,2020-02-29,2030.0,Spoons
223,2020-03-01,2030.0,Spoons
224,2020-03-02,1938.0,Spoons
225,2020-03-03,2147.0,Spoons
226,2020-03-04,1591.0,Spoons
227,2020-03-05,1691.0,Spoons
228,2020-03-06,1691.0,Spoons
229,2020-03-07,1691.0,Spoons
230,2020-03-08,1691.0,Spoons
231,2020-03-09,1691.0,Spoons
232,2020-03-10,-1.0,Spoons
