,date,value,name_B082F1NZQN
0,2019-12-12,28913.0,Cups
1,2019-12-13,28913.0,Cups
2,2019-12-14,13198.0,Cups
3,2019-12-15,12255.0,Cups
4,2019-12-16,15425.0,Cups
5,2019-12-17,15425.0,Cups
6,2019-12-18,15425.0,Cups
7,2019-12-19,15436.0,Cups
8,2019-12-20,15436.0,Cups
9,2019-12-21,15436.0,Cups
10,2019-12-22,18011.0,Cups
11,2019-12-23,18011.0,Cups
12,2019-12-24,18011.0,Cups
13,2019-12-25,18011.0,Cups
14,2019-12-26,18011.0,Cups
15,2019-12-27,12420.0,Cups
16,2019-12-28,12420.0,Cups
17,2019-12-29,12420.0,Cups
18,2019-12-30,12420.0,Cups
19,2019-12-31,12420.0,Cups
20,2020-01-01,14146.0,Cups
21,2020-01-02,17038.0,Cups
22,2020-01-03,17038.0,Cups
23,2020-01-04,17038.0,Cups
24,2020-01-05,17038.0,Cups
25,2020-01-06,15745.0,Cups
26,2020-01-07,15745.0,Cups
27,2020-01-08,15745.0,Cups
28,2020-01-09,7847.0,Cups
29,2020-01-10,7847.0,Cups
30,2020-01-11,7847.0,Cups
31,2020-01-12,7847.0,Cups
32,2020-01-13,7900.0,Cups
33,2020-01-14,7900.0,Cups
34,2020-01-15,7900.0,Cups
35,2020-01-16,7900.0,Cups
36,2020-01-17,7900.0,Cups
37,2020-01-18,7900.0,Cups
38,2020-01-19,7900.0,Cups
39,2020-01-20,11132.0,Cups
40,2020-01-21,11132.0,Cups
41,2020-01-22,11132.0,Cups
42,2020-01-23,11132.0,Cups
43,2020-01-24,11132.0,Cups
44,2020-01-25,7008.0,Cups
45,2020-01-26,7008.0,Cups
46,2020-01-27,7008.0,Cups
47,2020-01-28,4563.0,Cups
48,2020-01-29,4563.0,Cups
49,2020-01-30,4563.0,Cups
50,2020-01-31,5693.0,Cups
51,2020-02-01,5693.0,Cups
52,2020-02-02,5693.0,Cups
53,2020-02-03,5693.0,Cups
54,2020-02-04,7725.0,Cups
55,2020-02-05,6485.0,Cups
56,2020-02-06,6485.0,Cups
57,2020-02-07,6485.0,Cups
58,2020-02-08,4474.0,Cups
59,2020-02-09,4474.0,Cups
60,2020-02-10,4474.0,Cups
61,2020-02-11,4474.0,Cups
62,2020-02-12,6549.0,Cups
63,2020-02-13,6549.0,Cups
64,2020-02-14,7896.0,Cups
65,2020-02-15,7896.0,Cups
66,2020-02-16,7896.0,Cups
67,2020-02-17,9552.0,Cups
68,2020-02-18,8766.0,Cups
69,2020-02-19,8766.0,Cups
70,2020-02-20,8766.0,Cups
71,2020-02-21,8766.0,Cups
72,2020-02-22,-1.0,Cups
73,2020-02-23,-1.0,Cups
74,2020-02-24,-1.0,Cups
75,2020-02-25,-1.0,Cups
76,2020-02-26,5738.0,Cups
77,2020-02-27,5738.0,Cups
78,2020-02-28,5738.0,Cups
79,2020-02-29,5738.0,Cups
80,2020-03-01,6669.0,Cups
81,2020-03-02,6669.0,Cups
82,2020-03-03,6669.0,Cups
83,2020-03-04,4839.0,Cups
84,2020-03-05,4839.0,Cups
85,2020-03-06,5191.0,Cups
86,2020-03-07,5191.0,Cups
87,2020-03-08,5191.0,Cups
88,2020-03-09,5191.0,Cups
89,2020-03-10,5191.0,Cups
90,2020-03-11,-1.0,Cups
