,date,value,name_B08X26BSSY
0,2021-03-01,39544.0,Plant Container Accessories
1,2021-03-02,59241.0,Plant Container Accessories
2,2021-03-03,59241.0,Plant Container Accessories
3,2021-03-04,36978.0,Plant Container Accessories
4,2021-03-05,43329.0,Plant Container Accessories
5,2021-03-06,45055.0,Plant Container Accessories
6,2021-03-07,45055.0,Plant Container Accessories
7,2021-03-08,18126.0,Plant Container Accessories
8,2021-03-09,17362.0,Plant Container Accessories
9,2021-03-10,12583.0,Plant Container Accessories
10,2021-03-11,12583.0,Plant Container Accessories
11,2021-03-12,12583.0,Plant Container Accessories
12,2021-03-13,12583.0,Plant Container Accessories
13,2021-03-14,5980.0,Plant Container Accessories
14,2021-03-15,6440.0,Plant Container Accessories
15,2021-03-16,6911.0,Plant Container Accessories
16,2021-03-17,6911.0,Plant Container Accessories
17,2021-03-18,6911.0,Plant Container Accessories
18,2021-03-19,6911.0,Plant Container Accessories
19,2021-03-20,6911.0,Plant Container Accessories
20,2021-03-21,2750.0,Plant Container Accessories
21,2021-03-22,2211.0,Plant Container Accessories
22,2021-03-23,2211.0,Plant Container Accessories
23,2021-03-24,2715.0,Plant Container Accessories
24,2021-03-25,3334.0,Plant Container Accessories
25,2021-03-26,3334.0,Plant Container Accessories
26,2021-03-27,3334.0,Plant Container Accessories
27,2021-03-28,3841.0,Plant Container Accessories
28,2021-03-29,3841.0,Plant Container Accessories
29,2021-03-30,3076.0,Plant Container Accessories
30,2021-03-31,3076.0,Plant Container Accessories
31,2021-04-01,3076.0,Plant Container Accessories
32,2021-04-02,2930.0,Plant Container Accessories
33,2021-04-03,2930.0,Plant Container Accessories
34,2021-04-04,2930.0,Plant Container Accessories
35,2021-04-05,2055.0,Plant Container Accessories
36,2021-04-06,2387.0,Plant Container Accessories
37,2021-04-07,2184.0,Plant Container Accessories
38,2021-04-08,2011.0,Plant Container Accessories
39,2021-04-09,1788.0,Plant Container Accessories
40,2021-04-10,1721.0,Plant Container Accessories
41,2021-04-11,1363.0,Plant Container Accessories
42,2021-04-12,1409.0,Plant Container Accessories
43,2021-04-13,1409.0,Plant Container Accessories
44,2021-04-14,1254.0,Plant Container Accessories
45,2021-04-15,1486.0,Plant Container Accessories
46,2021-04-16,1719.0,Plant Container Accessories
47,2021-04-17,1801.0,Plant Container Accessories
48,2021-04-18,2206.0,Plant Container Accessories
49,2021-04-19,1829.0,Plant Container Accessories
50,2021-04-20,2377.0,Plant Container Accessories
51,2021-04-21,2126.0,Plant Container Accessories
52,2021-04-22,2490.0,Plant Container Accessories
53,2021-04-23,1789.0,Plant Container Accessories
54,2021-04-24,1789.0,Plant Container Accessories
55,2021-04-25,1789.0,Plant Container Accessories
56,2021-04-26,1307.0,Plant Container Accessories
57,2021-04-27,1417.0,Plant Container Accessories
58,2021-04-28,1562.0,Plant Container Accessories
59,2021-04-29,1662.0,Plant Container Accessories
60,2021-04-30,1662.0,Plant Container Accessories
61,2021-05-01,386.0,Plant Container Accessories
62,2021-05-02,386.0,Plant Container Accessories
63,2021-05-03,386.0,Plant Container Accessories
64,2021-05-04,924.0,Plant Container Accessories
65,2021-05-05,941.0,Plant Container Accessories
66,2021-05-06,986.0,Plant Container Accessories
67,2021-05-07,986.0,Plant Container Accessories
68,2021-05-08,937.0,Plant Container Accessories
69,2021-05-09,937.0,Plant Container Accessories
70,2021-05-10,540.0,Plant Container Accessories
71,2021-05-11,495.0,Plant Container Accessories
72,2021-05-12,618.0,Plant Container Accessories
73,2021-05-13,581.0,Plant Container Accessories
74,2021-05-14,387.0,Plant Container Accessories
75,2021-05-15,453.0,Plant Container Accessories
76,2021-05-16,453.0,Plant Container Accessories
77,2021-05-17,501.0,Plant Container Accessories
78,2021-05-18,572.0,Plant Container Accessories
79,2021-05-19,536.0,Plant Container Accessories
80,2021-05-20,530.0,Plant Container Accessories
81,2021-05-21,609.0,Plant Container Accessories
82,2021-05-22,609.0,Plant Container Accessories
83,2021-05-23,539.0,Plant Container Accessories
84,2021-05-24,519.0,Plant Container Accessories
85,2021-05-25,519.0,Plant Container Accessories
