,date,value,name_B08BRSZS41
0,2020-06-28,8437.0,Tapestries
1,2020-06-29,13475.0,Tapestries
2,2020-06-30,13475.0,Tapestries
3,2020-07-01,13475.0,Tapestries
4,2020-07-02,8079.0,Tapestries
5,2020-07-03,8079.0,Tapestries
6,2020-07-04,8079.0,Tapestries
7,2020-07-05,12731.0,Tapestries
8,2020-07-06,11086.0,Tapestries
9,2020-07-07,11086.0,Tapestries
10,2020-07-08,11086.0,Tapestries
11,2020-07-09,6994.0,Tapestries
12,2020-07-10,6994.0,Tapestries
13,2020-07-11,7975.0,Tapestries
14,2020-07-12,7898.0,Tapestries
15,2020-07-13,7526.0,Tapestries
16,2020-07-14,7526.0,Tapestries
17,2020-07-15,7260.0,Tapestries
18,2020-07-16,7260.0,Tapestries
19,2020-07-17,7260.0,Tapestries
20,2020-07-18,4867.0,Tapestries
21,2020-07-19,4867.0,Tapestries
22,2020-07-20,8294.0,Tapestries
23,2020-07-21,8294.0,Tapestries
24,2020-07-22,8294.0,Tapestries
25,2020-07-23,7177.0,Tapestries
26,2020-07-24,7160.0,Tapestries
27,2020-07-25,7160.0,Tapestries
28,2020-07-26,7163.0,Tapestries
29,2020-07-27,7163.0,Tapestries
30,2020-07-28,8625.0,Tapestries
31,2020-07-29,8625.0,Tapestries
32,2020-07-30,5126.0,Tapestries
33,2020-07-31,5537.0,Tapestries
34,2020-08-01,5537.0,Tapestries
35,2020-08-02,5475.0,Tapestries
36,2020-08-03,6150.0,Tapestries
37,2020-08-04,6150.0,Tapestries
38,2020-08-05,6150.0,Tapestries
39,2020-08-06,5988.0,Tapestries
40,2020-08-07,5988.0,Tapestries
41,2020-08-08,5988.0,Tapestries
42,2020-08-09,7127.0,Tapestries
43,2020-08-10,7127.0,Tapestries
44,2020-08-11,7127.0,Tapestries
45,2020-08-12,6053.0,Tapestries
46,2020-08-13,4518.0,Tapestries
47,2020-08-14,5876.0,Tapestries
48,2020-08-15,5876.0,Tapestries
49,2020-08-16,5789.0,Tapestries
50,2020-08-17,5789.0,Tapestries
51,2020-08-18,4403.0,Tapestries
52,2020-08-19,4403.0,Tapestries
53,2020-08-20,4782.0,Tapestries
54,2020-08-21,5343.0,Tapestries
55,2020-08-22,5343.0,Tapestries
56,2020-08-23,5343.0,Tapestries
57,2020-08-24,8173.0,Tapestries
58,2020-08-25,8173.0,Tapestries
59,2020-08-26,8173.0,Tapestries
60,2020-08-27,6717.0,Tapestries
61,2020-08-28,7897.0,Tapestries
62,2020-08-29,7897.0,Tapestries
63,2020-08-30,7897.0,Tapestries
64,2020-08-31,7319.0,Tapestries
65,2020-09-01,7319.0,Tapestries
66,2020-09-02,7319.0,Tapestries
67,2020-09-03,7766.0,Tapestries
68,2020-09-04,10214.0,Tapestries
69,2020-09-05,10214.0,Tapestries
70,2020-09-06,10214.0,Tapestries
71,2020-09-07,17949.0,Tapestries
72,2020-09-08,18803.0,Tapestries
73,2020-09-09,18803.0,Tapestries
74,2020-09-10,18803.0,Tapestries
75,2020-09-11,18803.0,Tapestries
76,2020-09-12,18533.0,Tapestries
77,2020-09-13,18533.0,Tapestries
78,2020-09-14,18533.0,Tapestries
79,2020-09-15,18533.0,Tapestries
80,2020-09-16,18192.0,Tapestries
81,2020-09-17,18192.0,Tapestries
82,2020-09-18,18192.0,Tapestries
83,2020-09-19,18192.0,Tapestries
84,2020-09-20,8917.0,Tapestries
85,2020-09-21,10251.0,Tapestries
86,2020-09-22,10251.0,Tapestries
87,2020-09-23,10581.0,Tapestries
88,2020-09-24,10581.0,Tapestries
89,2020-09-25,12996.0,Tapestries
90,2020-09-26,10717.0,Tapestries
91,2020-09-27,10717.0,Tapestries
92,2020-09-28,11827.0,Tapestries
93,2020-09-29,11827.0,Tapestries
94,2020-09-30,10946.0,Tapestries
95,2020-10-01,10946.0,Tapestries
96,2020-10-02,10946.0,Tapestries
97,2020-10-03,7718.0,Tapestries
98,2020-10-04,7718.0,Tapestries
99,2020-10-05,9025.0,Tapestries
100,2020-10-06,9082.0,Tapestries
101,2020-10-07,8834.0,Tapestries
102,2020-10-08,8834.0,Tapestries
103,2020-10-09,11541.0,Tapestries
104,2020-10-10,9212.0,Tapestries
105,2020-10-11,9212.0,Tapestries
106,2020-10-12,13290.0,Tapestries
107,2020-10-13,13290.0,Tapestries
108,2020-10-14,13290.0,Tapestries
109,2020-10-15,15451.0,Tapestries
110,2020-10-16,15451.0,Tapestries
111,2020-10-17,10532.0,Tapestries
112,2020-10-18,10532.0,Tapestries
113,2020-10-19,11913.0,Tapestries
114,2020-10-20,11176.0,Tapestries
115,2020-10-21,11176.0,Tapestries
116,2020-10-22,10776.0,Tapestries
117,2020-10-23,10776.0,Tapestries
118,2020-10-24,9188.0,Tapestries
119,2020-10-25,9188.0,Tapestries
120,2020-10-26,9128.0,Tapestries
121,2020-10-27,7824.0,Tapestries
122,2020-10-28,7824.0,Tapestries
123,2020-10-29,8504.0,Tapestries
124,2020-10-30,7847.0,Tapestries
125,2020-10-31,7847.0,Tapestries
126,2020-11-01,9952.0,Tapestries
127,2020-11-02,9952.0,Tapestries
128,2020-11-03,9952.0,Tapestries
129,2020-11-04,7587.0,Tapestries
130,2020-11-05,7587.0,Tapestries
131,2020-11-06,7587.0,Tapestries
132,2020-11-07,5214.0,Tapestries
133,2020-11-08,7332.0,Tapestries
134,2020-11-09,7332.0,Tapestries
135,2020-11-10,7312.0,Tapestries
136,2020-11-11,7275.0,Tapestries
137,2020-11-12,7275.0,Tapestries
138,2020-11-13,7275.0,Tapestries
139,2020-11-14,6848.0,Tapestries
140,2020-11-15,6848.0,Tapestries
141,2020-11-16,8634.0,Tapestries
142,2020-11-17,8634.0,Tapestries
143,2020-11-18,8634.0,Tapestries
144,2020-11-19,6807.0,Tapestries
145,2020-11-20,6807.0,Tapestries
146,2020-11-21,5909.0,Tapestries
147,2020-11-22,6295.0,Tapestries
148,2020-11-23,8035.0,Tapestries
149,2020-11-24,8885.0,Tapestries
150,2020-11-25,7367.0,Tapestries
151,2020-11-26,7367.0,Tapestries
152,2020-11-27,7367.0,Tapestries
153,2020-11-28,7367.0,Tapestries
154,2020-11-29,7367.0,Tapestries
155,2020-11-30,21363.0,Tapestries
156,2020-12-01,22277.0,Tapestries
157,2020-12-02,16529.0,Tapestries
158,2020-12-03,19298.0,Tapestries
159,2020-12-04,19298.0,Tapestries
160,2020-12-05,19298.0,Tapestries
161,2020-12-06,10764.0,Tapestries
162,2020-12-07,12973.0,Tapestries
163,2020-12-08,12973.0,Tapestries
164,2020-12-09,13448.0,Tapestries
165,2020-12-10,11352.0,Tapestries
166,2020-12-11,9770.0,Tapestries
167,2020-12-12,8919.0,Tapestries
168,2020-12-13,7847.0,Tapestries
169,2020-12-14,7441.0,Tapestries
170,2020-12-15,8267.0,Tapestries
171,2020-12-16,6462.0,Tapestries
172,2020-12-17,6035.0,Tapestries
173,2020-12-18,5978.0,Tapestries
174,2020-12-19,8761.0,Tapestries
175,2020-12-20,8005.0,Tapestries
176,2020-12-21,8684.0,Tapestries
177,2020-12-22,8132.0,Tapestries
178,2020-12-23,6156.0,Tapestries
179,2020-12-24,7266.0,Tapestries
180,2020-12-25,5994.0,Tapestries
181,2020-12-26,3140.0,Tapestries
182,2020-12-27,7383.0,Tapestries
183,2020-12-28,5889.0,Tapestries
184,2020-12-29,7417.0,Tapestries
185,2020-12-30,8785.0,Tapestries
186,2020-12-31,10009.0,Tapestries
187,2021-01-01,7906.0,Tapestries
188,2021-01-02,9062.0,Tapestries
189,2021-01-03,9308.0,Tapestries
190,2021-01-04,8382.0,Tapestries
191,2021-01-05,6191.0,Tapestries
192,2021-01-06,5806.0,Tapestries
193,2021-01-07,4937.0,Tapestries
194,2021-01-08,4285.0,Tapestries
195,2021-01-09,4799.0,Tapestries
196,2021-01-10,5727.0,Tapestries
197,2021-01-11,6766.0,Tapestries
198,2021-01-12,6321.0,Tapestries
199,2021-01-13,6606.0,Tapestries
200,2021-01-14,6187.0,Tapestries
201,2021-01-15,6762.0,Tapestries
202,2021-01-16,6762.0,Tapestries
203,2021-01-17,6762.0,Tapestries
204,2021-01-18,6416.0,Tapestries
205,2021-01-19,6416.0,Tapestries
206,2021-01-20,6416.0,Tapestries
207,2021-01-21,5404.0,Tapestries
208,2021-01-22,7205.0,Tapestries
209,2021-01-23,7205.0,Tapestries
210,2021-01-24,7205.0,Tapestries
211,2021-01-25,6853.0,Tapestries
212,2021-01-26,8182.0,Tapestries
213,2021-01-27,6453.0,Tapestries
214,2021-01-28,6453.0,Tapestries
215,2021-01-29,6041.0,Tapestries
216,2021-01-30,6041.0,Tapestries
217,2021-01-31,6041.0,Tapestries
218,2021-02-01,5450.0,Tapestries
219,2021-02-02,5450.0,Tapestries
220,2021-02-03,5467.0,Tapestries
221,2021-02-04,5467.0,Tapestries
222,2021-02-05,5467.0,Tapestries
223,2021-02-06,6846.0,Tapestries
224,2021-02-07,6846.0,Tapestries
225,2021-02-08,6846.0,Tapestries
226,2021-02-09,6123.0,Tapestries
227,2021-02-10,6123.0,Tapestries
228,2021-02-11,5496.0,Tapestries
229,2021-02-12,5496.0,Tapestries
230,2021-02-13,3168.0,Tapestries
231,2021-02-14,3168.0,Tapestries
232,2021-02-15,5351.0,Tapestries
233,2021-02-16,5351.0,Tapestries
234,2021-02-17,5351.0,Tapestries
235,2021-02-18,5695.0,Tapestries
236,2021-02-19,5539.0,Tapestries
237,2021-02-20,3571.0,Tapestries
238,2021-02-21,3571.0,Tapestries
239,2021-02-22,3571.0,Tapestries
240,2021-02-23,3482.0,Tapestries
241,2021-02-24,3482.0,Tapestries
242,2021-02-25,3576.0,Tapestries
243,2021-02-26,3576.0,Tapestries
244,2021-02-27,4870.0,Tapestries
245,2021-02-28,3864.0,Tapestries
246,2021-03-01,5779.0,Tapestries
247,2021-03-02,4230.0,Tapestries
248,2021-03-03,5176.0,Tapestries
249,2021-03-04,3944.0,Tapestries
250,2021-03-05,4730.0,Tapestries
251,2021-03-06,5493.0,Tapestries
252,2021-03-07,8066.0,Tapestries
253,2021-03-08,8737.0,Tapestries
254,2021-03-09,7567.0,Tapestries
255,2021-03-10,6840.0,Tapestries
256,2021-03-11,7682.0,Tapestries
257,2021-03-12,8368.0,Tapestries
258,2021-03-13,8368.0,Tapestries
259,2021-03-14,8368.0,Tapestries
260,2021-03-15,14718.0,Tapestries
261,2021-03-16,13391.0,Tapestries
262,2021-03-17,13391.0,Tapestries
263,2021-03-18,10015.0,Tapestries
264,2021-03-19,10015.0,Tapestries
265,2021-03-20,10412.0,Tapestries
266,2021-03-21,10412.0,Tapestries
267,2021-03-22,11268.0,Tapestries
268,2021-03-23,11268.0,Tapestries
269,2021-03-24,3532.0,Tapestries
270,2021-03-25,3550.0,Tapestries
271,2021-03-26,3884.0,Tapestries
272,2021-03-27,4089.0,Tapestries
273,2021-03-28,5258.0,Tapestries
274,2021-03-29,5258.0,Tapestries
275,2021-03-30,5258.0,Tapestries
276,2021-03-31,9972.0,Tapestries
277,2021-04-01,8129.0,Tapestries
278,2021-04-02,6442.0,Tapestries
279,2021-04-03,6442.0,Tapestries
280,2021-04-04,6442.0,Tapestries
281,2021-04-05,6442.0,Tapestries
282,2021-04-06,12274.0,Tapestries
283,2021-04-07,12274.0,Tapestries
284,2021-04-08,19906.0,Tapestries
285,2021-04-09,14709.0,Tapestries
286,2021-04-10,14709.0,Tapestries
287,2021-04-11,14709.0,Tapestries
288,2021-04-12,10210.0,Tapestries
289,2021-04-13,10427.0,Tapestries
290,2021-04-14,10427.0,Tapestries
291,2021-04-15,14430.0,Tapestries
292,2021-04-16,16312.0,Tapestries
293,2021-04-17,16312.0,Tapestries
294,2021-04-18,6284.0,Tapestries
295,2021-04-19,6284.0,Tapestries
296,2021-04-20,9257.0,Tapestries
297,2021-04-21,9257.0,Tapestries
298,2021-04-22,10933.0,Tapestries
299,2021-04-23,10933.0,Tapestries
300,2021-04-24,10786.0,Tapestries
301,2021-04-25,10786.0,Tapestries
302,2021-04-26,10786.0,Tapestries
303,2021-04-27,14794.0,Tapestries
304,2021-04-28,14794.0,Tapestries
305,2021-04-29,12695.0,Tapestries
306,2021-04-30,12695.0,Tapestries
307,2021-05-01,12695.0,Tapestries
308,2021-05-02,14251.0,Tapestries
309,2021-05-03,14251.0,Tapestries
310,2021-05-04,12633.0,Tapestries
311,2021-05-05,10298.0,Tapestries
312,2021-05-06,10298.0,Tapestries
313,2021-05-07,10859.0,Tapestries
314,2021-05-08,10859.0,Tapestries
315,2021-05-09,8116.0,Tapestries
316,2021-05-10,8116.0,Tapestries
317,2021-05-11,10369.0,Tapestries
318,2021-05-12,10369.0,Tapestries
319,2021-05-13,10717.0,Tapestries
320,2021-05-14,10717.0,Tapestries
321,2021-05-15,13248.0,Tapestries
322,2021-05-16,13248.0,Tapestries
323,2021-05-17,11692.0,Tapestries
324,2021-05-18,11692.0,Tapestries
325,2021-05-19,11701.0,Tapestries
326,2021-05-20,10172.0,Tapestries
327,2021-05-21,10172.0,Tapestries
328,2021-05-22,10334.0,Tapestries
329,2021-05-23,12098.0,Tapestries
330,2021-05-24,10316.0,Tapestries
331,2021-05-25,10873.0,Tapestries
332,2021-05-26,10644.0,Tapestries
333,2021-05-27,10666.0,Tapestries
334,2021-05-28,14618.0,Tapestries
335,2021-05-29,13427.0,Tapestries
336,2021-05-30,13427.0,Tapestries
337,2021-05-31,16533.0,Tapestries
338,2021-06-01,16533.0,Tapestries
339,2021-06-02,16533.0,Tapestries
340,2021-06-03,19455.0,Tapestries
341,2021-06-04,19455.0,Tapestries
342,2021-06-05,12635.0,Tapestries
343,2021-06-06,12635.0,Tapestries
344,2021-06-07,14059.0,Tapestries
345,2021-06-08,13607.0,Tapestries
346,2021-06-09,13607.0,Tapestries
347,2021-06-10,10522.0,Tapestries
348,2021-06-11,10700.0,Tapestries
349,2021-06-12,8995.0,Tapestries
350,2021-06-13,8995.0,Tapestries
351,2021-06-14,12104.0,Tapestries
352,2021-06-15,12104.0,Tapestries
353,2021-06-16,11008.0,Tapestries
354,2021-06-17,14029.0,Tapestries
355,2021-06-18,14029.0,Tapestries
356,2021-06-19,14029.0,Tapestries
357,2021-06-20,15172.0,Tapestries
358,2021-06-21,16449.0,Tapestries
359,2021-06-22,17517.0,Tapestries
360,2021-06-23,23243.0,Tapestries
361,2021-06-24,23243.0,Tapestries
362,2021-06-25,13852.0,Tapestries
363,2021-06-26,13852.0,Tapestries
364,2021-06-27,13852.0,Tapestries
365,2021-06-28,16847.0,Tapestries
366,2021-06-29,14097.0,Tapestries
367,2021-06-30,14584.0,Tapestries
368,2021-07-01,14584.0,Tapestries
369,2021-07-02,10598.0,Tapestries
370,2021-07-03,10598.0,Tapestries
371,2021-07-04,14311.0,Tapestries
372,2021-07-05,16443.0,Tapestries
373,2021-07-06,16443.0,Tapestries
374,2021-07-07,17079.0,Tapestries
375,2021-07-08,17079.0,Tapestries
376,2021-07-09,8994.0,Tapestries
377,2021-07-10,8994.0,Tapestries
378,2021-07-11,11232.0,Tapestries
