,date,value,name_B07W76Y5X8
0,2019-08-17,331395.0,Throw Pillow Covers
1,2019-08-18,202308.0,Throw Pillow Covers
2,2019-08-19,344946.0,Throw Pillow Covers
3,2019-08-20,364269.0,Throw Pillow Covers
4,2019-08-21,403410.0,Throw Pillow Covers
5,2019-08-22,461481.0,Throw Pillow Covers
6,2019-08-23,224523.0,Throw Pillow Covers
7,2019-08-24,299392.0,Throw Pillow Covers
8,2019-08-25,400442.0,Throw Pillow Covers
9,2019-08-26,510969.0,Throw Pillow Covers
10,2019-08-27,547737.0,Throw Pillow Covers
11,2019-08-28,590144.0,Throw Pillow Covers
12,2019-08-29,456431.0,Throw Pillow Covers
13,2019-08-30,504022.0,Throw Pillow Covers
14,2019-08-31,275172.0,Throw Pillow Covers
15,2019-09-01,404010.0,Throw Pillow Covers
16,2019-09-02,489388.0,Throw Pillow Covers
17,2019-09-03,313573.0,Throw Pillow Covers
18,2019-09-04,449567.0,Throw Pillow Covers
19,2019-09-05,467689.0,Throw Pillow Covers
20,2019-09-06,471561.0,Throw Pillow Covers
21,2019-09-07,499451.0,Throw Pillow Covers
22,2019-09-08,251996.0,Throw Pillow Covers
23,2019-09-09,251996.0,Throw Pillow Covers
24,2019-09-10,251996.0,Throw Pillow Covers
25,2019-09-11,251996.0,Throw Pillow Covers
26,2019-09-12,251996.0,Throw Pillow Covers
27,2019-09-13,251996.0,Throw Pillow Covers
28,2019-09-14,251996.0,Throw Pillow Covers
29,2019-09-15,251996.0,Throw Pillow Covers
30,2019-09-16,251996.0,Throw Pillow Covers
31,2019-09-17,251996.0,Throw Pillow Covers
32,2019-09-18,251996.0,Throw Pillow Covers
33,2019-09-19,251996.0,Throw Pillow Covers
34,2019-09-20,251996.0,Throw Pillow Covers
35,2019-09-21,251996.0,Throw Pillow Covers
36,2019-09-22,454251.0,Throw Pillow Covers
37,2019-09-23,533668.0,Throw Pillow Covers
38,2019-09-24,157621.0,Throw Pillow Covers
39,2019-09-25,373368.0,Throw Pillow Covers
40,2019-09-26,324086.0,Throw Pillow Covers
41,2019-09-27,411799.0,Throw Pillow Covers
42,2019-09-28,453309.0,Throw Pillow Covers
43,2019-09-29,307518.0,Throw Pillow Covers
44,2019-09-30,223669.0,Throw Pillow Covers
45,2019-10-01,184067.0,Throw Pillow Covers
46,2019-10-02,253689.0,Throw Pillow Covers
47,2019-10-03,345113.0,Throw Pillow Covers
48,2019-10-04,440011.0,Throw Pillow Covers
49,2019-10-05,508443.0,Throw Pillow Covers
50,2019-10-06,508443.0,Throw Pillow Covers
51,2019-10-07,243544.0,Throw Pillow Covers
