,date,value,name_B07JB4NJNN
117,2019-02-07,19061.0,Wall & Tabletop Frames
118,2019-02-08,28420.0,Wall & Tabletop Frames
119,2019-02-09,28420.0,Wall & Tabletop Frames
120,2019-02-10,28420.0,Wall & Tabletop Frames
121,2019-02-11,18024.0,Wall & Tabletop Frames
122,2019-02-12,13041.0,Wall & Tabletop Frames
123,2019-02-13,13041.0,Wall & Tabletop Frames
124,2019-02-14,13041.0,Wall & Tabletop Frames
125,2019-02-15,15894.0,Wall & Tabletop Frames
126,2019-02-16,15894.0,Wall & Tabletop Frames
127,2019-02-17,15894.0,Wall & Tabletop Frames
128,2019-02-18,13640.0,Wall & Tabletop Frames
129,2019-02-19,13640.0,Wall & Tabletop Frames
130,2019-02-20,16301.0,Wall & Tabletop Frames
131,2019-02-21,18233.0,Wall & Tabletop Frames
132,2019-02-22,17434.0,Wall & Tabletop Frames
133,2019-02-23,21556.0,Wall & Tabletop Frames
134,2019-02-24,21556.0,Wall & Tabletop Frames
135,2019-02-25,14977.0,Wall & Tabletop Frames
136,2019-02-26,14977.0,Wall & Tabletop Frames
137,2019-02-27,14977.0,Wall & Tabletop Frames
138,2019-02-28,14977.0,Wall & Tabletop Frames
139,2019-03-01,14977.0,Wall & Tabletop Frames
140,2019-03-02,24040.0,Wall & Tabletop Frames
141,2019-03-03,24040.0,Wall & Tabletop Frames
142,2019-03-04,24040.0,Wall & Tabletop Frames
143,2019-03-05,24040.0,Wall & Tabletop Frames
144,2019-03-06,25308.0,Wall & Tabletop Frames
145,2019-03-07,24129.0,Wall & Tabletop Frames
146,2019-03-08,24129.0,Wall & Tabletop Frames
147,2019-03-09,18815.0,Wall & Tabletop Frames
148,2019-03-10,18815.0,Wall & Tabletop Frames
149,2019-03-11,18815.0,Wall & Tabletop Frames
150,2019-03-12,18815.0,Wall & Tabletop Frames
151,2019-03-13,18815.0,Wall & Tabletop Frames
152,2019-03-14,18815.0,Wall & Tabletop Frames
153,2019-03-15,18815.0,Wall & Tabletop Frames
154,2019-03-16,18815.0,Wall & Tabletop Frames
155,2019-03-17,18815.0,Wall & Tabletop Frames
156,2019-03-18,18327.0,Wall & Tabletop Frames
157,2019-03-19,15601.0,Wall & Tabletop Frames
158,2019-03-20,14806.0,Wall & Tabletop Frames
159,2019-03-21,18075.0,Wall & Tabletop Frames
160,2019-03-22,18075.0,Wall & Tabletop Frames
161,2019-03-23,18075.0,Wall & Tabletop Frames
162,2019-03-24,18075.0,Wall & Tabletop Frames
163,2019-03-25,18075.0,Wall & Tabletop Frames
164,2019-03-26,18075.0,Wall & Tabletop Frames
165,2019-03-27,18075.0,Wall & Tabletop Frames
166,2019-03-28,23758.0,Wall & Tabletop Frames
167,2019-03-29,29409.0,Wall & Tabletop Frames
168,2019-03-30,29409.0,Wall & Tabletop Frames
169,2019-03-31,29409.0,Wall & Tabletop Frames
170,2019-04-01,29409.0,Wall & Tabletop Frames
171,2019-04-02,15999.0,Wall & Tabletop Frames
172,2019-04-03,15999.0,Wall & Tabletop Frames
173,2019-04-04,15999.0,Wall & Tabletop Frames
174,2019-04-05,27173.0,Wall & Tabletop Frames
175,2019-04-06,27173.0,Wall & Tabletop Frames
176,2019-04-07,27173.0,Wall & Tabletop Frames
177,2019-04-08,27173.0,Wall & Tabletop Frames
178,2019-04-09,27173.0,Wall & Tabletop Frames
179,2019-04-10,27173.0,Wall & Tabletop Frames
180,2019-04-11,39046.0,Wall & Tabletop Frames
181,2019-04-12,39046.0,Wall & Tabletop Frames
182,2019-04-13,39046.0,Wall & Tabletop Frames
183,2019-04-14,29820.0,Wall & Tabletop Frames
184,2019-04-15,29820.0,Wall & Tabletop Frames
185,2019-04-16,23081.0,Wall & Tabletop Frames
186,2019-04-17,34194.0,Wall & Tabletop Frames
187,2019-04-18,34194.0,Wall & Tabletop Frames
188,2019-04-19,34194.0,Wall & Tabletop Frames
189,2019-04-20,34194.0,Wall & Tabletop Frames
190,2019-04-21,34194.0,Wall & Tabletop Frames
191,2019-04-22,34194.0,Wall & Tabletop Frames
192,2019-04-23,34194.0,Wall & Tabletop Frames
193,2019-04-24,21626.0,Wall & Tabletop Frames
194,2019-04-25,21626.0,Wall & Tabletop Frames
195,2019-04-26,21626.0,Wall & Tabletop Frames
196,2019-04-27,21626.0,Wall & Tabletop Frames
197,2019-04-28,25187.0,Wall & Tabletop Frames
198,2019-04-29,25187.0,Wall & Tabletop Frames
199,2019-04-30,25678.0,Wall & Tabletop Frames
200,2019-05-01,23559.0,Wall & Tabletop Frames
201,2019-05-02,23559.0,Wall & Tabletop Frames
202,2019-05-03,23559.0,Wall & Tabletop Frames
