,date,value,name_B08X3H6RXK
0,2021-03-04,385466.0,Garden Hoses
1,2021-03-05,385466.0,Garden Hoses
2,2021-03-06,385466.0,Garden Hoses
3,2021-03-07,385466.0,Garden Hoses
4,2021-03-08,385466.0,Garden Hoses
5,2021-03-09,4655.0,Garden Hoses
6,2021-03-10,4655.0,Garden Hoses
7,2021-03-11,4673.0,Garden Hoses
8,2021-03-12,4673.0,Garden Hoses
9,2021-03-13,8863.0,Garden Hoses
10,2021-03-14,8863.0,Garden Hoses
11,2021-03-15,8863.0,Garden Hoses
12,2021-03-16,15709.0,Garden Hoses
13,2021-03-17,15709.0,Garden Hoses
14,2021-03-18,17223.0,Garden Hoses
15,2021-03-19,17223.0,Garden Hoses
16,2021-03-20,17223.0,Garden Hoses
17,2021-03-21,12430.0,Garden Hoses
18,2021-03-22,10372.0,Garden Hoses
19,2021-03-23,10372.0,Garden Hoses
20,2021-03-24,10372.0,Garden Hoses
21,2021-03-25,10372.0,Garden Hoses
22,2021-03-26,10487.0,Garden Hoses
23,2021-03-27,10487.0,Garden Hoses
24,2021-03-28,7503.0,Garden Hoses
25,2021-03-29,7503.0,Garden Hoses
26,2021-03-30,7503.0,Garden Hoses
27,2021-03-31,6209.0,Garden Hoses
28,2021-04-01,7484.0,Garden Hoses
29,2021-04-02,7484.0,Garden Hoses
30,2021-04-03,5014.0,Garden Hoses
31,2021-04-04,4947.0,Garden Hoses
32,2021-04-05,4947.0,Garden Hoses
33,2021-04-06,4947.0,Garden Hoses
34,2021-04-07,7213.0,Garden Hoses
35,2021-04-08,7213.0,Garden Hoses
36,2021-04-09,7213.0,Garden Hoses
37,2021-04-10,4336.0,Garden Hoses
38,2021-04-11,4966.0,Garden Hoses
39,2021-04-12,4966.0,Garden Hoses
40,2021-04-13,4966.0,Garden Hoses
41,2021-04-14,3516.0,Garden Hoses
42,2021-04-15,3516.0,Garden Hoses
43,2021-04-16,3516.0,Garden Hoses
44,2021-04-17,3516.0,Garden Hoses
45,2021-04-18,3516.0,Garden Hoses
46,2021-04-19,2692.0,Garden Hoses
47,2021-04-20,2692.0,Garden Hoses
48,2021-04-21,3262.0,Garden Hoses
49,2021-04-22,2913.0,Garden Hoses
50,2021-04-23,2913.0,Garden Hoses
51,2021-04-24,4425.0,Garden Hoses
52,2021-04-25,4425.0,Garden Hoses
53,2021-04-26,5128.0,Garden Hoses
54,2021-04-27,5128.0,Garden Hoses
55,2021-04-28,5128.0,Garden Hoses
56,2021-04-29,3806.0,Garden Hoses
57,2021-04-30,3806.0,Garden Hoses
58,2021-05-01,5091.0,Garden Hoses
59,2021-05-02,5091.0,Garden Hoses
60,2021-05-03,5091.0,Garden Hoses
61,2021-05-04,5461.0,Garden Hoses
62,2021-05-05,5461.0,Garden Hoses
63,2021-05-06,5461.0,Garden Hoses
64,2021-05-07,5650.0,Garden Hoses
65,2021-05-08,5650.0,Garden Hoses
66,2021-05-09,4482.0,Garden Hoses
67,2021-05-10,4482.0,Garden Hoses
68,2021-05-11,5574.0,Garden Hoses
69,2021-05-12,5574.0,Garden Hoses
70,2021-05-13,4238.0,Garden Hoses
71,2021-05-14,4238.0,Garden Hoses
72,2021-05-15,2926.0,Garden Hoses
73,2021-05-16,2926.0,Garden Hoses
74,2021-05-17,2968.0,Garden Hoses
75,2021-05-18,2451.0,Garden Hoses
76,2021-05-19,2915.0,Garden Hoses
77,2021-05-20,2602.0,Garden Hoses
78,2021-05-21,2602.0,Garden Hoses
79,2021-05-22,2256.0,Garden Hoses
80,2021-05-23,2256.0,Garden Hoses
81,2021-05-24,2028.0,Garden Hoses
82,2021-05-25,2028.0,Garden Hoses
83,2021-05-26,2318.0,Garden Hoses
84,2021-05-27,2318.0,Garden Hoses
85,2021-05-28,3352.0,Garden Hoses
86,2021-05-29,2861.0,Garden Hoses
87,2021-05-30,2861.0,Garden Hoses
88,2021-05-31,3657.0,Garden Hoses
89,2021-06-01,3657.0,Garden Hoses
90,2021-06-02,3657.0,Garden Hoses
91,2021-06-03,4786.0,Garden Hoses
92,2021-06-04,3838.0,Garden Hoses
93,2021-06-05,5201.0,Garden Hoses
94,2021-06-06,3384.0,Garden Hoses
95,2021-06-07,3882.0,Garden Hoses
96,2021-06-08,2414.0,Garden Hoses
97,2021-06-09,3259.0,Garden Hoses
98,2021-06-10,1891.0,Garden Hoses
99,2021-06-11,1891.0,Garden Hoses
100,2021-06-12,1891.0,Garden Hoses
101,2021-06-13,1417.0,Garden Hoses
102,2021-06-14,1417.0,Garden Hoses
103,2021-06-15,1695.0,Garden Hoses
104,2021-06-16,1695.0,Garden Hoses
105,2021-06-17,2209.0,Garden Hoses
106,2021-06-18,2013.0,Garden Hoses
107,2021-06-19,2013.0,Garden Hoses
108,2021-06-20,1406.0,Garden Hoses
109,2021-06-21,1482.0,Garden Hoses
110,2021-06-22,1519.0,Garden Hoses
111,2021-06-23,1519.0,Garden Hoses
112,2021-06-24,2544.0,Garden Hoses
113,2021-06-25,2544.0,Garden Hoses
114,2021-06-26,2811.0,Garden Hoses
115,2021-06-27,2811.0,Garden Hoses
116,2021-06-28,2721.0,Garden Hoses
117,2021-06-29,2721.0,Garden Hoses
118,2021-06-30,3812.0,Garden Hoses
119,2021-07-01,3812.0,Garden Hoses
120,2021-07-02,4774.0,Garden Hoses
121,2021-07-03,4774.0,Garden Hoses
122,2021-07-04,4774.0,Garden Hoses
123,2021-07-05,4541.0,Garden Hoses
124,2021-07-06,4541.0,Garden Hoses
125,2021-07-07,3630.0,Garden Hoses
126,2021-07-08,3630.0,Garden Hoses
127,2021-07-09,4931.0,Garden Hoses
128,2021-07-10,6294.0,Garden Hoses
