,date,value,name_B07DX8BR8Z
0,2020-06-03,15870.0,Laser & Inkjet Printer Labels
1,2020-06-04,15870.0,Laser & Inkjet Printer Labels
2,2020-06-05,15870.0,Laser & Inkjet Printer Labels
3,2020-06-06,15870.0,Laser & Inkjet Printer Labels
4,2020-06-07,15870.0,Laser & Inkjet Printer Labels
5,2020-06-08,18189.0,Laser & Inkjet Printer Labels
6,2020-06-09,12273.0,Laser & Inkjet Printer Labels
7,2020-06-10,12273.0,Laser & Inkjet Printer Labels
8,2020-06-11,12273.0,Laser & Inkjet Printer Labels
9,2020-06-12,12273.0,Laser & Inkjet Printer Labels
10,2020-06-13,12273.0,Laser & Inkjet Printer Labels
11,2020-06-14,12273.0,Laser & Inkjet Printer Labels
12,2020-06-15,12273.0,Laser & Inkjet Printer Labels
13,2020-06-16,12273.0,Laser & Inkjet Printer Labels
14,2020-06-17,24978.0,Laser & Inkjet Printer Labels
15,2020-06-18,24978.0,Laser & Inkjet Printer Labels
16,2020-06-19,24978.0,Laser & Inkjet Printer Labels
17,2020-06-20,24978.0,Laser & Inkjet Printer Labels
18,2020-06-21,24978.0,Laser & Inkjet Printer Labels
19,2020-06-22,24978.0,Laser & Inkjet Printer Labels
20,2020-06-23,24978.0,Laser & Inkjet Printer Labels
21,2020-06-24,24978.0,Laser & Inkjet Printer Labels
22,2020-06-25,24978.0,Laser & Inkjet Printer Labels
23,2020-06-26,24978.0,Laser & Inkjet Printer Labels
24,2020-06-27,24978.0,Laser & Inkjet Printer Labels
25,2020-06-28,24978.0,Laser & Inkjet Printer Labels
26,2020-06-29,24978.0,Laser & Inkjet Printer Labels
27,2020-06-30,24978.0,Laser & Inkjet Printer Labels
28,2020-07-01,29064.0,Laser & Inkjet Printer Labels
29,2020-07-02,21317.0,Laser & Inkjet Printer Labels
30,2020-07-03,23199.0,Laser & Inkjet Printer Labels
31,2020-07-04,23199.0,Laser & Inkjet Printer Labels
32,2020-07-05,23199.0,Laser & Inkjet Printer Labels
33,2020-07-06,23199.0,Laser & Inkjet Printer Labels
34,2020-07-07,23199.0,Laser & Inkjet Printer Labels
35,2020-07-08,23199.0,Laser & Inkjet Printer Labels
36,2020-07-09,23199.0,Laser & Inkjet Printer Labels
37,2020-07-10,16811.0,Laser & Inkjet Printer Labels
38,2020-07-11,16811.0,Laser & Inkjet Printer Labels
39,2020-07-12,16811.0,Laser & Inkjet Printer Labels
40,2020-07-13,22803.0,Laser & Inkjet Printer Labels
41,2020-07-14,22803.0,Laser & Inkjet Printer Labels
42,2020-07-15,22803.0,Laser & Inkjet Printer Labels
43,2020-07-16,22803.0,Laser & Inkjet Printer Labels
44,2020-07-17,22803.0,Laser & Inkjet Printer Labels
45,2020-07-18,22803.0,Laser & Inkjet Printer Labels
46,2020-07-19,22803.0,Laser & Inkjet Printer Labels
47,2020-07-20,22803.0,Laser & Inkjet Printer Labels
48,2020-07-21,14798.0,Laser & Inkjet Printer Labels
49,2020-07-22,14798.0,Laser & Inkjet Printer Labels
50,2020-07-23,14798.0,Laser & Inkjet Printer Labels
51,2020-07-24,17930.0,Laser & Inkjet Printer Labels
52,2020-07-25,17930.0,Laser & Inkjet Printer Labels
53,2020-07-26,17930.0,Laser & Inkjet Printer Labels
54,2020-07-27,23054.0,Laser & Inkjet Printer Labels
55,2020-07-28,23054.0,Laser & Inkjet Printer Labels
56,2020-07-29,23054.0,Laser & Inkjet Printer Labels
57,2020-07-30,23054.0,Laser & Inkjet Printer Labels
58,2020-07-31,23054.0,Laser & Inkjet Printer Labels
59,2020-08-01,23054.0,Laser & Inkjet Printer Labels
60,2020-08-02,23054.0,Laser & Inkjet Printer Labels
61,2020-08-03,23054.0,Laser & Inkjet Printer Labels
62,2020-08-04,23054.0,Laser & Inkjet Printer Labels
63,2020-08-05,23054.0,Laser & Inkjet Printer Labels
64,2020-08-06,23054.0,Laser & Inkjet Printer Labels
65,2020-08-07,23054.0,Laser & Inkjet Printer Labels
66,2020-08-08,23054.0,Laser & Inkjet Printer Labels
67,2020-08-09,23030.0,Laser & Inkjet Printer Labels
68,2020-08-10,23030.0,Laser & Inkjet Printer Labels
69,2020-08-11,23030.0,Laser & Inkjet Printer Labels
70,2020-08-12,21811.0,Laser & Inkjet Printer Labels
71,2020-08-13,21811.0,Laser & Inkjet Printer Labels
72,2020-08-14,21811.0,Laser & Inkjet Printer Labels
73,2020-08-15,21811.0,Laser & Inkjet Printer Labels
74,2020-08-16,21811.0,Laser & Inkjet Printer Labels
75,2020-08-17,21811.0,Laser & Inkjet Printer Labels
76,2020-08-18,21811.0,Laser & Inkjet Printer Labels
77,2020-08-19,21811.0,Laser & Inkjet Printer Labels
