,date,value,name_B0829HF35S
138,2020-10-12,2534.0,Bulletin Boards
139,2020-10-13,3287.0,Bulletin Boards
140,2020-10-14,3425.0,Bulletin Boards
141,2020-10-15,3277.0,Bulletin Boards
142,2020-10-16,3277.0,Bulletin Boards
143,2020-10-17,3922.0,Bulletin Boards
144,2020-10-18,3922.0,Bulletin Boards
145,2020-10-19,3922.0,Bulletin Boards
146,2020-10-20,3489.0,Bulletin Boards
147,2020-10-21,3804.0,Bulletin Boards
148,2020-10-22,4558.0,Bulletin Boards
149,2020-10-23,3529.0,Bulletin Boards
150,2020-10-24,3529.0,Bulletin Boards
151,2020-10-25,4002.0,Bulletin Boards
152,2020-10-26,4002.0,Bulletin Boards
153,2020-10-27,4509.0,Bulletin Boards
154,2020-10-28,4560.0,Bulletin Boards
155,2020-10-29,4793.0,Bulletin Boards
156,2020-10-30,5112.0,Bulletin Boards
157,2020-10-31,5112.0,Bulletin Boards
158,2020-11-01,5112.0,Bulletin Boards
159,2020-11-02,3002.0,Bulletin Boards
160,2020-11-03,3002.0,Bulletin Boards
161,2020-11-04,3002.0,Bulletin Boards
162,2020-11-05,3483.0,Bulletin Boards
163,2020-11-06,3483.0,Bulletin Boards
164,2020-11-07,3457.0,Bulletin Boards
165,2020-11-08,3457.0,Bulletin Boards
166,2020-11-09,3457.0,Bulletin Boards
167,2020-11-10,3634.0,Bulletin Boards
168,2020-11-11,3634.0,Bulletin Boards
169,2020-11-12,3744.0,Bulletin Boards
170,2020-11-13,3399.0,Bulletin Boards
171,2020-11-14,3299.0,Bulletin Boards
172,2020-11-15,3299.0,Bulletin Boards
173,2020-11-16,2731.0,Bulletin Boards
174,2020-11-17,3176.0,Bulletin Boards
175,2020-11-18,4077.0,Bulletin Boards
176,2020-11-19,4077.0,Bulletin Boards
177,2020-11-20,4077.0,Bulletin Boards
178,2020-11-21,4077.0,Bulletin Boards
179,2020-11-22,4077.0,Bulletin Boards
180,2020-11-23,5212.0,Bulletin Boards
181,2020-11-24,5683.0,Bulletin Boards
182,2020-11-25,5683.0,Bulletin Boards
183,2020-11-26,5683.0,Bulletin Boards
184,2020-11-27,5097.0,Bulletin Boards
185,2020-11-28,5097.0,Bulletin Boards
186,2020-11-29,5097.0,Bulletin Boards
187,2020-11-30,6044.0,Bulletin Boards
188,2020-12-01,6044.0,Bulletin Boards
189,2020-12-02,6044.0,Bulletin Boards
190,2020-12-03,3941.0,Bulletin Boards
191,2020-12-04,4165.0,Bulletin Boards
192,2020-12-05,4165.0,Bulletin Boards
193,2020-12-06,4165.0,Bulletin Boards
194,2020-12-07,4165.0,Bulletin Boards
195,2020-12-08,3704.0,Bulletin Boards
196,2020-12-09,3704.0,Bulletin Boards
197,2020-12-10,3704.0,Bulletin Boards
198,2020-12-11,3700.0,Bulletin Boards
199,2020-12-12,3700.0,Bulletin Boards
200,2020-12-13,3700.0,Bulletin Boards
201,2020-12-14,4036.0,Bulletin Boards
202,2020-12-15,3100.0,Bulletin Boards
203,2020-12-16,3470.0,Bulletin Boards
204,2020-12-17,3470.0,Bulletin Boards
205,2020-12-18,3470.0,Bulletin Boards
206,2020-12-19,3470.0,Bulletin Boards
207,2020-12-20,3470.0,Bulletin Boards
208,2020-12-21,3284.0,Bulletin Boards
209,2020-12-22,3284.0,Bulletin Boards
