,date,value,name_B07TX4WF9S
0,2019-07-10,36883.0,Glassware & Drinkware
1,2019-07-11,44226.0,Glassware & Drinkware
2,2019-07-12,36822.0,Glassware & Drinkware
3,2019-07-13,50982.0,Glassware & Drinkware
4,2019-07-14,42329.0,Glassware & Drinkware
5,2019-07-15,45825.0,Glassware & Drinkware
6,2019-07-16,44637.0,Glassware & Drinkware
7,2019-07-17,51085.0,Glassware & Drinkware
8,2019-07-18,36346.0,Glassware & Drinkware
9,2019-07-19,47839.0,Glassware & Drinkware
10,2019-07-20,43105.0,Glassware & Drinkware
11,2019-07-21,48588.0,Glassware & Drinkware
12,2019-07-22,54830.0,Glassware & Drinkware
13,2019-07-23,53572.0,Glassware & Drinkware
14,2019-07-24,45350.0,Glassware & Drinkware
15,2019-07-25,43921.0,Glassware & Drinkware
16,2019-07-26,49751.0,Glassware & Drinkware
17,2019-07-27,61167.0,Glassware & Drinkware
18,2019-07-28,81092.0,Glassware & Drinkware
19,2019-07-29,44974.0,Glassware & Drinkware
20,2019-07-30,52305.0,Glassware & Drinkware
21,2019-07-31,49356.0,Glassware & Drinkware
22,2019-08-01,42275.0,Glassware & Drinkware
23,2019-08-02,43500.0,Glassware & Drinkware
24,2019-08-03,45511.0,Glassware & Drinkware
25,2019-08-04,57847.0,Glassware & Drinkware
26,2019-08-05,66791.0,Glassware & Drinkware
27,2019-08-06,70472.0,Glassware & Drinkware
28,2019-08-07,60951.0,Glassware & Drinkware
29,2019-08-08,84405.0,Glassware & Drinkware
30,2019-08-09,100227.0,Glassware & Drinkware
31,2019-08-10,100227.0,Glassware & Drinkware
32,2019-08-11,100227.0,Glassware & Drinkware
33,2019-08-12,100227.0,Glassware & Drinkware
34,2019-08-13,70391.0,Glassware & Drinkware
35,2019-08-14,39947.0,Glassware & Drinkware
36,2019-08-15,40387.0,Glassware & Drinkware
37,2019-08-16,35899.0,Glassware & Drinkware
38,2019-08-17,35899.0,Glassware & Drinkware
39,2019-08-18,42716.0,Glassware & Drinkware
40,2019-08-19,38154.0,Glassware & Drinkware
41,2019-08-20,29759.0,Glassware & Drinkware
42,2019-08-21,29759.0,Glassware & Drinkware
43,2019-08-22,29759.0,Glassware & Drinkware
44,2019-08-23,29759.0,Glassware & Drinkware
45,2019-08-24,33501.0,Glassware & Drinkware
