,date,value,name_B07Q13NMJP
176,2019-09-21,8771.0,Cups
177,2019-09-22,9477.0,Cups
178,2019-09-23,8188.0,Cups
179,2019-09-24,8016.0,Cups
180,2019-09-25,7439.0,Cups
181,2019-09-26,7847.0,Cups
182,2019-09-27,7627.0,Cups
183,2019-09-28,8720.0,Cups
184,2019-09-29,8125.0,Cups
185,2019-09-30,6388.0,Cups
186,2019-10-01,6686.0,Cups
187,2019-10-02,8698.0,Cups
188,2019-10-03,11296.0,Cups
189,2019-10-04,7750.0,Cups
190,2019-10-05,7263.0,Cups
191,2019-10-06,7263.0,Cups
192,2019-10-07,7263.0,Cups
193,2019-10-08,5478.0,Cups
194,2019-10-09,6635.0,Cups
195,2019-10-10,6635.0,Cups
196,2019-10-11,6635.0,Cups
197,2019-10-12,8540.0,Cups
198,2019-10-13,7444.0,Cups
199,2019-10-14,7444.0,Cups
200,2019-10-15,7444.0,Cups
201,2019-10-16,9621.0,Cups
202,2019-10-17,5205.0,Cups
203,2019-10-18,7841.0,Cups
204,2019-10-19,6516.0,Cups
205,2019-10-20,8659.0,Cups
206,2019-10-21,8659.0,Cups
207,2019-10-22,8674.0,Cups
208,2019-10-23,7831.0,Cups
209,2019-10-24,9590.0,Cups
210,2019-10-25,10400.0,Cups
211,2019-10-26,11037.0,Cups
212,2019-10-27,13569.0,Cups
213,2019-10-28,7598.0,Cups
214,2019-10-29,10181.0,Cups
215,2019-10-30,8202.0,Cups
216,2019-10-31,8202.0,Cups
217,2019-11-01,10223.0,Cups
218,2019-11-02,8187.0,Cups
219,2019-11-03,11518.0,Cups
220,2019-11-04,6864.0,Cups
221,2019-11-05,6864.0,Cups
222,2019-11-06,6269.0,Cups
223,2019-11-07,6269.0,Cups
224,2019-11-08,6269.0,Cups
225,2019-11-09,9475.0,Cups
226,2019-11-10,9475.0,Cups
227,2019-11-11,9475.0,Cups
228,2019-11-12,9475.0,Cups
229,2019-11-13,9475.0,Cups
230,2019-11-14,7526.0,Cups
231,2019-11-15,8968.0,Cups
232,2019-11-16,8968.0,Cups
233,2019-11-17,8968.0,Cups
234,2019-11-18,9231.0,Cups
235,2019-11-19,8958.0,Cups
236,2019-11-20,8958.0,Cups
237,2019-11-21,8958.0,Cups
238,2019-11-22,8958.0,Cups
239,2019-11-23,8958.0,Cups
240,2019-11-24,8958.0,Cups
241,2019-11-25,6469.0,Cups
242,2019-11-26,6469.0,Cups
243,2019-11-27,6469.0,Cups
244,2019-11-28,10468.0,Cups
245,2019-11-29,10468.0,Cups
246,2019-11-30,15535.0,Cups
247,2019-12-01,13200.0,Cups
248,2019-12-02,13200.0,Cups
249,2019-12-03,10702.0,Cups
250,2019-12-04,10702.0,Cups
251,2019-12-05,10702.0,Cups
252,2019-12-06,10702.0,Cups
253,2019-12-07,10702.0,Cups
254,2019-12-08,10702.0,Cups
255,2019-12-09,12345.0,Cups
256,2019-12-10,10645.0,Cups
257,2019-12-11,10645.0,Cups
258,2019-12-12,10712.0,Cups
259,2019-12-13,10712.0,Cups
260,2019-12-14,10712.0,Cups
261,2019-12-15,14236.0,Cups
262,2019-12-16,15583.0,Cups
263,2019-12-17,15583.0,Cups
264,2019-12-18,15583.0,Cups
265,2019-12-19,15583.0,Cups
266,2019-12-20,15474.0,Cups
267,2019-12-21,15474.0,Cups
268,2019-12-22,21103.0,Cups
269,2019-12-23,21103.0,Cups
270,2019-12-24,21103.0,Cups
271,2019-12-25,21103.0,Cups
272,2019-12-26,10629.0,Cups
273,2019-12-27,11362.0,Cups
274,2019-12-28,11362.0,Cups
275,2019-12-29,11362.0,Cups
276,2019-12-30,11362.0,Cups
277,2019-12-31,11362.0,Cups
278,2020-01-01,11362.0,Cups
279,2020-01-02,11362.0,Cups
280,2020-01-03,12531.0,Cups
281,2020-01-04,12531.0,Cups
282,2020-01-05,12531.0,Cups
283,2020-01-06,9075.0,Cups
284,2020-01-07,9075.0,Cups
285,2020-01-08,9075.0,Cups
286,2020-01-09,9906.0,Cups
287,2020-01-10,10867.0,Cups
288,2020-01-11,11367.0,Cups
289,2020-01-12,11367.0,Cups
290,2020-01-13,11367.0,Cups
291,2020-01-14,11367.0,Cups
292,2020-01-15,16095.0,Cups
293,2020-01-16,12261.0,Cups
294,2020-01-17,12261.0,Cups
295,2020-01-18,12261.0,Cups
296,2020-01-19,16584.0,Cups
297,2020-01-20,11112.0,Cups
298,2020-01-21,11112.0,Cups
299,2020-01-22,10944.0,Cups
300,2020-01-23,10944.0,Cups
301,2020-01-24,17044.0,Cups
302,2020-01-25,17044.0,Cups
303,2020-01-26,17044.0,Cups
304,2020-01-27,17044.0,Cups
305,2020-01-28,8801.0,Cups
306,2020-01-29,8801.0,Cups
307,2020-01-30,8801.0,Cups
308,2020-01-31,10118.0,Cups
309,2020-02-01,10118.0,Cups
310,2020-02-02,10118.0,Cups
311,2020-02-03,10118.0,Cups
312,2020-02-04,10014.0,Cups
313,2020-02-05,11071.0,Cups
314,2020-02-06,11071.0,Cups
315,2020-02-07,10685.0,Cups
316,2020-02-08,10685.0,Cups
317,2020-02-09,10685.0,Cups
318,2020-02-10,14921.0,Cups
319,2020-02-11,13821.0,Cups
320,2020-02-12,13821.0,Cups
321,2020-02-13,11856.0,Cups
322,2020-02-14,11856.0,Cups
323,2020-02-15,11856.0,Cups
324,2020-02-16,11856.0,Cups
325,2020-02-17,11856.0,Cups
326,2020-02-18,11856.0,Cups
327,2020-02-19,-1.0,Cups
328,2020-02-20,-1.0,Cups
329,2020-02-21,-1.0,Cups
330,2020-02-22,-1.0,Cups
331,2020-02-23,-1.0,Cups
332,2020-02-24,-1.0,Cups
333,2020-02-25,-1.0,Cups
334,2020-02-26,24315.0,Cups
335,2020-02-27,24315.0,Cups
336,2020-02-28,24315.0,Cups
337,2020-02-29,20568.0,Cups
338,2020-03-01,20568.0,Cups
339,2020-03-02,20568.0,Cups
340,2020-03-03,14541.0,Cups
341,2020-03-04,14541.0,Cups
342,2020-03-05,14541.0,Cups
343,2020-03-06,14541.0,Cups
344,2020-03-07,13458.0,Cups
345,2020-03-08,13458.0,Cups
346,2020-03-09,-1.0,Cups
