,date,value,name_B01LZYU40W
0,2020-05-24,1527.0,Seat Covers
1,2020-05-25,1731.0,Seat Covers
2,2020-05-26,1626.0,Seat Covers
3,2020-05-27,1626.0,Seat Covers
4,2020-05-28,1626.0,Seat Covers
5,2020-05-29,1347.0,Seat Covers
6,2020-05-30,1800.0,Seat Covers
7,2020-05-31,1800.0,Seat Covers
8,2020-06-01,1800.0,Seat Covers
9,2020-06-02,2788.0,Seat Covers
10,2020-06-03,2788.0,Seat Covers
11,2020-06-04,2788.0,Seat Covers
12,2020-06-05,2788.0,Seat Covers
13,2020-06-06,3882.0,Seat Covers
14,2020-06-07,3882.0,Seat Covers
15,2020-06-08,3882.0,Seat Covers
16,2020-06-09,3599.0,Seat Covers
17,2020-06-10,3314.0,Seat Covers
18,2020-06-11,3652.0,Seat Covers
19,2020-06-12,3652.0,Seat Covers
20,2020-06-13,3652.0,Seat Covers
21,2020-06-14,2125.0,Seat Covers
22,2020-06-15,2125.0,Seat Covers
23,2020-06-16,2125.0,Seat Covers
24,2020-06-17,2319.0,Seat Covers
25,2020-06-18,2319.0,Seat Covers
26,2020-06-19,2319.0,Seat Covers
27,2020-06-20,3310.0,Seat Covers
28,2020-06-21,3803.0,Seat Covers
29,2020-06-22,3803.0,Seat Covers
30,2020-06-23,3838.0,Seat Covers
31,2020-06-24,3113.0,Seat Covers
32,2020-06-25,3113.0,Seat Covers
33,2020-06-26,3113.0,Seat Covers
34,2020-06-27,2730.0,Seat Covers
35,2020-06-28,2730.0,Seat Covers
36,2020-06-29,2890.0,Seat Covers
37,2020-06-30,2890.0,Seat Covers
38,2020-07-01,2728.0,Seat Covers
39,2020-07-02,2698.0,Seat Covers
40,2020-07-03,3023.0,Seat Covers
41,2020-07-04,3023.0,Seat Covers
42,2020-07-05,3023.0,Seat Covers
43,2020-07-06,2240.0,Seat Covers
44,2020-07-07,2349.0,Seat Covers
45,2020-07-08,2349.0,Seat Covers
46,2020-07-09,2153.0,Seat Covers
47,2020-07-10,2153.0,Seat Covers
48,2020-07-11,2153.0,Seat Covers
49,2020-07-12,1857.0,Seat Covers
50,2020-07-13,1857.0,Seat Covers
51,2020-07-14,2063.0,Seat Covers
52,2020-07-15,2063.0,Seat Covers
53,2020-07-16,2063.0,Seat Covers
54,2020-07-17,2095.0,Seat Covers
55,2020-07-18,2301.0,Seat Covers
56,2020-07-19,2301.0,Seat Covers
57,2020-07-20,2106.0,Seat Covers
58,2020-07-21,2106.0,Seat Covers
59,2020-07-22,2106.0,Seat Covers
60,2020-07-23,2106.0,Seat Covers
61,2020-07-24,1791.0,Seat Covers
62,2020-07-25,1791.0,Seat Covers
63,2020-07-26,1676.0,Seat Covers
64,2020-07-27,1676.0,Seat Covers
65,2020-07-28,1676.0,Seat Covers
66,2020-07-29,1850.0,Seat Covers
67,2020-07-30,1850.0,Seat Covers
68,2020-07-31,1850.0,Seat Covers
69,2020-08-01,2197.0,Seat Covers
70,2020-08-02,2197.0,Seat Covers
71,2020-08-03,2197.0,Seat Covers
72,2020-08-04,1985.0,Seat Covers
73,2020-08-05,1985.0,Seat Covers
74,2020-08-06,1985.0,Seat Covers
75,2020-08-07,2810.0,Seat Covers
76,2020-08-08,2810.0,Seat Covers
77,2020-08-09,2603.0,Seat Covers
78,2020-08-10,2940.0,Seat Covers
79,2020-08-11,2940.0,Seat Covers
80,2020-08-12,2940.0,Seat Covers
81,2020-08-13,2785.0,Seat Covers
82,2020-08-14,2785.0,Seat Covers
83,2020-08-15,2785.0,Seat Covers
84,2020-08-16,2854.0,Seat Covers
85,2020-08-17,2854.0,Seat Covers
86,2020-08-18,2854.0,Seat Covers
87,2020-08-19,2375.0,Seat Covers
88,2020-08-20,2714.0,Seat Covers
