,date,value,name_B082F9Y5CV
0,2020-01-28,44227.0,Tumblers & Water Glasses
1,2020-01-29,60337.0,Tumblers & Water Glasses
2,2020-01-30,39615.0,Tumblers & Water Glasses
3,2020-01-31,39615.0,Tumblers & Water Glasses
4,2020-02-01,11715.0,Tumblers & Water Glasses
5,2020-02-02,11715.0,Tumblers & Water Glasses
6,2020-02-03,19173.0,Tumblers & Water Glasses
7,2020-02-04,12537.0,Tumblers & Water Glasses
8,2020-02-05,12537.0,Tumblers & Water Glasses
9,2020-02-06,9830.0,Tumblers & Water Glasses
10,2020-02-07,6700.0,Tumblers & Water Glasses
11,2020-02-08,6700.0,Tumblers & Water Glasses
12,2020-02-09,12501.0,Tumblers & Water Glasses
13,2020-02-10,11118.0,Tumblers & Water Glasses
14,2020-02-11,11118.0,Tumblers & Water Glasses
15,2020-02-12,8558.0,Tumblers & Water Glasses
16,2020-02-13,7890.0,Tumblers & Water Glasses
17,2020-02-14,8300.0,Tumblers & Water Glasses
18,2020-02-15,9863.0,Tumblers & Water Glasses
19,2020-02-16,8294.0,Tumblers & Water Glasses
20,2020-02-17,3801.0,Tumblers & Water Glasses
21,2020-02-18,3801.0,Tumblers & Water Glasses
22,2020-02-19,3801.0,Tumblers & Water Glasses
23,2020-02-20,4536.0,Tumblers & Water Glasses
24,2020-02-21,2930.0,Tumblers & Water Glasses
25,2020-02-22,2966.0,Tumblers & Water Glasses
26,2020-02-23,2966.0,Tumblers & Water Glasses
27,2020-02-24,2607.0,Tumblers & Water Glasses
28,2020-02-25,2607.0,Tumblers & Water Glasses
29,2020-02-26,2607.0,Tumblers & Water Glasses
30,2020-02-27,2607.0,Tumblers & Water Glasses
31,2020-02-28,1842.0,Tumblers & Water Glasses
32,2020-02-29,1842.0,Tumblers & Water Glasses
33,2020-03-01,1842.0,Tumblers & Water Glasses
34,2020-03-02,2252.0,Tumblers & Water Glasses
35,2020-03-03,1831.0,Tumblers & Water Glasses
36,2020-03-04,1843.0,Tumblers & Water Glasses
37,2020-03-05,1843.0,Tumblers & Water Glasses
38,2020-03-06,2094.0,Tumblers & Water Glasses
39,2020-03-07,2094.0,Tumblers & Water Glasses
40,2020-03-08,-1.0,Tumblers & Water Glasses
