,date,value,name_B08T9K17J8
122,2021-06-23,10209.0,Play Tents & Tunnels
123,2021-06-24,5694.0,Play Tents & Tunnels
124,2021-06-25,5631.0,Play Tents & Tunnels
125,2021-06-26,5631.0,Play Tents & Tunnels
126,2021-06-27,4182.0,Play Tents & Tunnels
127,2021-06-28,4868.0,Play Tents & Tunnels
128,2021-06-29,4546.0,Play Tents & Tunnels
129,2021-06-30,4177.0,Play Tents & Tunnels
130,2021-07-01,4177.0,Play Tents & Tunnels
131,2021-07-02,4350.0,Play Tents & Tunnels
132,2021-07-03,4350.0,Play Tents & Tunnels
133,2021-07-04,4350.0,Play Tents & Tunnels
134,2021-07-05,7195.0,Play Tents & Tunnels
135,2021-07-06,7195.0,Play Tents & Tunnels
136,2021-07-07,5443.0,Play Tents & Tunnels
137,2021-07-08,5443.0,Play Tents & Tunnels
138,2021-07-09,5443.0,Play Tents & Tunnels
139,2021-07-10,5707.0,Play Tents & Tunnels
140,2021-07-11,6769.0,Play Tents & Tunnels
