,date,value,name_B08381938R
0,2020-01-17,100156.0,Artificial Plants & Greenery
1,2020-01-18,100156.0,Artificial Plants & Greenery
2,2020-01-19,130256.0,Artificial Plants & Greenery
3,2020-01-20,130256.0,Artificial Plants & Greenery
4,2020-01-21,130256.0,Artificial Plants & Greenery
5,2020-01-22,130256.0,Artificial Plants & Greenery
6,2020-01-23,130256.0,Artificial Plants & Greenery
7,2020-01-24,130256.0,Artificial Plants & Greenery
8,2020-01-25,130256.0,Artificial Plants & Greenery
9,2020-01-26,142262.0,Artificial Plants & Greenery
10,2020-01-27,142262.0,Artificial Plants & Greenery
11,2020-01-28,142262.0,Artificial Plants & Greenery
12,2020-01-29,142262.0,Artificial Plants & Greenery
13,2020-01-30,142262.0,Artificial Plants & Greenery
14,2020-01-31,158167.0,Artificial Plants & Greenery
15,2020-02-01,158167.0,Artificial Plants & Greenery
16,2020-02-02,158167.0,Artificial Plants & Greenery
17,2020-02-03,158167.0,Artificial Plants & Greenery
18,2020-02-04,158167.0,Artificial Plants & Greenery
19,2020-02-05,120290.0,Artificial Plants & Greenery
20,2020-02-06,120290.0,Artificial Plants & Greenery
21,2020-02-07,120290.0,Artificial Plants & Greenery
22,2020-02-08,120290.0,Artificial Plants & Greenery
23,2020-02-09,120290.0,Artificial Plants & Greenery
24,2020-02-10,120290.0,Artificial Plants & Greenery
25,2020-02-11,126867.0,Artificial Plants & Greenery
26,2020-02-12,126867.0,Artificial Plants & Greenery
27,2020-02-13,126867.0,Artificial Plants & Greenery
28,2020-02-14,126867.0,Artificial Plants & Greenery
29,2020-02-15,117937.0,Artificial Plants & Greenery
30,2020-02-16,117937.0,Artificial Plants & Greenery
31,2020-02-17,117937.0,Artificial Plants & Greenery
32,2020-02-18,117937.0,Artificial Plants & Greenery
33,2020-02-19,117937.0,Artificial Plants & Greenery
34,2020-02-20,117937.0,Artificial Plants & Greenery
35,2020-02-21,117937.0,Artificial Plants & Greenery
36,2020-02-22,143636.0,Artificial Plants & Greenery
37,2020-02-23,143636.0,Artificial Plants & Greenery
38,2020-02-24,143636.0,Artificial Plants & Greenery
39,2020-02-25,143636.0,Artificial Plants & Greenery
40,2020-02-26,143636.0,Artificial Plants & Greenery
41,2020-02-27,143636.0,Artificial Plants & Greenery
