,date,value,name_B07JBJ4JB1
0,2020-06-22,7673.0,Iron
1,2020-06-23,7673.0,Iron
2,2020-06-24,7673.0,Iron
3,2020-06-25,7673.0,Iron
4,2020-06-26,7673.0,Iron
5,2020-06-27,7343.0,Iron
6,2020-06-28,8412.0,Iron
7,2020-06-29,8412.0,Iron
8,2020-06-30,8412.0,Iron
9,2020-07-01,8412.0,Iron
10,2020-07-02,8412.0,Iron
11,2020-07-03,8412.0,Iron
12,2020-07-04,8412.0,Iron
13,2020-07-05,7447.0,Iron
14,2020-07-06,7447.0,Iron
15,2020-07-07,7447.0,Iron
16,2020-07-08,7272.0,Iron
17,2020-07-09,7272.0,Iron
18,2020-07-10,7272.0,Iron
19,2020-07-11,7272.0,Iron
20,2020-07-12,7014.0,Iron
21,2020-07-13,7014.0,Iron
22,2020-07-14,7970.0,Iron
23,2020-07-15,7970.0,Iron
24,2020-07-16,7970.0,Iron
25,2020-07-17,7970.0,Iron
26,2020-07-18,7633.0,Iron
27,2020-07-19,7633.0,Iron
28,2020-07-20,7633.0,Iron
29,2020-07-21,6632.0,Iron
30,2020-07-22,6632.0,Iron
31,2020-07-23,6632.0,Iron
32,2020-07-24,6164.0,Iron
33,2020-07-25,6164.0,Iron
34,2020-07-26,6164.0,Iron
35,2020-07-27,7104.0,Iron
36,2020-07-28,6877.0,Iron
37,2020-07-29,6877.0,Iron
38,2020-07-30,6877.0,Iron
39,2020-07-31,6543.0,Iron
40,2020-08-01,6543.0,Iron
41,2020-08-02,6543.0,Iron
42,2020-08-03,6307.0,Iron
43,2020-08-04,7495.0,Iron
44,2020-08-05,7495.0,Iron
45,2020-08-06,7495.0,Iron
46,2020-08-07,6351.0,Iron
47,2020-08-08,6351.0,Iron
48,2020-08-09,6351.0,Iron
49,2020-08-10,6095.0,Iron
50,2020-08-11,6095.0,Iron
51,2020-08-12,6141.0,Iron
52,2020-08-13,6141.0,Iron
53,2020-08-14,6141.0,Iron
54,2020-08-15,5909.0,Iron
55,2020-08-16,5996.0,Iron
56,2020-08-17,5996.0,Iron
57,2020-08-18,5996.0,Iron
58,2020-08-19,6980.0,Iron
59,2020-08-20,6980.0,Iron
60,2020-08-21,5065.0,Iron
61,2020-08-22,5065.0,Iron
62,2020-08-23,5065.0,Iron
63,2020-08-24,5065.0,Iron
64,2020-08-25,6364.0,Iron
65,2020-08-26,6364.0,Iron
66,2020-08-27,6364.0,Iron
67,2020-08-28,5604.0,Iron
68,2020-08-29,5604.0,Iron
69,2020-08-30,5604.0,Iron
70,2020-08-31,5232.0,Iron
71,2020-09-01,5232.0,Iron
72,2020-09-02,5232.0,Iron
73,2020-09-03,5232.0,Iron
74,2020-09-04,5337.0,Iron
75,2020-09-05,5337.0,Iron
76,2020-09-06,4851.0,Iron
77,2020-09-07,4851.0,Iron
78,2020-09-08,4851.0,Iron
79,2020-09-09,5695.0,Iron
80,2020-09-10,5695.0,Iron
81,2020-09-11,5695.0,Iron
82,2020-09-12,5149.0,Iron
83,2020-09-13,5149.0,Iron
84,2020-09-14,5149.0,Iron
85,2020-09-15,5673.0,Iron
86,2020-09-16,6155.0,Iron
87,2020-09-17,6155.0,Iron
88,2020-09-18,6155.0,Iron
89,2020-09-19,6155.0,Iron
90,2020-09-20,6743.0,Iron
91,2020-09-21,6743.0,Iron
92,2020-09-22,6743.0,Iron
93,2020-09-23,6219.0,Iron
94,2020-09-24,6649.0,Iron
95,2020-09-25,6649.0,Iron
96,2020-09-26,6574.0,Iron
97,2020-09-27,6759.0,Iron
98,2020-09-28,6759.0,Iron
99,2020-09-29,6759.0,Iron
100,2020-09-30,7290.0,Iron
101,2020-10-01,7290.0,Iron
102,2020-10-02,7290.0,Iron
103,2020-10-03,6428.0,Iron
104,2020-10-04,6428.0,Iron
105,2020-10-05,6414.0,Iron
106,2020-10-06,7536.0,Iron
107,2020-10-07,6399.0,Iron
108,2020-10-08,6399.0,Iron
109,2020-10-09,6399.0,Iron
110,2020-10-10,6038.0,Iron
111,2020-10-11,6038.0,Iron
112,2020-10-12,6038.0,Iron
113,2020-10-13,7526.0,Iron
114,2020-10-14,7526.0,Iron
115,2020-10-15,7526.0,Iron
116,2020-10-16,5176.0,Iron
117,2020-10-17,5176.0,Iron
118,2020-10-18,5211.0,Iron
119,2020-10-19,5211.0,Iron
120,2020-10-20,5211.0,Iron
121,2020-10-21,5308.0,Iron
122,2020-10-22,5308.0,Iron
123,2020-10-23,4570.0,Iron
124,2020-10-24,4570.0,Iron
125,2020-10-25,4570.0,Iron
126,2020-10-26,4570.0,Iron
127,2020-10-27,5331.0,Iron
128,2020-10-28,4834.0,Iron
129,2020-10-29,4834.0,Iron
130,2020-10-30,4834.0,Iron
131,2020-10-31,4846.0,Iron
132,2020-11-01,4846.0,Iron
133,2020-11-02,5230.0,Iron
134,2020-11-03,5230.0,Iron
135,2020-11-04,5230.0,Iron
136,2020-11-05,5258.0,Iron
137,2020-11-06,5258.0,Iron
138,2020-11-07,5024.0,Iron
139,2020-11-08,4993.0,Iron
140,2020-11-09,4993.0,Iron
141,2020-11-10,5315.0,Iron
142,2020-11-11,5315.0,Iron
143,2020-11-12,5315.0,Iron
144,2020-11-13,5935.0,Iron
145,2020-11-14,5935.0,Iron
146,2020-11-15,5359.0,Iron
147,2020-11-16,5359.0,Iron
148,2020-11-17,4630.0,Iron
149,2020-11-18,4630.0,Iron
150,2020-11-19,5917.0,Iron
151,2020-11-20,5917.0,Iron
152,2020-11-21,5917.0,Iron
153,2020-11-22,6244.0,Iron
154,2020-11-23,6244.0,Iron
155,2020-11-24,6244.0,Iron
156,2020-11-25,5829.0,Iron
157,2020-11-26,5829.0,Iron
158,2020-11-27,5829.0,Iron
159,2020-11-28,5829.0,Iron
160,2020-11-29,5829.0,Iron
161,2020-11-30,6516.0,Iron
162,2020-12-01,7032.0,Iron
163,2020-12-02,7032.0,Iron
164,2020-12-03,7032.0,Iron
165,2020-12-04,5595.0,Iron
166,2020-12-05,5595.0,Iron
167,2020-12-06,4697.0,Iron
168,2020-12-07,4967.0,Iron
169,2020-12-08,4967.0,Iron
170,2020-12-09,4967.0,Iron
171,2020-12-10,5647.0,Iron
172,2020-12-11,5336.0,Iron
173,2020-12-12,5118.0,Iron
174,2020-12-13,6001.0,Iron
175,2020-12-14,5541.0,Iron
176,2020-12-15,5216.0,Iron
177,2020-12-16,4994.0,Iron
178,2020-12-17,5988.0,Iron
179,2020-12-18,5419.0,Iron
180,2020-12-19,5602.0,Iron
181,2020-12-20,5281.0,Iron
182,2020-12-21,5182.0,Iron
183,2020-12-22,4899.0,Iron
184,2020-12-23,4719.0,Iron
185,2020-12-24,3946.0,Iron
186,2020-12-25,4290.0,Iron
187,2020-12-26,3738.0,Iron
188,2020-12-27,3928.0,Iron
189,2020-12-28,4381.0,Iron
190,2020-12-29,4503.0,Iron
191,2020-12-30,4503.0,Iron
192,2020-12-31,4804.0,Iron
193,2021-01-01,4045.0,Iron
194,2021-01-02,4011.0,Iron
195,2021-01-03,4011.0,Iron
196,2021-01-04,4461.0,Iron
197,2021-01-05,4461.0,Iron
198,2021-01-06,4461.0,Iron
199,2021-01-07,3678.0,Iron
200,2021-01-08,3678.0,Iron
201,2021-01-09,3678.0,Iron
202,2021-01-10,3678.0,Iron
203,2021-01-11,4066.0,Iron
