,date,value,name_B076PJH2RN
0,2020-05-29,23021.0,Spray
1,2020-05-30,18015.0,Spray
2,2020-05-31,18015.0,Spray
3,2020-06-01,22904.0,Spray
4,2020-06-02,22904.0,Spray
5,2020-06-03,22904.0,Spray
6,2020-06-04,22904.0,Spray
7,2020-06-05,22904.0,Spray
8,2020-06-06,21474.0,Spray
9,2020-06-07,20900.0,Spray
10,2020-06-08,20900.0,Spray
11,2020-06-09,20900.0,Spray
12,2020-06-10,25075.0,Spray
13,2020-06-11,25075.0,Spray
14,2020-06-12,24433.0,Spray
15,2020-06-13,24321.0,Spray
16,2020-06-14,24321.0,Spray
17,2020-06-15,24321.0,Spray
18,2020-06-16,26500.0,Spray
19,2020-06-17,26500.0,Spray
20,2020-06-18,26500.0,Spray
21,2020-06-19,22662.0,Spray
22,2020-06-20,22416.0,Spray
23,2020-06-21,22416.0,Spray
24,2020-06-22,22416.0,Spray
25,2020-06-23,21701.0,Spray
26,2020-06-24,21701.0,Spray
27,2020-06-25,21701.0,Spray
28,2020-06-26,19998.0,Spray
29,2020-06-27,18417.0,Spray
30,2020-06-28,18417.0,Spray
31,2020-06-29,21428.0,Spray
32,2020-06-30,21428.0,Spray
33,2020-07-01,21428.0,Spray
34,2020-07-02,21428.0,Spray
35,2020-07-03,21428.0,Spray
36,2020-07-04,16432.0,Spray
37,2020-07-05,16432.0,Spray
38,2020-07-06,20693.0,Spray
39,2020-07-07,16543.0,Spray
40,2020-07-08,16543.0,Spray
41,2020-07-09,16543.0,Spray
42,2020-07-10,16543.0,Spray
43,2020-07-11,19555.0,Spray
44,2020-07-12,19555.0,Spray
45,2020-07-13,19555.0,Spray
46,2020-07-14,22939.0,Spray
47,2020-07-15,22939.0,Spray
48,2020-07-16,22939.0,Spray
49,2020-07-17,22939.0,Spray
50,2020-07-18,18295.0,Spray
51,2020-07-19,18295.0,Spray
52,2020-07-20,18295.0,Spray
53,2020-07-21,22818.0,Spray
54,2020-07-22,22818.0,Spray
55,2020-07-23,22818.0,Spray
56,2020-07-24,22818.0,Spray
57,2020-07-25,22742.0,Spray
58,2020-07-26,22742.0,Spray
59,2020-07-27,17968.0,Spray
60,2020-07-28,17968.0,Spray
61,2020-07-29,25323.0,Spray
62,2020-07-30,25323.0,Spray
63,2020-07-31,25323.0,Spray
64,2020-08-01,14739.0,Spray
65,2020-08-02,14739.0,Spray
66,2020-08-03,14739.0,Spray
67,2020-08-04,15886.0,Spray
68,2020-08-05,15886.0,Spray
69,2020-08-06,15886.0,Spray
70,2020-08-07,22409.0,Spray
71,2020-08-08,26061.0,Spray
72,2020-08-09,26061.0,Spray
73,2020-08-10,26061.0,Spray
74,2020-08-11,23894.0,Spray
75,2020-08-12,26982.0,Spray
76,2020-08-13,26982.0,Spray
77,2020-08-14,26982.0,Spray
78,2020-08-15,20929.0,Spray
79,2020-08-16,20929.0,Spray
80,2020-08-17,20929.0,Spray
81,2020-08-18,20929.0,Spray
82,2020-08-19,24028.0,Spray
83,2020-08-20,24028.0,Spray
84,2020-08-21,24028.0,Spray
85,2020-08-22,17874.0,Spray
86,2020-08-23,17874.0,Spray
87,2020-08-24,17874.0,Spray
88,2020-08-25,20484.0,Spray
89,2020-08-26,20484.0,Spray
90,2020-08-27,20484.0,Spray
91,2020-08-28,17736.0,Spray
92,2020-08-29,21697.0,Spray
93,2020-08-30,17740.0,Spray
94,2020-08-31,17740.0,Spray
95,2020-09-01,23088.0,Spray
96,2020-09-02,23088.0,Spray
97,2020-09-03,29694.0,Spray
98,2020-09-04,29694.0,Spray
99,2020-09-05,29694.0,Spray
100,2020-09-06,29694.0,Spray
101,2020-09-07,34190.0,Spray
102,2020-09-08,34190.0,Spray
103,2020-09-09,34190.0,Spray
104,2020-09-10,19922.0,Spray
105,2020-09-11,19922.0,Spray
106,2020-09-12,22825.0,Spray
107,2020-09-13,22825.0,Spray
108,2020-09-14,22825.0,Spray
109,2020-09-15,28175.0,Spray
110,2020-09-16,16021.0,Spray
111,2020-09-17,20627.0,Spray
112,2020-09-18,20627.0,Spray
113,2020-09-19,20627.0,Spray
114,2020-09-20,20627.0,Spray
115,2020-09-21,24556.0,Spray
116,2020-09-22,24556.0,Spray
117,2020-09-23,11784.0,Spray
118,2020-09-24,13704.0,Spray
119,2020-09-25,13704.0,Spray
120,2020-09-26,9836.0,Spray
121,2020-09-27,9836.0,Spray
122,2020-09-28,14493.0,Spray
123,2020-09-29,14493.0,Spray
124,2020-09-30,14493.0,Spray
125,2020-10-01,18715.0,Spray
126,2020-10-02,27635.0,Spray
127,2020-10-03,22326.0,Spray
128,2020-10-04,22326.0,Spray
129,2020-10-05,22326.0,Spray
130,2020-10-06,23815.0,Spray
131,2020-10-07,19435.0,Spray
132,2020-10-08,20541.0,Spray
133,2020-10-09,19998.0,Spray
134,2020-10-10,18053.0,Spray
135,2020-10-11,18053.0,Spray
136,2020-10-12,18053.0,Spray
137,2020-10-13,19102.0,Spray
138,2020-10-14,19102.0,Spray
139,2020-10-15,25152.0,Spray
140,2020-10-16,24317.0,Spray
141,2020-10-17,25990.0,Spray
142,2020-10-18,25990.0,Spray
143,2020-10-19,30771.0,Spray
144,2020-10-20,30771.0,Spray
145,2020-10-21,24295.0,Spray
146,2020-10-22,24295.0,Spray
147,2020-10-23,23807.0,Spray
148,2020-10-24,23520.0,Spray
149,2020-10-25,23520.0,Spray
150,2020-10-26,26629.0,Spray
151,2020-10-27,24649.0,Spray
152,2020-10-28,24649.0,Spray
153,2020-10-29,24649.0,Spray
154,2020-10-30,35312.0,Spray
155,2020-10-31,20129.0,Spray
156,2020-11-01,20129.0,Spray
157,2020-11-02,20129.0,Spray
158,2020-11-03,24997.0,Spray
159,2020-11-04,24997.0,Spray
160,2020-11-05,18906.0,Spray
161,2020-11-06,18906.0,Spray
162,2020-11-07,17956.0,Spray
163,2020-11-08,17956.0,Spray
164,2020-11-09,23633.0,Spray
165,2020-11-10,21971.0,Spray
166,2020-11-11,21971.0,Spray
167,2020-11-12,18888.0,Spray
168,2020-11-13,20671.0,Spray
169,2020-11-14,21056.0,Spray
170,2020-11-15,11217.0,Spray
171,2020-11-16,11217.0,Spray
172,2020-11-17,14674.0,Spray
173,2020-11-18,14674.0,Spray
174,2020-11-19,15922.0,Spray
175,2020-11-20,15922.0,Spray
176,2020-11-21,14010.0,Spray
177,2020-11-22,14010.0,Spray
178,2020-11-23,14362.0,Spray
179,2020-11-24,14362.0,Spray
180,2020-11-25,15867.0,Spray
181,2020-11-26,17009.0,Spray
182,2020-11-27,17009.0,Spray
183,2020-11-28,13269.0,Spray
184,2020-11-29,13269.0,Spray
185,2020-11-30,13458.0,Spray
186,2020-12-01,16463.0,Spray
187,2020-12-02,16463.0,Spray
