,date,value,name_B08S44L5BM
0,2021-01-25,71949.0,Bed Pillows
1,2021-01-26,51272.0,Bed Pillows
2,2021-01-27,51272.0,Bed Pillows
3,2021-01-28,51272.0,Bed Pillows
4,2021-01-29,51272.0,Bed Pillows
5,2021-01-30,66454.0,Bed Pillows
6,2021-01-31,66454.0,Bed Pillows
7,2021-02-01,66454.0,Bed Pillows
8,2021-02-02,66454.0,Bed Pillows
9,2021-02-03,44495.0,Bed Pillows
10,2021-02-04,44495.0,Bed Pillows
11,2021-02-05,44495.0,Bed Pillows
12,2021-02-06,44495.0,Bed Pillows
13,2021-02-07,44495.0,Bed Pillows
14,2021-02-08,80080.0,Bed Pillows
15,2021-02-09,80080.0,Bed Pillows
16,2021-02-10,80080.0,Bed Pillows
17,2021-02-11,80080.0,Bed Pillows
18,2021-02-12,80080.0,Bed Pillows
19,2021-02-13,80080.0,Bed Pillows
20,2021-02-14,53015.0,Bed Pillows
21,2021-02-15,42541.0,Bed Pillows
22,2021-02-16,40632.0,Bed Pillows
23,2021-02-17,40632.0,Bed Pillows
24,2021-02-18,40632.0,Bed Pillows
25,2021-02-19,40632.0,Bed Pillows
26,2021-02-20,43961.0,Bed Pillows
27,2021-02-21,43961.0,Bed Pillows
28,2021-02-22,43961.0,Bed Pillows
29,2021-02-23,28050.0,Bed Pillows
30,2021-02-24,28050.0,Bed Pillows
31,2021-02-25,28050.0,Bed Pillows
32,2021-02-26,28050.0,Bed Pillows
33,2021-02-27,29986.0,Bed Pillows
34,2021-02-28,32059.0,Bed Pillows
35,2021-03-01,32059.0,Bed Pillows
36,2021-03-02,27453.0,Bed Pillows
37,2021-03-03,31360.0,Bed Pillows
38,2021-03-04,31360.0,Bed Pillows
39,2021-03-05,40232.0,Bed Pillows
40,2021-03-06,42851.0,Bed Pillows
41,2021-03-07,42851.0,Bed Pillows
42,2021-03-08,42851.0,Bed Pillows
43,2021-03-09,42851.0,Bed Pillows
44,2021-03-10,42851.0,Bed Pillows
45,2021-03-11,94331.0,Bed Pillows
