,date,value,name_B07RCMYQ2Z
167,2020-11-09,1350.0,Jerky
168,2020-11-10,1665.0,Jerky
169,2020-11-11,1595.0,Jerky
170,2020-11-12,1627.0,Jerky
171,2020-11-13,1774.0,Jerky
172,2020-11-14,1861.0,Jerky
173,2020-11-15,2033.0,Jerky
174,2020-11-16,1756.0,Jerky
175,2020-11-17,1570.0,Jerky
176,2020-11-18,1517.0,Jerky
177,2020-11-19,1517.0,Jerky
178,2020-11-20,1697.0,Jerky
179,2020-11-21,1420.0,Jerky
180,2020-11-22,1287.0,Jerky
181,2020-11-23,1139.0,Jerky
182,2020-11-24,1563.0,Jerky
183,2020-11-25,1625.0,Jerky
184,2020-11-26,1890.0,Jerky
185,2020-11-27,2078.0,Jerky
186,2020-11-28,2461.0,Jerky
187,2020-11-29,1655.0,Jerky
188,2020-11-30,2116.0,Jerky
189,2020-12-01,1946.0,Jerky
190,2020-12-02,2027.0,Jerky
191,2020-12-03,2111.0,Jerky
192,2020-12-04,1915.0,Jerky
193,2020-12-05,1708.0,Jerky
194,2020-12-06,1708.0,Jerky
195,2020-12-07,1273.0,Jerky
196,2020-12-08,1105.0,Jerky
197,2020-12-09,873.0,Jerky
198,2020-12-10,918.0,Jerky
199,2020-12-11,791.0,Jerky
200,2020-12-12,661.0,Jerky
201,2020-12-13,686.0,Jerky
202,2020-12-14,982.0,Jerky
203,2020-12-15,1273.0,Jerky
204,2020-12-16,1340.0,Jerky
205,2020-12-17,1352.0,Jerky
206,2020-12-18,1211.0,Jerky
207,2020-12-19,1073.0,Jerky
208,2020-12-20,1230.0,Jerky
209,2020-12-21,1333.0,Jerky
210,2020-12-22,1117.0,Jerky
211,2020-12-23,1010.0,Jerky
212,2020-12-24,1062.0,Jerky
213,2020-12-25,1227.0,Jerky
214,2020-12-26,1394.0,Jerky
215,2020-12-27,1394.0,Jerky
216,2020-12-28,1251.0,Jerky
217,2020-12-29,1438.0,Jerky
218,2020-12-30,1310.0,Jerky
219,2020-12-31,1249.0,Jerky
220,2021-01-01,1132.0,Jerky
221,2021-01-02,1084.0,Jerky
222,2021-01-03,1825.0,Jerky
223,2021-01-04,1929.0,Jerky
224,2021-01-05,1742.0,Jerky
225,2021-01-06,2203.0,Jerky
226,2021-01-07,1939.0,Jerky
227,2021-01-08,2442.0,Jerky
228,2021-01-09,2471.0,Jerky
229,2021-01-10,2256.0,Jerky
230,2021-01-11,2435.0,Jerky
231,2021-01-12,2352.0,Jerky
232,2021-01-13,2238.0,Jerky
233,2021-01-14,2034.0,Jerky
234,2021-01-15,1965.0,Jerky
235,2021-01-16,2077.0,Jerky
236,2021-01-17,1715.0,Jerky
237,2021-01-18,1700.0,Jerky
238,2021-01-19,2010.0,Jerky
239,2021-01-20,1888.0,Jerky
240,2021-01-21,1985.0,Jerky
241,2021-01-22,2137.0,Jerky
242,2021-01-23,2105.0,Jerky
243,2021-01-24,2105.0,Jerky
244,2021-01-25,2238.0,Jerky
245,2021-01-26,2240.0,Jerky
246,2021-01-27,2049.0,Jerky
247,2021-01-28,1737.0,Jerky
248,2021-01-29,1810.0,Jerky
249,2021-01-30,1780.0,Jerky
250,2021-01-31,1817.0,Jerky
251,2021-02-01,2008.0,Jerky
252,2021-02-02,2065.0,Jerky
253,2021-02-03,2094.0,Jerky
254,2021-02-04,2094.0,Jerky
255,2021-02-05,2447.0,Jerky
256,2021-02-06,2364.0,Jerky
