,date,value,name_B0853733F1
0,2020-02-26,-1.0,Clothing
1,2020-02-27,-1.0,Clothing
2,2020-02-28,-1.0,Clothing
3,2020-02-29,-1.0,Clothing
4,2020-03-01,-1.0,Clothing
5,2020-03-02,-1.0,Clothing
6,2020-03-03,-1.0,Clothing
7,2020-03-04,-1.0,Clothing
8,2020-03-05,-1.0,Clothing
9,2020-03-06,-1.0,Clothing
10,2020-03-07,-1.0,Clothing
11,2020-03-08,-1.0,Clothing
12,2020-03-09,-1.0,Clothing
13,2020-03-10,-1.0,Clothing
14,2020-03-11,-1.0,Clothing
15,2020-03-12,-1.0,Clothing
16,2020-03-13,-1.0,Clothing
17,2020-03-14,-1.0,Clothing
18,2020-03-15,-1.0,Clothing
19,2020-03-16,-1.0,Clothing
20,2020-03-17,-1.0,Clothing
21,2020-03-18,-1.0,Clothing
22,2020-03-19,-1.0,Clothing
23,2020-03-20,-1.0,Clothing
24,2020-03-21,-1.0,Clothing
25,2020-03-22,-1.0,Clothing
26,2020-03-23,-1.0,Clothing
27,2020-03-24,-1.0,Clothing
28,2020-03-25,-1.0,Clothing
29,2020-03-26,-1.0,Clothing
30,2020-03-27,-1.0,Clothing
31,2020-03-28,-1.0,Clothing
32,2020-03-29,-1.0,Clothing
33,2020-03-30,-1.0,Clothing
34,2020-03-31,-1.0,Clothing
35,2020-04-01,-1.0,Clothing
36,2020-04-02,-1.0,Clothing
37,2020-04-03,-1.0,Clothing
38,2020-04-04,-1.0,Clothing
39,2020-04-05,-1.0,Clothing
40,2020-04-06,-1.0,Clothing
41,2020-04-07,-1.0,Clothing
42,2020-04-08,-1.0,Clothing
43,2020-04-09,-1.0,Clothing
44,2020-04-10,-1.0,Clothing
45,2020-04-11,-1.0,Clothing
46,2020-04-12,-1.0,Clothing
47,2020-04-13,-1.0,Clothing
48,2020-04-14,-1.0,Clothing
49,2020-04-15,-1.0,Clothing
50,2020-04-16,-1.0,Clothing
51,2020-04-17,-1.0,Clothing
52,2020-04-18,-1.0,Clothing
53,2020-04-19,-1.0,Clothing
54,2020-04-20,-1.0,Clothing
55,2020-04-21,-1.0,Clothing
56,2020-04-22,-1.0,Clothing
57,2020-04-23,-1.0,Clothing
58,2020-04-24,-1.0,Clothing
59,2020-04-25,-1.0,Clothing
60,2020-04-26,-1.0,Clothing
61,2020-04-27,-1.0,Clothing
62,2020-04-28,-1.0,Clothing
63,2020-04-29,-1.0,Clothing
64,2020-04-30,-1.0,Clothing
65,2020-05-01,-1.0,Clothing
66,2020-05-02,-1.0,Clothing
67,2020-05-03,-1.0,Clothing
68,2020-05-04,-1.0,Clothing
69,2020-05-05,-1.0,Clothing
70,2020-05-06,-1.0,Clothing
71,2020-05-07,-1.0,Clothing
72,2020-05-08,-1.0,Clothing
73,2020-05-09,-1.0,Clothing
74,2020-05-10,-1.0,Clothing
75,2020-05-11,-1.0,Clothing
76,2020-05-12,-1.0,Clothing
77,2020-05-13,-1.0,Clothing
78,2020-05-14,-1.0,Clothing
79,2020-05-15,-1.0,Clothing
80,2020-05-16,-1.0,Clothing
81,2020-05-17,-1.0,Clothing
82,2020-05-18,-1.0,Clothing
83,2020-05-19,-1.0,Clothing
84,2020-05-20,-1.0,Clothing
85,2020-05-21,-1.0,Clothing
86,2020-05-22,-1.0,Clothing
87,2020-05-23,-1.0,Clothing
88,2020-05-24,-1.0,Clothing
89,2020-05-25,-1.0,Clothing
90,2020-05-26,-1.0,Clothing
91,2020-05-27,-1.0,Clothing
92,2020-05-28,-1.0,Clothing
93,2020-05-29,1895.0,Clothing
94,2020-05-30,2297.0,Clothing
95,2020-05-31,2297.0,Clothing
96,2020-06-01,2297.0,Clothing
97,2020-06-02,2297.0,Clothing
98,2020-06-03,14022.0,Clothing
99,2020-06-04,14022.0,Clothing
100,2020-06-05,11718.0,Clothing
101,2020-06-06,8945.0,Clothing
102,2020-06-07,8945.0,Clothing
103,2020-06-08,8945.0,Clothing
104,2020-06-09,8945.0,Clothing
105,2020-06-10,7369.0,Clothing
106,2020-06-11,5700.0,Clothing
107,2020-06-12,5700.0,Clothing
108,2020-06-13,4503.0,Clothing
109,2020-06-14,4503.0,Clothing
110,2020-06-15,2922.0,Clothing
111,2020-06-16,2989.0,Clothing
112,2020-06-17,2989.0,Clothing
113,2020-06-18,2467.0,Clothing
114,2020-06-19,2708.0,Clothing
115,2020-06-20,2708.0,Clothing
116,2020-06-21,2708.0,Clothing
117,2020-06-22,4116.0,Clothing
118,2020-06-23,4473.0,Clothing
119,2020-06-24,2715.0,Clothing
120,2020-06-25,3279.0,Clothing
121,2020-06-26,3279.0,Clothing
122,2020-06-27,3113.0,Clothing
123,2020-06-28,3308.0,Clothing
124,2020-06-29,3308.0,Clothing
125,2020-06-30,3821.0,Clothing
126,2020-07-01,3436.0,Clothing
127,2020-07-02,3556.0,Clothing
128,2020-07-03,2892.0,Clothing
129,2020-07-04,2892.0,Clothing
130,2020-07-05,2892.0,Clothing
131,2020-07-06,2892.0,Clothing
132,2020-07-07,3242.0,Clothing
133,2020-07-08,3154.0,Clothing
134,2020-07-09,2823.0,Clothing
135,2020-07-10,2918.0,Clothing
136,2020-07-11,2796.0,Clothing
137,2020-07-12,2625.0,Clothing
138,2020-07-13,2799.0,Clothing
139,2020-07-14,2799.0,Clothing
140,2020-07-15,3168.0,Clothing
141,2020-07-16,2905.0,Clothing
142,2020-07-17,3035.0,Clothing
143,2020-07-18,3052.0,Clothing
144,2020-07-19,3052.0,Clothing
145,2020-07-20,3973.0,Clothing
146,2020-07-21,3861.0,Clothing
147,2020-07-22,3461.0,Clothing
148,2020-07-23,3414.0,Clothing
149,2020-07-24,3099.0,Clothing
150,2020-07-25,3099.0,Clothing
151,2020-07-26,3099.0,Clothing
152,2020-07-27,4731.0,Clothing
153,2020-07-28,4812.0,Clothing
154,2020-07-29,5099.0,Clothing
155,2020-07-30,5099.0,Clothing
156,2020-07-31,10090.0,Clothing
157,2020-08-01,5057.0,Clothing
158,2020-08-02,5057.0,Clothing
159,2020-08-03,6236.0,Clothing
160,2020-08-04,6815.0,Clothing
161,2020-08-05,6815.0,Clothing
162,2020-08-06,6815.0,Clothing
163,2020-08-07,7730.0,Clothing
164,2020-08-08,7730.0,Clothing
165,2020-08-09,7730.0,Clothing
166,2020-08-10,6607.0,Clothing
167,2020-08-11,5139.0,Clothing
168,2020-08-12,5556.0,Clothing
169,2020-08-13,5556.0,Clothing
170,2020-08-14,5501.0,Clothing
171,2020-08-15,6161.0,Clothing
172,2020-08-16,7166.0,Clothing
173,2020-08-17,5981.0,Clothing
174,2020-08-18,6401.0,Clothing
175,2020-08-19,4796.0,Clothing
176,2020-08-20,4963.0,Clothing
177,2020-08-21,4301.0,Clothing
178,2020-08-22,4301.0,Clothing
179,2020-08-23,4301.0,Clothing
180,2020-08-24,4482.0,Clothing
181,2020-08-25,5516.0,Clothing
182,2020-08-26,5516.0,Clothing
183,2020-08-27,5481.0,Clothing
184,2020-08-28,4900.0,Clothing
185,2020-08-29,4900.0,Clothing
186,2020-08-30,5662.0,Clothing
187,2020-08-31,5662.0,Clothing
188,2020-09-01,6057.0,Clothing
189,2020-09-02,4451.0,Clothing
190,2020-09-03,4066.0,Clothing
191,2020-09-04,3942.0,Clothing
192,2020-09-05,3289.0,Clothing
193,2020-09-06,3289.0,Clothing
194,2020-09-07,5103.0,Clothing
195,2020-09-08,5103.0,Clothing
196,2020-09-09,4985.0,Clothing
197,2020-09-10,4985.0,Clothing
198,2020-09-11,3882.0,Clothing
199,2020-09-12,3592.0,Clothing
200,2020-09-13,3592.0,Clothing
201,2020-09-14,3592.0,Clothing
202,2020-09-15,4298.0,Clothing
203,2020-09-16,4217.0,Clothing
204,2020-09-17,3216.0,Clothing
205,2020-09-18,2686.0,Clothing
206,2020-09-19,2800.0,Clothing
207,2020-09-20,2800.0,Clothing
208,2020-09-21,2800.0,Clothing
209,2020-09-22,3681.0,Clothing
210,2020-09-23,3536.0,Clothing
211,2020-09-24,3311.0,Clothing
212,2020-09-25,2692.0,Clothing
213,2020-09-26,2824.0,Clothing
214,2020-09-27,2543.0,Clothing
215,2020-09-28,3304.0,Clothing
216,2020-09-29,3304.0,Clothing
217,2020-09-30,2912.0,Clothing
218,2020-10-01,2912.0,Clothing
219,2020-10-02,2708.0,Clothing
220,2020-10-03,2708.0,Clothing
