,date,value,name_B08FMH3FT2
0,2020-09-19,72883.0,Repellents
1,2020-09-20,74665.0,Repellents
2,2020-09-21,21974.0,Repellents
3,2020-09-22,39622.0,Repellents
4,2020-09-23,20593.0,Repellents
5,2020-09-24,15701.0,Repellents
6,2020-09-25,19004.0,Repellents
7,2020-09-26,12470.0,Repellents
8,2020-09-27,15625.0,Repellents
9,2020-09-28,22157.0,Repellents
10,2020-09-29,23637.0,Repellents
11,2020-09-30,18907.0,Repellents
12,2020-10-01,18264.0,Repellents
13,2020-10-02,15823.0,Repellents
14,2020-10-03,19878.0,Repellents
15,2020-10-04,23648.0,Repellents
16,2020-10-05,19669.0,Repellents
17,2020-10-06,34132.0,Repellents
18,2020-10-07,37641.0,Repellents
19,2020-10-08,20678.0,Repellents
20,2020-10-09,18168.0,Repellents
21,2020-10-10,22808.0,Repellents
22,2020-10-11,29778.0,Repellents
23,2020-10-12,43005.0,Repellents
24,2020-10-13,34919.0,Repellents
25,2020-10-14,30923.0,Repellents
26,2020-10-15,39212.0,Repellents
27,2020-10-16,30714.0,Repellents
28,2020-10-17,24954.0,Repellents
29,2020-10-18,24954.0,Repellents
30,2020-10-19,66969.0,Repellents
31,2020-10-20,26246.0,Repellents
32,2020-10-21,43176.0,Repellents
33,2020-10-22,48291.0,Repellents
34,2020-10-23,23085.0,Repellents
35,2020-10-24,27420.0,Repellents
36,2020-10-25,28397.0,Repellents
37,2020-10-26,30197.0,Repellents
38,2020-10-27,43981.0,Repellents
39,2020-10-28,43981.0,Repellents
40,2020-10-29,43981.0,Repellents
41,2020-10-30,96963.0,Repellents
42,2020-10-31,96963.0,Repellents
43,2020-11-01,96963.0,Repellents
44,2020-11-02,96963.0,Repellents
45,2020-11-03,136503.0,Repellents
46,2020-11-04,136503.0,Repellents
47,2020-11-05,136503.0,Repellents
48,2020-11-06,136503.0,Repellents
49,2020-11-07,136503.0,Repellents
50,2020-11-08,136503.0,Repellents
51,2020-11-09,164803.0,Repellents
52,2020-11-10,164803.0,Repellents
53,2020-11-11,172519.0,Repellents
54,2020-11-12,175947.0,Repellents
55,2020-11-13,175947.0,Repellents
56,2020-11-14,175947.0,Repellents
57,2020-11-15,137267.0,Repellents
58,2020-11-16,91105.0,Repellents
59,2020-11-17,91105.0,Repellents
60,2020-11-18,91105.0,Repellents
61,2020-11-19,91105.0,Repellents
62,2020-11-20,91105.0,Repellents
63,2020-11-21,91105.0,Repellents
64,2020-11-22,91105.0,Repellents
65,2020-11-23,91105.0,Repellents
66,2020-11-24,91105.0,Repellents
67,2020-11-25,91105.0,Repellents
68,2020-11-26,210311.0,Repellents
69,2020-11-27,211382.0,Repellents
70,2020-11-28,211382.0,Repellents
71,2020-11-29,223067.0,Repellents
72,2020-11-30,223067.0,Repellents
73,2020-12-01,223067.0,Repellents
74,2020-12-02,223067.0,Repellents
75,2020-12-03,223067.0,Repellents
76,2020-12-04,223067.0,Repellents
77,2020-12-05,223067.0,Repellents
78,2020-12-06,223067.0,Repellents
79,2020-12-07,223067.0,Repellents
80,2020-12-08,223067.0,Repellents
81,2020-12-09,223067.0,Repellents
82,2020-12-10,223067.0,Repellents
83,2020-12-11,223067.0,Repellents
84,2020-12-12,223067.0,Repellents
85,2020-12-13,223067.0,Repellents
86,2020-12-14,263152.0,Repellents
87,2020-12-15,56917.0,Repellents
88,2020-12-16,52628.0,Repellents
