,date,value,name_B087WJ8886
0,2020-05-08,64220.0,Quilt Sets
1,2020-05-09,64220.0,Quilt Sets
2,2020-05-10,64220.0,Quilt Sets
3,2020-05-11,64220.0,Quilt Sets
4,2020-05-12,64220.0,Quilt Sets
5,2020-05-13,39980.0,Quilt Sets
6,2020-05-14,39980.0,Quilt Sets
7,2020-05-15,39980.0,Quilt Sets
8,2020-05-16,39980.0,Quilt Sets
9,2020-05-17,39980.0,Quilt Sets
10,2020-05-18,39980.0,Quilt Sets
11,2020-05-19,39980.0,Quilt Sets
12,2020-05-20,39980.0,Quilt Sets
13,2020-05-21,37695.0,Quilt Sets
14,2020-05-22,37695.0,Quilt Sets
15,2020-05-23,37695.0,Quilt Sets
16,2020-05-24,37695.0,Quilt Sets
17,2020-05-25,37695.0,Quilt Sets
18,2020-05-26,39457.0,Quilt Sets
19,2020-05-27,39457.0,Quilt Sets
20,2020-05-28,39457.0,Quilt Sets
21,2020-05-29,39457.0,Quilt Sets
22,2020-05-30,39457.0,Quilt Sets
23,2020-05-31,39457.0,Quilt Sets
24,2020-06-01,39457.0,Quilt Sets
25,2020-06-02,39457.0,Quilt Sets
26,2020-06-03,39457.0,Quilt Sets
27,2020-06-04,38133.0,Quilt Sets
28,2020-06-05,38133.0,Quilt Sets
29,2020-06-06,38133.0,Quilt Sets
30,2020-06-07,38133.0,Quilt Sets
31,2020-06-08,37580.0,Quilt Sets
32,2020-06-09,37580.0,Quilt Sets
33,2020-06-10,37580.0,Quilt Sets
34,2020-06-11,37580.0,Quilt Sets
35,2020-06-12,33658.0,Quilt Sets
36,2020-06-13,33658.0,Quilt Sets
37,2020-06-14,33658.0,Quilt Sets
38,2020-06-15,33658.0,Quilt Sets
39,2020-06-16,33658.0,Quilt Sets
40,2020-06-17,42070.0,Quilt Sets
41,2020-06-18,42070.0,Quilt Sets
42,2020-06-19,42070.0,Quilt Sets
43,2020-06-20,42070.0,Quilt Sets
44,2020-06-21,42070.0,Quilt Sets
45,2020-06-22,36833.0,Quilt Sets
46,2020-06-23,36833.0,Quilt Sets
47,2020-06-24,36833.0,Quilt Sets
48,2020-06-25,51336.0,Quilt Sets
49,2020-06-26,57206.0,Quilt Sets
50,2020-06-27,65618.0,Quilt Sets
51,2020-06-28,65618.0,Quilt Sets
52,2020-06-29,65618.0,Quilt Sets
53,2020-06-30,65618.0,Quilt Sets
54,2020-07-01,65618.0,Quilt Sets
55,2020-07-02,65618.0,Quilt Sets
56,2020-07-03,65618.0,Quilt Sets
57,2020-07-04,65618.0,Quilt Sets
58,2020-07-05,65618.0,Quilt Sets
59,2020-07-06,65618.0,Quilt Sets
60,2020-07-07,65618.0,Quilt Sets
61,2020-07-08,65618.0,Quilt Sets
62,2020-07-09,65618.0,Quilt Sets
63,2020-07-10,65618.0,Quilt Sets
64,2020-07-11,65618.0,Quilt Sets
65,2020-07-12,65618.0,Quilt Sets
66,2020-07-13,65618.0,Quilt Sets
67,2020-07-14,65618.0,Quilt Sets
68,2020-07-15,65618.0,Quilt Sets
69,2020-07-16,65618.0,Quilt Sets
70,2020-07-17,65618.0,Quilt Sets
71,2020-07-18,163164.0,Quilt Sets
72,2020-07-19,163164.0,Quilt Sets
73,2020-07-20,163164.0,Quilt Sets
74,2020-07-21,163164.0,Quilt Sets
75,2020-07-22,163164.0,Quilt Sets
76,2020-07-23,135146.0,Quilt Sets
77,2020-07-24,135146.0,Quilt Sets
78,2020-07-25,135146.0,Quilt Sets
79,2020-07-26,135146.0,Quilt Sets
80,2020-07-27,135146.0,Quilt Sets
81,2020-07-28,135146.0,Quilt Sets
82,2020-07-29,135146.0,Quilt Sets
83,2020-07-30,135146.0,Quilt Sets
84,2020-07-31,135146.0,Quilt Sets
85,2020-08-01,135146.0,Quilt Sets
86,2020-08-02,135146.0,Quilt Sets
87,2020-08-03,135146.0,Quilt Sets
