,date,value,name_B0891LXZCH
0,2020-05-26,2261.0,Building Sets
1,2020-05-27,2261.0,Building Sets
2,2020-05-28,2444.0,Building Sets
3,2020-05-29,2444.0,Building Sets
4,2020-05-30,2444.0,Building Sets
5,2020-05-31,1758.0,Building Sets
6,2020-06-01,1786.0,Building Sets
7,2020-06-02,1703.0,Building Sets
8,2020-06-03,1703.0,Building Sets
9,2020-06-04,2418.0,Building Sets
10,2020-06-05,2418.0,Building Sets
11,2020-06-06,3212.0,Building Sets
12,2020-06-07,3051.0,Building Sets
13,2020-06-08,3051.0,Building Sets
14,2020-06-09,2279.0,Building Sets
15,2020-06-10,2279.0,Building Sets
16,2020-06-11,2279.0,Building Sets
17,2020-06-12,2208.0,Building Sets
18,2020-06-13,2825.0,Building Sets
19,2020-06-14,2825.0,Building Sets
20,2020-06-15,3560.0,Building Sets
21,2020-06-16,2696.0,Building Sets
22,2020-06-17,2648.0,Building Sets
23,2020-06-18,2648.0,Building Sets
24,2020-06-19,2648.0,Building Sets
25,2020-06-20,2744.0,Building Sets
26,2020-06-21,2744.0,Building Sets
27,2020-06-22,7263.0,Building Sets
28,2020-06-23,6223.0,Building Sets
29,2020-06-24,6223.0,Building Sets
30,2020-06-25,3236.0,Building Sets
31,2020-06-26,3236.0,Building Sets
32,2020-06-27,3236.0,Building Sets
33,2020-06-28,3236.0,Building Sets
34,2020-06-29,4235.0,Building Sets
35,2020-06-30,3666.0,Building Sets
36,2020-07-01,2565.0,Building Sets
37,2020-07-02,2565.0,Building Sets
38,2020-07-03,2653.0,Building Sets
39,2020-07-04,2653.0,Building Sets
40,2020-07-05,2569.0,Building Sets
41,2020-07-06,2569.0,Building Sets
42,2020-07-07,2569.0,Building Sets
43,2020-07-08,2711.0,Building Sets
44,2020-07-09,2711.0,Building Sets
45,2020-07-10,2711.0,Building Sets
46,2020-07-11,3695.0,Building Sets
47,2020-07-12,5234.0,Building Sets
48,2020-07-13,4687.0,Building Sets
49,2020-07-14,4687.0,Building Sets
50,2020-07-15,4687.0,Building Sets
51,2020-07-16,4687.0,Building Sets
52,2020-07-17,5108.0,Building Sets
53,2020-07-18,5108.0,Building Sets
54,2020-07-19,5108.0,Building Sets
55,2020-07-20,5020.0,Building Sets
56,2020-07-21,6017.0,Building Sets
57,2020-07-22,4583.0,Building Sets
58,2020-07-23,3532.0,Building Sets
59,2020-07-24,4958.0,Building Sets
