,date,value,name_B07P9VXHS1
0,2020-05-25,1778.0,Training Pads
1,2020-05-26,1644.0,Training Pads
2,2020-05-27,1644.0,Training Pads
3,2020-05-28,1693.0,Training Pads
4,2020-05-29,1822.0,Training Pads
5,2020-05-30,1822.0,Training Pads
6,2020-05-31,1822.0,Training Pads
7,2020-06-01,1704.0,Training Pads
8,2020-06-02,1704.0,Training Pads
9,2020-06-03,1704.0,Training Pads
10,2020-06-04,1730.0,Training Pads
11,2020-06-05,1874.0,Training Pads
12,2020-06-06,1874.0,Training Pads
13,2020-06-07,1668.0,Training Pads
14,2020-06-08,1668.0,Training Pads
15,2020-06-09,1709.0,Training Pads
16,2020-06-10,1709.0,Training Pads
17,2020-06-11,1709.0,Training Pads
18,2020-06-12,1827.0,Training Pads
19,2020-06-13,1507.0,Training Pads
20,2020-06-14,1507.0,Training Pads
21,2020-06-15,1507.0,Training Pads
22,2020-06-16,1772.0,Training Pads
23,2020-06-17,1772.0,Training Pads
24,2020-06-18,1772.0,Training Pads
25,2020-06-19,1578.0,Training Pads
26,2020-06-20,1578.0,Training Pads
27,2020-06-21,1578.0,Training Pads
28,2020-06-22,1810.0,Training Pads
29,2020-06-23,1731.0,Training Pads
30,2020-06-24,1731.0,Training Pads
31,2020-06-25,1385.0,Training Pads
32,2020-06-26,1434.0,Training Pads
33,2020-06-27,1434.0,Training Pads
34,2020-06-28,1468.0,Training Pads
35,2020-06-29,1468.0,Training Pads
36,2020-06-30,1468.0,Training Pads
37,2020-07-01,1543.0,Training Pads
38,2020-07-02,1519.0,Training Pads
39,2020-07-03,1412.0,Training Pads
40,2020-07-04,1412.0,Training Pads
41,2020-07-05,1694.0,Training Pads
42,2020-07-06,1694.0,Training Pads
43,2020-07-07,1626.0,Training Pads
44,2020-07-08,1456.0,Training Pads
45,2020-07-09,1456.0,Training Pads
46,2020-07-10,1456.0,Training Pads
47,2020-07-11,1924.0,Training Pads
48,2020-07-12,1983.0,Training Pads
49,2020-07-13,1983.0,Training Pads
50,2020-07-14,2607.0,Training Pads
51,2020-07-15,2607.0,Training Pads
52,2020-07-16,3298.0,Training Pads
53,2020-07-17,3298.0,Training Pads
54,2020-07-18,3298.0,Training Pads
55,2020-07-19,3294.0,Training Pads
56,2020-07-20,3294.0,Training Pads
57,2020-07-21,3112.0,Training Pads
58,2020-07-22,4057.0,Training Pads
59,2020-07-23,4057.0,Training Pads
60,2020-07-24,4057.0,Training Pads
61,2020-07-25,5177.0,Training Pads
62,2020-07-26,5177.0,Training Pads
63,2020-07-27,2110.0,Training Pads
64,2020-07-28,2110.0,Training Pads
65,2020-07-29,2110.0,Training Pads
66,2020-07-30,2567.0,Training Pads
67,2020-07-31,2567.0,Training Pads
68,2020-08-01,2567.0,Training Pads
69,2020-08-02,2227.0,Training Pads
70,2020-08-03,2227.0,Training Pads
71,2020-08-04,2227.0,Training Pads
72,2020-08-05,1835.0,Training Pads
73,2020-08-06,1835.0,Training Pads
74,2020-08-07,1835.0,Training Pads
75,2020-08-08,1835.0,Training Pads
76,2020-08-09,1835.0,Training Pads
77,2020-08-10,1835.0,Training Pads
78,2020-08-11,1835.0,Training Pads
79,2020-08-12,1835.0,Training Pads
80,2020-08-13,1835.0,Training Pads
81,2020-08-14,1835.0,Training Pads
82,2020-08-15,1835.0,Training Pads
83,2020-08-16,16822.0,Training Pads
84,2020-08-17,18707.0,Training Pads
85,2020-08-18,18707.0,Training Pads
86,2020-08-19,18707.0,Training Pads
87,2020-08-20,18707.0,Training Pads
88,2020-08-21,18707.0,Training Pads
89,2020-08-22,18707.0,Training Pads
90,2020-08-23,18707.0,Training Pads
91,2020-08-24,21452.0,Training Pads
92,2020-08-25,21452.0,Training Pads
93,2020-08-26,21452.0,Training Pads
94,2020-08-27,14832.0,Training Pads
95,2020-08-28,14832.0,Training Pads
96,2020-08-29,14832.0,Training Pads
97,2020-08-30,14832.0,Training Pads
98,2020-08-31,13059.0,Training Pads
99,2020-09-01,13059.0,Training Pads
100,2020-09-02,13059.0,Training Pads
101,2020-09-03,1679.0,Training Pads
102,2020-09-04,1679.0,Training Pads
103,2020-09-05,1679.0,Training Pads
104,2020-09-06,1560.0,Training Pads
105,2020-09-07,1716.0,Training Pads
106,2020-09-08,2025.0,Training Pads
107,2020-09-09,2025.0,Training Pads
108,2020-09-10,1770.0,Training Pads
109,2020-09-11,1770.0,Training Pads
110,2020-09-12,1884.0,Training Pads
111,2020-09-13,1884.0,Training Pads
112,2020-09-14,1884.0,Training Pads
113,2020-09-15,1737.0,Training Pads
114,2020-09-16,1985.0,Training Pads
115,2020-09-17,1985.0,Training Pads
116,2020-09-18,1985.0,Training Pads
117,2020-09-19,2064.0,Training Pads
118,2020-09-20,1880.0,Training Pads
119,2020-09-21,1880.0,Training Pads
120,2020-09-22,1880.0,Training Pads
121,2020-09-23,2095.0,Training Pads
122,2020-09-24,2095.0,Training Pads
123,2020-09-25,2095.0,Training Pads
124,2020-09-26,2278.0,Training Pads
125,2020-09-27,2278.0,Training Pads
126,2020-09-28,1966.0,Training Pads
127,2020-09-29,1966.0,Training Pads
128,2020-09-30,1907.0,Training Pads
129,2020-10-01,1814.0,Training Pads
130,2020-10-02,1814.0,Training Pads
131,2020-10-03,1814.0,Training Pads
132,2020-10-04,2079.0,Training Pads
133,2020-10-05,2079.0,Training Pads
134,2020-10-06,2079.0,Training Pads
135,2020-10-07,1794.0,Training Pads
136,2020-10-08,1837.0,Training Pads
137,2020-10-09,1950.0,Training Pads
138,2020-10-10,1950.0,Training Pads
139,2020-10-11,1950.0,Training Pads
140,2020-10-12,2165.0,Training Pads
141,2020-10-13,2330.0,Training Pads
142,2020-10-14,2480.0,Training Pads
143,2020-10-15,2480.0,Training Pads
144,2020-10-16,2480.0,Training Pads
145,2020-10-17,1941.0,Training Pads
146,2020-10-18,1941.0,Training Pads
147,2020-10-19,1941.0,Training Pads
148,2020-10-20,2128.0,Training Pads
149,2020-10-21,2128.0,Training Pads
150,2020-10-22,2128.0,Training Pads
151,2020-10-23,2077.0,Training Pads
152,2020-10-24,2077.0,Training Pads
153,2020-10-25,2077.0,Training Pads
154,2020-10-26,2077.0,Training Pads
155,2020-10-27,1898.0,Training Pads
156,2020-10-28,1898.0,Training Pads
157,2020-10-29,1985.0,Training Pads
158,2020-10-30,1985.0,Training Pads
159,2020-10-31,1985.0,Training Pads
160,2020-11-01,2074.0,Training Pads
161,2020-11-02,2074.0,Training Pads
162,2020-11-03,2212.0,Training Pads
163,2020-11-04,2212.0,Training Pads
164,2020-11-05,1766.0,Training Pads
165,2020-11-06,1766.0,Training Pads
166,2020-11-07,1922.0,Training Pads
167,2020-11-08,1922.0,Training Pads
168,2020-11-09,1922.0,Training Pads
169,2020-11-10,1980.0,Training Pads
170,2020-11-11,1917.0,Training Pads
171,2020-11-12,1917.0,Training Pads
172,2020-11-13,1917.0,Training Pads
173,2020-11-14,1863.0,Training Pads
174,2020-11-15,1917.0,Training Pads
175,2020-11-16,1917.0,Training Pads
176,2020-11-17,1917.0,Training Pads
177,2020-11-18,2260.0,Training Pads
178,2020-11-19,2260.0,Training Pads
179,2020-11-20,2260.0,Training Pads
180,2020-11-21,2260.0,Training Pads
181,2020-11-22,2235.0,Training Pads
182,2020-11-23,2235.0,Training Pads
183,2020-11-24,2698.0,Training Pads
184,2020-11-25,2698.0,Training Pads
185,2020-11-26,1976.0,Training Pads
186,2020-11-27,1976.0,Training Pads
187,2020-11-28,2856.0,Training Pads
188,2020-11-29,2856.0,Training Pads
189,2020-11-30,2741.0,Training Pads
190,2020-12-01,3057.0,Training Pads
191,2020-12-02,3057.0,Training Pads
192,2020-12-03,2460.0,Training Pads
193,2020-12-04,2460.0,Training Pads
194,2020-12-05,2935.0,Training Pads
195,2020-12-06,2312.0,Training Pads
196,2020-12-07,2508.0,Training Pads
197,2020-12-08,2508.0,Training Pads
198,2020-12-09,2732.0,Training Pads
199,2020-12-10,2533.0,Training Pads
200,2020-12-11,2533.0,Training Pads
201,2020-12-12,2533.0,Training Pads
202,2020-12-13,2533.0,Training Pads
203,2020-12-14,2798.0,Training Pads
204,2020-12-15,2798.0,Training Pads
205,2020-12-16,2900.0,Training Pads
206,2020-12-17,2700.0,Training Pads
207,2020-12-18,4334.0,Training Pads
208,2020-12-19,4334.0,Training Pads
209,2020-12-20,4334.0,Training Pads
210,2020-12-21,2874.0,Training Pads
211,2020-12-22,2508.0,Training Pads
212,2020-12-23,2270.0,Training Pads
213,2020-12-24,2126.0,Training Pads
214,2020-12-25,2126.0,Training Pads
215,2020-12-26,2068.0,Training Pads
216,2020-12-27,2204.0,Training Pads
217,2020-12-28,2274.0,Training Pads
218,2020-12-29,1855.0,Training Pads
219,2020-12-30,1855.0,Training Pads
220,2020-12-31,2149.0,Training Pads
221,2021-01-01,2149.0,Training Pads
222,2021-01-02,2169.0,Training Pads
223,2021-01-03,2169.0,Training Pads
224,2021-01-04,2361.0,Training Pads
225,2021-01-05,2361.0,Training Pads
226,2021-01-06,2073.0,Training Pads
227,2021-01-07,1911.0,Training Pads
228,2021-01-08,1911.0,Training Pads
229,2021-01-09,2101.0,Training Pads
230,2021-01-10,2193.0,Training Pads
231,2021-01-11,2193.0,Training Pads
232,2021-01-12,2410.0,Training Pads
233,2021-01-13,2410.0,Training Pads
234,2021-01-14,1989.0,Training Pads
235,2021-01-15,1989.0,Training Pads
236,2021-01-16,1795.0,Training Pads
237,2021-01-17,1929.0,Training Pads
238,2021-01-18,1929.0,Training Pads
239,2021-01-19,2106.0,Training Pads
240,2021-01-20,2106.0,Training Pads
241,2021-01-21,2059.0,Training Pads
242,2021-01-22,2059.0,Training Pads
243,2021-01-23,2101.0,Training Pads
244,2021-01-24,2195.0,Training Pads
245,2021-01-25,2195.0,Training Pads
246,2021-01-26,1935.0,Training Pads
247,2021-01-27,1935.0,Training Pads
248,2021-01-28,1910.0,Training Pads
249,2021-01-29,1910.0,Training Pads
250,2021-01-30,1982.0,Training Pads
251,2021-01-31,1815.0,Training Pads
252,2021-02-01,1978.0,Training Pads
253,2021-02-02,1978.0,Training Pads
254,2021-02-03,2050.0,Training Pads
255,2021-02-04,2050.0,Training Pads
256,2021-02-05,2050.0,Training Pads
257,2021-02-06,2515.0,Training Pads
258,2021-02-07,2515.0,Training Pads
259,2021-02-08,2145.0,Training Pads
260,2021-02-09,2230.0,Training Pads
261,2021-02-10,1797.0,Training Pads
262,2021-02-11,2003.0,Training Pads
263,2021-02-12,2286.0,Training Pads
264,2021-02-13,2286.0,Training Pads
265,2021-02-14,2001.0,Training Pads
266,2021-02-15,2034.0,Training Pads
267,2021-02-16,2034.0,Training Pads
268,2021-02-17,1754.0,Training Pads
269,2021-02-18,1754.0,Training Pads
270,2021-02-19,1754.0,Training Pads
271,2021-02-20,1869.0,Training Pads
272,2021-02-21,2308.0,Training Pads
273,2021-02-22,2308.0,Training Pads
274,2021-02-23,2080.0,Training Pads
275,2021-02-24,2204.0,Training Pads
276,2021-02-25,2316.0,Training Pads
277,2021-02-26,2258.0,Training Pads
278,2021-02-27,2258.0,Training Pads
279,2021-02-28,2493.0,Training Pads
280,2021-03-01,2135.0,Training Pads
281,2021-03-02,2135.0,Training Pads
282,2021-03-03,2554.0,Training Pads
283,2021-03-04,2554.0,Training Pads
284,2021-03-05,2328.0,Training Pads
285,2021-03-06,2341.0,Training Pads
286,2021-03-07,2581.0,Training Pads
287,2021-03-08,2581.0,Training Pads
288,2021-03-09,2760.0,Training Pads
289,2021-03-10,2760.0,Training Pads
290,2021-03-11,2515.0,Training Pads
291,2021-03-12,2515.0,Training Pads
292,2021-03-13,2359.0,Training Pads
293,2021-03-14,2345.0,Training Pads
294,2021-03-15,2345.0,Training Pads
295,2021-03-16,2784.0,Training Pads
296,2021-03-17,2547.0,Training Pads
297,2021-03-18,2547.0,Training Pads
298,2021-03-19,2427.0,Training Pads
299,2021-03-20,2221.0,Training Pads
300,2021-03-21,2221.0,Training Pads
301,2021-03-22,2425.0,Training Pads
302,2021-03-23,2472.0,Training Pads
303,2021-03-24,2348.0,Training Pads
304,2021-03-25,2306.0,Training Pads
305,2021-03-26,2306.0,Training Pads
306,2021-03-27,2146.0,Training Pads
307,2021-03-28,2280.0,Training Pads
308,2021-03-29,2280.0,Training Pads
309,2021-03-30,2196.0,Training Pads
310,2021-03-31,2196.0,Training Pads
311,2021-04-01,2196.0,Training Pads
312,2021-04-02,2381.0,Training Pads
313,2021-04-03,2237.0,Training Pads
314,2021-04-04,2122.0,Training Pads
