,date,value,name_B07NRZ1MGF
0,2019-04-08,71311.0,Stainless Steel Surface Cleaners
1,2019-04-09,71311.0,Stainless Steel Surface Cleaners
2,2019-04-10,71311.0,Stainless Steel Surface Cleaners
3,2019-04-11,71311.0,Stainless Steel Surface Cleaners
4,2019-04-12,71311.0,Stainless Steel Surface Cleaners
5,2019-04-13,71311.0,Stainless Steel Surface Cleaners
6,2019-04-14,71311.0,Stainless Steel Surface Cleaners
7,2019-04-15,71311.0,Stainless Steel Surface Cleaners
8,2019-04-16,71311.0,Stainless Steel Surface Cleaners
9,2019-04-17,71311.0,Stainless Steel Surface Cleaners
10,2019-04-18,71311.0,Stainless Steel Surface Cleaners
11,2019-04-19,64029.0,Stainless Steel Surface Cleaners
12,2019-04-20,49764.0,Stainless Steel Surface Cleaners
13,2019-04-21,32728.0,Stainless Steel Surface Cleaners
14,2019-04-22,32728.0,Stainless Steel Surface Cleaners
15,2019-04-23,32728.0,Stainless Steel Surface Cleaners
16,2019-04-24,32728.0,Stainless Steel Surface Cleaners
17,2019-04-25,32728.0,Stainless Steel Surface Cleaners
18,2019-04-26,32728.0,Stainless Steel Surface Cleaners
19,2019-04-27,32728.0,Stainless Steel Surface Cleaners
20,2019-04-28,32728.0,Stainless Steel Surface Cleaners
21,2019-04-29,32728.0,Stainless Steel Surface Cleaners
22,2019-04-30,32728.0,Stainless Steel Surface Cleaners
23,2019-05-01,52811.0,Stainless Steel Surface Cleaners
24,2019-05-02,52811.0,Stainless Steel Surface Cleaners
25,2019-05-03,52811.0,Stainless Steel Surface Cleaners
26,2019-05-04,52811.0,Stainless Steel Surface Cleaners
27,2019-05-05,52811.0,Stainless Steel Surface Cleaners
28,2019-05-06,26452.0,Stainless Steel Surface Cleaners
29,2019-05-07,36476.0,Stainless Steel Surface Cleaners
30,2019-05-08,58469.0,Stainless Steel Surface Cleaners
31,2019-05-09,58469.0,Stainless Steel Surface Cleaners
32,2019-05-10,58469.0,Stainless Steel Surface Cleaners
33,2019-05-11,55561.0,Stainless Steel Surface Cleaners
34,2019-05-12,55561.0,Stainless Steel Surface Cleaners
35,2019-05-13,48086.0,Stainless Steel Surface Cleaners
36,2019-05-14,52912.0,Stainless Steel Surface Cleaners
37,2019-05-15,52912.0,Stainless Steel Surface Cleaners
38,2019-05-16,52912.0,Stainless Steel Surface Cleaners
39,2019-05-17,52912.0,Stainless Steel Surface Cleaners
40,2019-05-18,52912.0,Stainless Steel Surface Cleaners
41,2019-05-19,52912.0,Stainless Steel Surface Cleaners
