,date,value,name_B07T4DSH91
0,2019-06-13,320.0,Puzzle Play Mats
1,2019-06-14,276.0,Puzzle Play Mats
2,2019-06-15,319.0,Puzzle Play Mats
3,2019-06-16,365.0,Puzzle Play Mats
4,2019-06-17,324.0,Puzzle Play Mats
5,2019-06-18,417.0,Puzzle Play Mats
6,2019-06-19,368.0,Puzzle Play Mats
7,2019-06-20,346.0,Puzzle Play Mats
8,2019-06-21,252.0,Puzzle Play Mats
9,2019-06-22,238.0,Puzzle Play Mats
10,2019-06-23,221.0,Puzzle Play Mats
11,2019-06-24,238.0,Puzzle Play Mats
12,2019-06-25,226.0,Puzzle Play Mats
13,2019-06-26,272.0,Puzzle Play Mats
14,2019-06-27,223.0,Puzzle Play Mats
15,2019-06-28,237.0,Puzzle Play Mats
16,2019-06-29,220.0,Puzzle Play Mats
17,2019-06-30,239.0,Puzzle Play Mats
18,2019-07-01,243.0,Puzzle Play Mats
19,2019-07-02,288.0,Puzzle Play Mats
20,2019-07-03,259.0,Puzzle Play Mats
21,2019-07-04,198.0,Puzzle Play Mats
22,2019-07-05,238.0,Puzzle Play Mats
23,2019-07-06,267.0,Puzzle Play Mats
24,2019-07-07,250.0,Puzzle Play Mats
25,2019-07-08,292.0,Puzzle Play Mats
26,2019-07-09,326.0,Puzzle Play Mats
27,2019-07-10,304.0,Puzzle Play Mats
28,2019-07-11,274.0,Puzzle Play Mats
29,2019-07-12,245.0,Puzzle Play Mats
30,2019-07-13,233.0,Puzzle Play Mats
31,2019-07-14,271.0,Puzzle Play Mats
32,2019-07-15,402.0,Puzzle Play Mats
33,2019-07-16,474.0,Puzzle Play Mats
34,2019-07-17,481.0,Puzzle Play Mats
35,2019-07-18,371.0,Puzzle Play Mats
36,2019-07-19,309.0,Puzzle Play Mats
37,2019-07-20,247.0,Puzzle Play Mats
38,2019-07-21,245.0,Puzzle Play Mats
39,2019-07-22,271.0,Puzzle Play Mats
40,2019-07-23,271.0,Puzzle Play Mats
41,2019-07-24,239.0,Puzzle Play Mats
42,2019-07-25,220.0,Puzzle Play Mats
43,2019-07-26,215.0,Puzzle Play Mats
44,2019-07-27,227.0,Puzzle Play Mats
45,2019-07-28,207.0,Puzzle Play Mats
46,2019-07-29,250.0,Puzzle Play Mats
47,2019-07-30,246.0,Puzzle Play Mats
48,2019-07-31,211.0,Puzzle Play Mats
49,2019-08-01,199.0,Puzzle Play Mats
50,2019-08-02,198.0,Puzzle Play Mats
51,2019-08-03,208.0,Puzzle Play Mats
52,2019-08-04,186.0,Puzzle Play Mats
53,2019-08-05,236.0,Puzzle Play Mats
54,2019-08-06,226.0,Puzzle Play Mats
55,2019-08-07,254.0,Puzzle Play Mats
56,2019-08-08,271.0,Puzzle Play Mats
57,2019-08-09,192.0,Puzzle Play Mats
58,2019-08-10,180.0,Puzzle Play Mats
59,2019-08-11,190.0,Puzzle Play Mats
60,2019-08-12,206.0,Puzzle Play Mats
61,2019-08-13,215.0,Puzzle Play Mats
62,2019-08-14,199.0,Puzzle Play Mats
63,2019-08-15,194.0,Puzzle Play Mats
64,2019-08-16,190.0,Puzzle Play Mats
65,2019-08-17,181.0,Puzzle Play Mats
66,2019-08-18,200.0,Puzzle Play Mats
67,2019-08-19,205.0,Puzzle Play Mats
68,2019-08-20,206.0,Puzzle Play Mats
69,2019-08-21,217.0,Puzzle Play Mats
70,2019-08-22,202.0,Puzzle Play Mats
71,2019-08-23,228.0,Puzzle Play Mats
72,2019-08-24,185.0,Puzzle Play Mats
73,2019-08-25,210.0,Puzzle Play Mats
74,2019-08-26,184.0,Puzzle Play Mats
75,2019-08-27,186.0,Puzzle Play Mats
76,2019-08-28,205.0,Puzzle Play Mats
77,2019-08-29,227.0,Puzzle Play Mats
78,2019-08-30,212.0,Puzzle Play Mats
79,2019-08-31,206.0,Puzzle Play Mats
80,2019-09-01,186.0,Puzzle Play Mats
81,2019-09-02,185.0,Puzzle Play Mats
82,2019-09-03,214.0,Puzzle Play Mats
83,2019-09-04,207.0,Puzzle Play Mats
84,2019-09-05,221.0,Puzzle Play Mats
85,2019-09-06,203.0,Puzzle Play Mats
86,2019-09-07,183.0,Puzzle Play Mats
87,2019-09-08,209.0,Puzzle Play Mats
88,2019-09-09,244.0,Puzzle Play Mats
89,2019-09-10,227.0,Puzzle Play Mats
90,2019-09-11,231.0,Puzzle Play Mats
91,2019-09-12,247.0,Puzzle Play Mats
92,2019-09-13,199.0,Puzzle Play Mats
93,2019-09-14,206.0,Puzzle Play Mats
94,2019-09-15,217.0,Puzzle Play Mats
95,2019-09-16,222.0,Puzzle Play Mats
96,2019-09-17,229.0,Puzzle Play Mats
97,2019-09-18,219.0,Puzzle Play Mats
98,2019-09-19,243.0,Puzzle Play Mats
99,2019-09-20,235.0,Puzzle Play Mats
100,2019-09-21,225.0,Puzzle Play Mats
101,2019-09-22,231.0,Puzzle Play Mats
102,2019-09-23,225.0,Puzzle Play Mats
103,2019-09-24,260.0,Puzzle Play Mats
104,2019-09-25,248.0,Puzzle Play Mats
105,2019-09-26,222.0,Puzzle Play Mats
106,2019-09-27,232.0,Puzzle Play Mats
107,2019-09-28,216.0,Puzzle Play Mats
108,2019-09-29,215.0,Puzzle Play Mats
109,2019-09-30,241.0,Puzzle Play Mats
110,2019-10-01,235.0,Puzzle Play Mats
111,2019-10-02,207.0,Puzzle Play Mats
112,2019-10-03,216.0,Puzzle Play Mats
113,2019-10-04,214.0,Puzzle Play Mats
114,2019-10-05,209.0,Puzzle Play Mats
115,2019-10-06,195.0,Puzzle Play Mats
116,2019-10-07,224.0,Puzzle Play Mats
117,2019-10-08,256.0,Puzzle Play Mats
118,2019-10-09,263.0,Puzzle Play Mats
119,2019-10-10,213.0,Puzzle Play Mats
120,2019-10-11,177.0,Puzzle Play Mats
121,2019-10-12,177.0,Puzzle Play Mats
122,2019-10-13,191.0,Puzzle Play Mats
123,2019-10-14,172.0,Puzzle Play Mats
124,2019-10-15,200.0,Puzzle Play Mats
125,2019-10-16,176.0,Puzzle Play Mats
126,2019-10-17,244.0,Puzzle Play Mats
127,2019-10-18,204.0,Puzzle Play Mats
128,2019-10-19,192.0,Puzzle Play Mats
129,2019-10-20,199.0,Puzzle Play Mats
130,2019-10-21,231.0,Puzzle Play Mats
131,2019-10-22,249.0,Puzzle Play Mats
132,2019-10-23,246.0,Puzzle Play Mats
133,2019-10-24,224.0,Puzzle Play Mats
134,2019-10-25,213.0,Puzzle Play Mats
135,2019-10-26,215.0,Puzzle Play Mats
136,2019-10-27,217.0,Puzzle Play Mats
137,2019-10-28,226.0,Puzzle Play Mats
138,2019-10-29,240.0,Puzzle Play Mats
139,2019-10-30,232.0,Puzzle Play Mats
140,2019-10-31,258.0,Puzzle Play Mats
141,2019-11-01,257.0,Puzzle Play Mats
142,2019-11-02,229.0,Puzzle Play Mats
143,2019-11-03,211.0,Puzzle Play Mats
144,2019-11-04,205.0,Puzzle Play Mats
145,2019-11-05,205.0,Puzzle Play Mats
146,2019-11-06,233.0,Puzzle Play Mats
147,2019-11-07,225.0,Puzzle Play Mats
148,2019-11-08,225.0,Puzzle Play Mats
149,2019-11-09,227.0,Puzzle Play Mats
150,2019-11-10,211.0,Puzzle Play Mats
151,2019-11-11,211.0,Puzzle Play Mats
152,2019-11-12,211.0,Puzzle Play Mats
153,2019-11-13,210.0,Puzzle Play Mats
154,2019-11-14,272.0,Puzzle Play Mats
155,2019-11-15,272.0,Puzzle Play Mats
156,2019-11-16,257.0,Puzzle Play Mats
157,2019-11-17,257.0,Puzzle Play Mats
158,2019-11-18,224.0,Puzzle Play Mats
159,2019-11-19,224.0,Puzzle Play Mats
160,2019-11-20,256.0,Puzzle Play Mats
161,2019-11-21,273.0,Puzzle Play Mats
162,2019-11-22,273.0,Puzzle Play Mats
163,2019-11-23,273.0,Puzzle Play Mats
164,2019-11-24,256.0,Puzzle Play Mats
165,2019-11-25,256.0,Puzzle Play Mats
166,2019-11-26,304.0,Puzzle Play Mats
167,2019-11-27,304.0,Puzzle Play Mats
168,2019-11-28,363.0,Puzzle Play Mats
169,2019-11-29,431.0,Puzzle Play Mats
170,2019-11-30,430.0,Puzzle Play Mats
171,2019-12-01,362.0,Puzzle Play Mats
172,2019-12-02,374.0,Puzzle Play Mats
173,2019-12-03,547.0,Puzzle Play Mats
174,2019-12-04,397.0,Puzzle Play Mats
175,2019-12-05,446.0,Puzzle Play Mats
176,2019-12-06,475.0,Puzzle Play Mats
177,2019-12-07,481.0,Puzzle Play Mats
178,2019-12-08,440.0,Puzzle Play Mats
179,2019-12-09,529.0,Puzzle Play Mats
180,2019-12-10,487.0,Puzzle Play Mats
181,2019-12-11,519.0,Puzzle Play Mats
182,2019-12-12,521.0,Puzzle Play Mats
183,2019-12-13,521.0,Puzzle Play Mats
184,2019-12-14,558.0,Puzzle Play Mats
185,2019-12-15,588.0,Puzzle Play Mats
186,2019-12-16,495.0,Puzzle Play Mats
187,2019-12-17,548.0,Puzzle Play Mats
188,2019-12-18,548.0,Puzzle Play Mats
189,2019-12-19,548.0,Puzzle Play Mats
190,2019-12-20,575.0,Puzzle Play Mats
191,2019-12-21,575.0,Puzzle Play Mats
192,2019-12-22,501.0,Puzzle Play Mats
193,2019-12-23,501.0,Puzzle Play Mats
194,2019-12-24,501.0,Puzzle Play Mats
195,2019-12-25,347.0,Puzzle Play Mats
196,2019-12-26,347.0,Puzzle Play Mats
197,2019-12-27,347.0,Puzzle Play Mats
198,2019-12-28,230.0,Puzzle Play Mats
199,2019-12-29,230.0,Puzzle Play Mats
200,2019-12-30,230.0,Puzzle Play Mats
201,2019-12-31,203.0,Puzzle Play Mats
202,2020-01-01,203.0,Puzzle Play Mats
203,2020-01-02,188.0,Puzzle Play Mats
204,2020-01-03,186.0,Puzzle Play Mats
205,2020-01-04,197.0,Puzzle Play Mats
206,2020-01-05,196.0,Puzzle Play Mats
207,2020-01-06,202.0,Puzzle Play Mats
208,2020-01-07,202.0,Puzzle Play Mats
209,2020-01-08,246.0,Puzzle Play Mats
210,2020-01-09,236.0,Puzzle Play Mats
211,2020-01-10,255.0,Puzzle Play Mats
212,2020-01-11,277.0,Puzzle Play Mats
213,2020-01-12,277.0,Puzzle Play Mats
214,2020-01-13,232.0,Puzzle Play Mats
215,2020-01-14,232.0,Puzzle Play Mats
216,2020-01-15,314.0,Puzzle Play Mats
217,2020-01-16,314.0,Puzzle Play Mats
218,2020-01-17,314.0,Puzzle Play Mats
219,2020-01-18,242.0,Puzzle Play Mats
220,2020-01-19,256.0,Puzzle Play Mats
221,2020-01-20,324.0,Puzzle Play Mats
222,2020-01-21,324.0,Puzzle Play Mats
223,2020-01-22,13491.0,Puzzle Play Mats
224,2020-01-23,13491.0,Puzzle Play Mats
225,2020-01-24,3489.0,Puzzle Play Mats
226,2020-01-25,3489.0,Puzzle Play Mats
227,2020-01-26,3122.0,Puzzle Play Mats
228,2020-01-27,3122.0,Puzzle Play Mats
229,2020-01-28,1554.0,Puzzle Play Mats
230,2020-01-29,1554.0,Puzzle Play Mats
231,2020-01-30,1554.0,Puzzle Play Mats
232,2020-01-31,1031.0,Puzzle Play Mats
233,2020-02-01,910.0,Puzzle Play Mats
234,2020-02-02,910.0,Puzzle Play Mats
235,2020-02-03,623.0,Puzzle Play Mats
236,2020-02-04,623.0,Puzzle Play Mats
237,2020-02-05,623.0,Puzzle Play Mats
238,2020-02-06,608.0,Puzzle Play Mats
239,2020-02-07,608.0,Puzzle Play Mats
240,2020-02-08,608.0,Puzzle Play Mats
241,2020-02-09,508.0,Puzzle Play Mats
242,2020-02-10,508.0,Puzzle Play Mats
243,2020-02-11,512.0,Puzzle Play Mats
244,2020-02-12,512.0,Puzzle Play Mats
245,2020-02-13,347.0,Puzzle Play Mats
246,2020-02-14,347.0,Puzzle Play Mats
247,2020-02-15,274.0,Puzzle Play Mats
248,2020-02-16,297.0,Puzzle Play Mats
249,2020-02-17,303.0,Puzzle Play Mats
250,2020-02-18,303.0,Puzzle Play Mats
251,2020-02-19,300.0,Puzzle Play Mats
252,2020-02-20,300.0,Puzzle Play Mats
253,2020-02-21,300.0,Puzzle Play Mats
254,2020-02-22,300.0,Puzzle Play Mats
255,2020-02-23,-1.0,Puzzle Play Mats
256,2020-02-24,-1.0,Puzzle Play Mats
257,2020-02-25,-1.0,Puzzle Play Mats
258,2020-02-26,-1.0,Puzzle Play Mats
259,2020-02-27,282.0,Puzzle Play Mats
260,2020-02-28,282.0,Puzzle Play Mats
261,2020-02-29,206.0,Puzzle Play Mats
262,2020-03-01,206.0,Puzzle Play Mats
263,2020-03-02,206.0,Puzzle Play Mats
264,2020-03-03,227.0,Puzzle Play Mats
265,2020-03-04,227.0,Puzzle Play Mats
266,2020-03-05,227.0,Puzzle Play Mats
267,2020-03-06,178.0,Puzzle Play Mats
268,2020-03-07,178.0,Puzzle Play Mats
269,2020-03-08,-1.0,Puzzle Play Mats
