,date,value,name_B08F33W6GC
0,2020-08-13,50280.0,Comforters
1,2020-08-14,50280.0,Comforters
2,2020-08-15,50280.0,Comforters
3,2020-08-16,50280.0,Comforters
4,2020-08-17,71509.0,Comforters
5,2020-08-18,71509.0,Comforters
6,2020-08-19,71509.0,Comforters
7,2020-08-20,71509.0,Comforters
8,2020-08-21,24847.0,Comforters
9,2020-08-22,24847.0,Comforters
10,2020-08-23,24847.0,Comforters
11,2020-08-24,26560.0,Comforters
12,2020-08-25,20814.0,Comforters
13,2020-08-26,20814.0,Comforters
14,2020-08-27,19019.0,Comforters
15,2020-08-28,19019.0,Comforters
16,2020-08-29,18124.0,Comforters
17,2020-08-30,13469.0,Comforters
18,2020-08-31,14393.0,Comforters
19,2020-09-01,17996.0,Comforters
20,2020-09-02,17996.0,Comforters
21,2020-09-03,14522.0,Comforters
22,2020-09-04,12573.0,Comforters
23,2020-09-05,12573.0,Comforters
24,2020-09-06,12573.0,Comforters
25,2020-09-07,15427.0,Comforters
26,2020-09-08,10607.0,Comforters
27,2020-09-09,10607.0,Comforters
28,2020-09-10,12625.0,Comforters
29,2020-09-11,11319.0,Comforters
30,2020-09-12,11319.0,Comforters
31,2020-09-13,11319.0,Comforters
32,2020-09-14,11277.0,Comforters
33,2020-09-15,11080.0,Comforters
34,2020-09-16,11656.0,Comforters
35,2020-09-17,9246.0,Comforters
36,2020-09-18,13132.0,Comforters
37,2020-09-19,10904.0,Comforters
38,2020-09-20,10904.0,Comforters
39,2020-09-21,12086.0,Comforters
40,2020-09-22,15480.0,Comforters
41,2020-09-23,15480.0,Comforters
42,2020-09-24,22036.0,Comforters
43,2020-09-25,22036.0,Comforters
44,2020-09-26,22036.0,Comforters
45,2020-09-27,26071.0,Comforters
46,2020-09-28,21253.0,Comforters
47,2020-09-29,19504.0,Comforters
48,2020-09-30,18337.0,Comforters
49,2020-10-01,18337.0,Comforters
50,2020-10-02,18337.0,Comforters
51,2020-10-03,17890.0,Comforters
52,2020-10-04,17890.0,Comforters
53,2020-10-05,17890.0,Comforters
54,2020-10-06,31289.0,Comforters
55,2020-10-07,31289.0,Comforters
56,2020-10-08,31289.0,Comforters
57,2020-10-09,17643.0,Comforters
58,2020-10-10,21963.0,Comforters
59,2020-10-11,21963.0,Comforters
60,2020-10-12,21963.0,Comforters
61,2020-10-13,26044.0,Comforters
62,2020-10-14,28447.0,Comforters
63,2020-10-15,37504.0,Comforters
64,2020-10-16,37504.0,Comforters
65,2020-10-17,37504.0,Comforters
66,2020-10-18,37504.0,Comforters
67,2020-10-19,85223.0,Comforters
68,2020-10-20,85223.0,Comforters
69,2020-10-21,85223.0,Comforters
70,2020-10-22,81971.0,Comforters
71,2020-10-23,68252.0,Comforters
72,2020-10-24,68252.0,Comforters
73,2020-10-25,68252.0,Comforters
