,date,value,name_B08P4DCMJS
0,2020-11-26,2936.0,Toy Vehicles
1,2020-11-27,3051.0,Toy Vehicles
2,2020-11-28,3784.0,Toy Vehicles
3,2020-11-29,3472.0,Toy Vehicles
4,2020-11-30,3595.0,Toy Vehicles
5,2020-12-01,3427.0,Toy Vehicles
6,2020-12-02,3378.0,Toy Vehicles
7,2020-12-03,2092.0,Toy Vehicles
8,2020-12-04,1675.0,Toy Vehicles
9,2020-12-05,1232.0,Toy Vehicles
10,2020-12-06,1015.0,Toy Vehicles
11,2020-12-07,884.0,Toy Vehicles
12,2020-12-08,1098.0,Toy Vehicles
13,2020-12-09,1451.0,Toy Vehicles
14,2020-12-10,1451.0,Toy Vehicles
15,2020-12-11,505.0,Toy Vehicles
16,2020-12-12,1258.0,Toy Vehicles
17,2020-12-13,1593.0,Toy Vehicles
18,2020-12-14,2229.0,Toy Vehicles
19,2020-12-15,2229.0,Toy Vehicles
20,2020-12-16,2220.0,Toy Vehicles
21,2020-12-17,2220.0,Toy Vehicles
22,2020-12-18,857.0,Toy Vehicles
23,2020-12-19,1227.0,Toy Vehicles
24,2020-12-20,1227.0,Toy Vehicles
25,2020-12-21,882.0,Toy Vehicles
26,2020-12-22,882.0,Toy Vehicles
27,2020-12-23,1416.0,Toy Vehicles
28,2020-12-24,1416.0,Toy Vehicles
29,2020-12-25,927.0,Toy Vehicles
30,2020-12-26,927.0,Toy Vehicles
31,2020-12-27,927.0,Toy Vehicles
32,2020-12-28,319.0,Toy Vehicles
33,2020-12-29,434.0,Toy Vehicles
34,2020-12-30,462.0,Toy Vehicles
35,2020-12-31,462.0,Toy Vehicles
36,2021-01-01,633.0,Toy Vehicles
37,2021-01-02,633.0,Toy Vehicles
38,2021-01-03,725.0,Toy Vehicles
39,2021-01-04,725.0,Toy Vehicles
40,2021-01-05,706.0,Toy Vehicles
41,2021-01-06,754.0,Toy Vehicles
42,2021-01-07,733.0,Toy Vehicles
43,2021-01-08,733.0,Toy Vehicles
44,2021-01-09,733.0,Toy Vehicles
45,2021-01-10,941.0,Toy Vehicles
46,2021-01-11,941.0,Toy Vehicles
47,2021-01-12,833.0,Toy Vehicles
48,2021-01-13,833.0,Toy Vehicles
49,2021-01-14,1073.0,Toy Vehicles
50,2021-01-15,1073.0,Toy Vehicles
