,date,value,name_B08NC7CV6X
132,2021-05-26,456663.0,Holdbacks
133,2021-05-27,456663.0,Holdbacks
134,2021-05-28,106315.0,Holdbacks
135,2021-05-29,106315.0,Holdbacks
136,2021-05-30,106315.0,Holdbacks
137,2021-05-31,106315.0,Holdbacks
138,2021-06-01,106315.0,Holdbacks
139,2021-06-02,106315.0,Holdbacks
140,2021-06-03,106315.0,Holdbacks
141,2021-06-04,163635.0,Holdbacks
142,2021-06-05,163635.0,Holdbacks
143,2021-06-06,163635.0,Holdbacks
144,2021-06-07,163635.0,Holdbacks
145,2021-06-08,103927.0,Holdbacks
146,2021-06-09,103927.0,Holdbacks
147,2021-06-10,103927.0,Holdbacks
148,2021-06-11,103927.0,Holdbacks
149,2021-06-12,103927.0,Holdbacks
150,2021-06-13,103927.0,Holdbacks
151,2021-06-14,103927.0,Holdbacks
152,2021-06-15,103927.0,Holdbacks
153,2021-06-16,103927.0,Holdbacks
154,2021-06-17,49319.0,Holdbacks
155,2021-06-18,49319.0,Holdbacks
156,2021-06-19,49319.0,Holdbacks
157,2021-06-20,97762.0,Holdbacks
158,2021-06-21,97762.0,Holdbacks
159,2021-06-22,97762.0,Holdbacks
160,2021-06-23,75304.0,Holdbacks
161,2021-06-24,102105.0,Holdbacks
162,2021-06-25,102105.0,Holdbacks
163,2021-06-26,102105.0,Holdbacks
164,2021-06-27,102105.0,Holdbacks
165,2021-06-28,102105.0,Holdbacks
166,2021-06-29,102105.0,Holdbacks
167,2021-06-30,56579.0,Holdbacks
168,2021-07-01,56579.0,Holdbacks
169,2021-07-02,56579.0,Holdbacks
170,2021-07-03,56579.0,Holdbacks
171,2021-07-04,77426.0,Holdbacks
172,2021-07-05,77426.0,Holdbacks
173,2021-07-06,77426.0,Holdbacks
174,2021-07-07,81304.0,Holdbacks
175,2021-07-08,81304.0,Holdbacks
176,2021-07-09,90210.0,Holdbacks
