,date,value,name_B08QTR9VTG
0,2020-12-25,347.0,Flea Drops
1,2020-12-26,347.0,Flea Drops
2,2020-12-27,302.0,Flea Drops
3,2020-12-28,335.0,Flea Drops
4,2020-12-29,335.0,Flea Drops
5,2020-12-30,335.0,Flea Drops
6,2020-12-31,284.0,Flea Drops
7,2021-01-01,284.0,Flea Drops
8,2021-01-02,284.0,Flea Drops
9,2021-01-03,248.0,Flea Drops
10,2021-01-04,248.0,Flea Drops
11,2021-01-05,248.0,Flea Drops
12,2021-01-06,250.0,Flea Drops
13,2021-01-07,250.0,Flea Drops
14,2021-01-08,286.0,Flea Drops
15,2021-01-09,286.0,Flea Drops
16,2021-01-10,350.0,Flea Drops
17,2021-01-11,350.0,Flea Drops
18,2021-01-12,358.0,Flea Drops
19,2021-01-13,358.0,Flea Drops
20,2021-01-14,358.0,Flea Drops
21,2021-01-15,335.0,Flea Drops
22,2021-01-16,335.0,Flea Drops
23,2021-01-17,335.0,Flea Drops
24,2021-01-18,430.0,Flea Drops
25,2021-01-19,373.0,Flea Drops
26,2021-01-20,406.0,Flea Drops
27,2021-01-21,406.0,Flea Drops
28,2021-01-22,406.0,Flea Drops
29,2021-01-23,295.0,Flea Drops
30,2021-01-24,295.0,Flea Drops
31,2021-01-25,336.0,Flea Drops
32,2021-01-26,350.0,Flea Drops
33,2021-01-27,350.0,Flea Drops
34,2021-01-28,331.0,Flea Drops
35,2021-01-29,331.0,Flea Drops
36,2021-01-30,331.0,Flea Drops
37,2021-01-31,360.0,Flea Drops
38,2021-02-01,360.0,Flea Drops
39,2021-02-02,360.0,Flea Drops
40,2021-02-03,360.0,Flea Drops
41,2021-02-04,359.0,Flea Drops
42,2021-02-05,359.0,Flea Drops
43,2021-02-06,359.0,Flea Drops
44,2021-02-07,462.0,Flea Drops
45,2021-02-08,482.0,Flea Drops
46,2021-02-09,482.0,Flea Drops
47,2021-02-10,303.0,Flea Drops
48,2021-02-11,303.0,Flea Drops
49,2021-02-12,320.0,Flea Drops
50,2021-02-13,320.0,Flea Drops
51,2021-02-14,268.0,Flea Drops
52,2021-02-15,268.0,Flea Drops
53,2021-02-16,290.0,Flea Drops
54,2021-02-17,290.0,Flea Drops
55,2021-02-18,324.0,Flea Drops
56,2021-02-19,324.0,Flea Drops
57,2021-02-20,313.0,Flea Drops
58,2021-02-21,313.0,Flea Drops
59,2021-02-22,382.0,Flea Drops
60,2021-02-23,382.0,Flea Drops
61,2021-02-24,382.0,Flea Drops
62,2021-02-25,313.0,Flea Drops
63,2021-02-26,313.0,Flea Drops
64,2021-02-27,290.0,Flea Drops
65,2021-02-28,290.0,Flea Drops
66,2021-03-01,294.0,Flea Drops
67,2021-03-02,291.0,Flea Drops
68,2021-03-03,291.0,Flea Drops
69,2021-03-04,251.0,Flea Drops
70,2021-03-05,251.0,Flea Drops
71,2021-03-06,251.0,Flea Drops
72,2021-03-07,277.0,Flea Drops
73,2021-03-08,277.0,Flea Drops
74,2021-03-09,293.0,Flea Drops
75,2021-03-10,293.0,Flea Drops
76,2021-03-11,296.0,Flea Drops
77,2021-03-12,278.0,Flea Drops
78,2021-03-13,278.0,Flea Drops
79,2021-03-14,268.0,Flea Drops
80,2021-03-15,268.0,Flea Drops
81,2021-03-16,268.0,Flea Drops
82,2021-03-17,268.0,Flea Drops
83,2021-03-18,268.0,Flea Drops
84,2021-03-19,268.0,Flea Drops
85,2021-03-20,268.0,Flea Drops
86,2021-03-21,268.0,Flea Drops
87,2021-03-22,268.0,Flea Drops
88,2021-03-23,268.0,Flea Drops
89,2021-03-24,268.0,Flea Drops
90,2021-03-25,268.0,Flea Drops
91,2021-03-26,268.0,Flea Drops
92,2021-03-27,268.0,Flea Drops
93,2021-03-28,268.0,Flea Drops
94,2021-03-29,268.0,Flea Drops
95,2021-03-30,268.0,Flea Drops
96,2021-03-31,268.0,Flea Drops
97,2021-04-01,268.0,Flea Drops
98,2021-04-02,268.0,Flea Drops
99,2021-04-03,268.0,Flea Drops
100,2021-04-04,268.0,Flea Drops
101,2021-04-05,268.0,Flea Drops
102,2021-04-06,268.0,Flea Drops
103,2021-04-07,268.0,Flea Drops
104,2021-04-08,268.0,Flea Drops
105,2021-04-09,268.0,Flea Drops
