,date,value,name_B08HZ9V6S1
0,2020-10-31,27167.0,Play Tents & Tunnels
1,2020-11-01,27167.0,Play Tents & Tunnels
2,2020-11-02,18351.0,Play Tents & Tunnels
3,2020-11-03,14630.0,Play Tents & Tunnels
4,2020-11-04,14630.0,Play Tents & Tunnels
5,2020-11-05,14630.0,Play Tents & Tunnels
6,2020-11-06,17880.0,Play Tents & Tunnels
7,2020-11-07,17880.0,Play Tents & Tunnels
8,2020-11-08,17880.0,Play Tents & Tunnels
9,2020-11-09,14801.0,Play Tents & Tunnels
10,2020-11-10,14801.0,Play Tents & Tunnels
11,2020-11-11,14801.0,Play Tents & Tunnels
12,2020-11-12,14957.0,Play Tents & Tunnels
13,2020-11-13,14957.0,Play Tents & Tunnels
14,2020-11-14,14957.0,Play Tents & Tunnels
15,2020-11-15,14957.0,Play Tents & Tunnels
16,2020-11-16,14969.0,Play Tents & Tunnels
17,2020-11-17,14969.0,Play Tents & Tunnels
18,2020-11-18,14969.0,Play Tents & Tunnels
19,2020-11-19,15593.0,Play Tents & Tunnels
20,2020-11-20,15593.0,Play Tents & Tunnels
21,2020-11-21,15593.0,Play Tents & Tunnels
22,2020-11-22,18219.0,Play Tents & Tunnels
23,2020-11-23,18219.0,Play Tents & Tunnels
24,2020-11-24,18219.0,Play Tents & Tunnels
25,2020-11-25,25789.0,Play Tents & Tunnels
26,2020-11-26,25789.0,Play Tents & Tunnels
27,2020-11-27,38042.0,Play Tents & Tunnels
28,2020-11-28,38042.0,Play Tents & Tunnels
29,2020-11-29,38042.0,Play Tents & Tunnels
30,2020-11-30,38042.0,Play Tents & Tunnels
31,2020-12-01,44655.0,Play Tents & Tunnels
32,2020-12-02,44655.0,Play Tents & Tunnels
33,2020-12-03,70453.0,Play Tents & Tunnels
34,2020-12-04,70453.0,Play Tents & Tunnels
35,2020-12-05,70453.0,Play Tents & Tunnels
36,2020-12-06,70453.0,Play Tents & Tunnels
37,2020-12-07,39745.0,Play Tents & Tunnels
38,2020-12-08,47705.0,Play Tents & Tunnels
39,2020-12-09,47705.0,Play Tents & Tunnels
40,2020-12-10,47705.0,Play Tents & Tunnels
41,2020-12-11,47705.0,Play Tents & Tunnels
42,2020-12-12,37410.0,Play Tents & Tunnels
43,2020-12-13,37656.0,Play Tents & Tunnels
44,2020-12-14,42334.0,Play Tents & Tunnels
45,2020-12-15,42334.0,Play Tents & Tunnels
46,2020-12-16,40440.0,Play Tents & Tunnels
47,2020-12-17,40440.0,Play Tents & Tunnels
48,2020-12-18,40440.0,Play Tents & Tunnels
49,2020-12-19,40440.0,Play Tents & Tunnels
50,2020-12-20,40440.0,Play Tents & Tunnels
51,2020-12-21,28579.0,Play Tents & Tunnels
52,2020-12-22,18429.0,Play Tents & Tunnels
53,2020-12-23,18429.0,Play Tents & Tunnels
54,2020-12-24,18429.0,Play Tents & Tunnels
55,2020-12-25,20339.0,Play Tents & Tunnels
56,2020-12-26,20339.0,Play Tents & Tunnels
57,2020-12-27,20339.0,Play Tents & Tunnels
58,2020-12-28,23681.0,Play Tents & Tunnels
59,2020-12-29,23681.0,Play Tents & Tunnels
60,2020-12-30,23681.0,Play Tents & Tunnels
61,2020-12-31,20929.0,Play Tents & Tunnels
62,2021-01-01,20929.0,Play Tents & Tunnels
63,2021-01-02,20929.0,Play Tents & Tunnels
64,2021-01-03,20929.0,Play Tents & Tunnels
65,2021-01-04,9074.0,Play Tents & Tunnels
66,2021-01-05,14358.0,Play Tents & Tunnels
67,2021-01-06,13457.0,Play Tents & Tunnels
68,2021-01-07,13457.0,Play Tents & Tunnels
69,2021-01-08,13457.0,Play Tents & Tunnels
70,2021-01-09,15658.0,Play Tents & Tunnels
