,date,value,name_B092HBJ3F4
0,2021-04-20,7458.0,Chemicals & Water Testing Products
1,2021-04-21,7458.0,Chemicals & Water Testing Products
2,2021-04-22,7458.0,Chemicals & Water Testing Products
3,2021-04-23,5559.0,Chemicals & Water Testing Products
4,2021-04-24,5559.0,Chemicals & Water Testing Products
5,2021-04-25,5559.0,Chemicals & Water Testing Products
6,2021-04-26,5559.0,Chemicals & Water Testing Products
7,2021-04-27,6958.0,Chemicals & Water Testing Products
8,2021-04-28,6958.0,Chemicals & Water Testing Products
9,2021-04-29,8159.0,Chemicals & Water Testing Products
10,2021-04-30,8159.0,Chemicals & Water Testing Products
11,2021-05-01,8921.0,Chemicals & Water Testing Products
12,2021-05-02,8921.0,Chemicals & Water Testing Products
13,2021-05-03,9569.0,Chemicals & Water Testing Products
14,2021-05-04,9569.0,Chemicals & Water Testing Products
15,2021-05-05,6713.0,Chemicals & Water Testing Products
16,2021-05-06,6713.0,Chemicals & Water Testing Products
17,2021-05-07,6713.0,Chemicals & Water Testing Products
18,2021-05-08,9817.0,Chemicals & Water Testing Products
19,2021-05-09,9817.0,Chemicals & Water Testing Products
20,2021-05-10,9817.0,Chemicals & Water Testing Products
21,2021-05-11,8720.0,Chemicals & Water Testing Products
22,2021-05-12,8720.0,Chemicals & Water Testing Products
23,2021-05-13,8791.0,Chemicals & Water Testing Products
24,2021-05-14,8791.0,Chemicals & Water Testing Products
25,2021-05-15,8069.0,Chemicals & Water Testing Products
26,2021-05-16,8069.0,Chemicals & Water Testing Products
27,2021-05-17,8069.0,Chemicals & Water Testing Products
28,2021-05-18,7872.0,Chemicals & Water Testing Products
29,2021-05-19,7969.0,Chemicals & Water Testing Products
30,2021-05-20,8781.0,Chemicals & Water Testing Products
31,2021-05-21,8781.0,Chemicals & Water Testing Products
32,2021-05-22,8852.0,Chemicals & Water Testing Products
33,2021-05-23,8852.0,Chemicals & Water Testing Products
34,2021-05-24,9390.0,Chemicals & Water Testing Products
35,2021-05-25,9390.0,Chemicals & Water Testing Products
36,2021-05-26,8656.0,Chemicals & Water Testing Products
37,2021-05-27,8656.0,Chemicals & Water Testing Products
38,2021-05-28,8656.0,Chemicals & Water Testing Products
39,2021-05-29,6661.0,Chemicals & Water Testing Products
40,2021-05-30,6661.0,Chemicals & Water Testing Products
41,2021-05-31,6451.0,Chemicals & Water Testing Products
42,2021-06-01,6451.0,Chemicals & Water Testing Products
43,2021-06-02,6451.0,Chemicals & Water Testing Products
44,2021-06-03,7371.0,Chemicals & Water Testing Products
45,2021-06-04,7371.0,Chemicals & Water Testing Products
46,2021-06-05,7371.0,Chemicals & Water Testing Products
47,2021-06-06,7920.0,Chemicals & Water Testing Products
48,2021-06-07,7920.0,Chemicals & Water Testing Products
49,2021-06-08,8359.0,Chemicals & Water Testing Products
50,2021-06-09,8359.0,Chemicals & Water Testing Products
51,2021-06-10,10404.0,Chemicals & Water Testing Products
52,2021-06-11,10404.0,Chemicals & Water Testing Products
53,2021-06-12,10404.0,Chemicals & Water Testing Products
54,2021-06-13,7028.0,Chemicals & Water Testing Products
55,2021-06-14,7028.0,Chemicals & Water Testing Products
56,2021-06-15,7317.0,Chemicals & Water Testing Products
57,2021-06-16,8257.0,Chemicals & Water Testing Products
58,2021-06-17,8257.0,Chemicals & Water Testing Products
59,2021-06-18,6962.0,Chemicals & Water Testing Products
60,2021-06-19,6962.0,Chemicals & Water Testing Products
61,2021-06-20,6962.0,Chemicals & Water Testing Products
62,2021-06-21,10264.0,Chemicals & Water Testing Products
63,2021-06-22,10264.0,Chemicals & Water Testing Products
64,2021-06-23,11746.0,Chemicals & Water Testing Products
65,2021-06-24,11291.0,Chemicals & Water Testing Products
66,2021-06-25,11291.0,Chemicals & Water Testing Products
67,2021-06-26,9064.0,Chemicals & Water Testing Products
68,2021-06-27,9064.0,Chemicals & Water Testing Products
69,2021-06-28,9064.0,Chemicals & Water Testing Products
70,2021-06-29,5156.0,Chemicals & Water Testing Products
71,2021-06-30,5156.0,Chemicals & Water Testing Products
72,2021-07-01,5156.0,Chemicals & Water Testing Products
73,2021-07-02,8299.0,Chemicals & Water Testing Products
74,2021-07-03,8299.0,Chemicals & Water Testing Products
75,2021-07-04,8299.0,Chemicals & Water Testing Products
76,2021-07-05,4811.0,Chemicals & Water Testing Products
77,2021-07-06,4811.0,Chemicals & Water Testing Products
78,2021-07-07,4811.0,Chemicals & Water Testing Products
79,2021-07-08,7571.0,Chemicals & Water Testing Products
80,2021-07-09,7571.0,Chemicals & Water Testing Products
81,2021-07-10,7571.0,Chemicals & Water Testing Products
82,2021-07-11,6634.0,Chemicals & Water Testing Products
