,date,value,name_B07WDZ5TQH
0,2020-05-27,6304.0,Stuffed Animals & Teddy Bears
1,2020-05-28,6304.0,Stuffed Animals & Teddy Bears
2,2020-05-29,6304.0,Stuffed Animals & Teddy Bears
3,2020-05-30,10918.0,Stuffed Animals & Teddy Bears
4,2020-05-31,10918.0,Stuffed Animals & Teddy Bears
5,2020-06-01,10918.0,Stuffed Animals & Teddy Bears
6,2020-06-02,15452.0,Stuffed Animals & Teddy Bears
7,2020-06-03,10717.0,Stuffed Animals & Teddy Bears
8,2020-06-04,10717.0,Stuffed Animals & Teddy Bears
9,2020-06-05,10717.0,Stuffed Animals & Teddy Bears
10,2020-06-06,11323.0,Stuffed Animals & Teddy Bears
11,2020-06-07,11323.0,Stuffed Animals & Teddy Bears
12,2020-06-08,11936.0,Stuffed Animals & Teddy Bears
13,2020-06-09,11936.0,Stuffed Animals & Teddy Bears
14,2020-06-10,9050.0,Stuffed Animals & Teddy Bears
15,2020-06-11,9050.0,Stuffed Animals & Teddy Bears
16,2020-06-12,9050.0,Stuffed Animals & Teddy Bears
17,2020-06-13,9050.0,Stuffed Animals & Teddy Bears
18,2020-06-14,10542.0,Stuffed Animals & Teddy Bears
19,2020-06-15,10542.0,Stuffed Animals & Teddy Bears
20,2020-06-16,10542.0,Stuffed Animals & Teddy Bears
21,2020-06-17,8313.0,Stuffed Animals & Teddy Bears
22,2020-06-18,8313.0,Stuffed Animals & Teddy Bears
23,2020-06-19,6246.0,Stuffed Animals & Teddy Bears
24,2020-06-20,6246.0,Stuffed Animals & Teddy Bears
25,2020-06-21,6246.0,Stuffed Animals & Teddy Bears
26,2020-06-22,8113.0,Stuffed Animals & Teddy Bears
27,2020-06-23,7555.0,Stuffed Animals & Teddy Bears
28,2020-06-24,7555.0,Stuffed Animals & Teddy Bears
29,2020-06-25,10620.0,Stuffed Animals & Teddy Bears
30,2020-06-26,10620.0,Stuffed Animals & Teddy Bears
31,2020-06-27,10620.0,Stuffed Animals & Teddy Bears
32,2020-06-28,10620.0,Stuffed Animals & Teddy Bears
33,2020-06-29,8470.0,Stuffed Animals & Teddy Bears
34,2020-06-30,8470.0,Stuffed Animals & Teddy Bears
35,2020-07-01,8470.0,Stuffed Animals & Teddy Bears
36,2020-07-02,13973.0,Stuffed Animals & Teddy Bears
37,2020-07-03,13973.0,Stuffed Animals & Teddy Bears
38,2020-07-04,7948.0,Stuffed Animals & Teddy Bears
39,2020-07-05,7948.0,Stuffed Animals & Teddy Bears
40,2020-07-06,7948.0,Stuffed Animals & Teddy Bears
41,2020-07-07,10144.0,Stuffed Animals & Teddy Bears
42,2020-07-08,10144.0,Stuffed Animals & Teddy Bears
43,2020-07-09,10144.0,Stuffed Animals & Teddy Bears
44,2020-07-10,8463.0,Stuffed Animals & Teddy Bears
45,2020-07-11,10036.0,Stuffed Animals & Teddy Bears
46,2020-07-12,10036.0,Stuffed Animals & Teddy Bears
47,2020-07-13,10036.0,Stuffed Animals & Teddy Bears
48,2020-07-14,10949.0,Stuffed Animals & Teddy Bears
49,2020-07-15,8132.0,Stuffed Animals & Teddy Bears
50,2020-07-16,10124.0,Stuffed Animals & Teddy Bears
51,2020-07-17,10124.0,Stuffed Animals & Teddy Bears
52,2020-07-18,7968.0,Stuffed Animals & Teddy Bears
53,2020-07-19,7968.0,Stuffed Animals & Teddy Bears
54,2020-07-20,7968.0,Stuffed Animals & Teddy Bears
55,2020-07-21,12549.0,Stuffed Animals & Teddy Bears
56,2020-07-22,12549.0,Stuffed Animals & Teddy Bears
57,2020-07-23,12685.0,Stuffed Animals & Teddy Bears
58,2020-07-24,12685.0,Stuffed Animals & Teddy Bears
59,2020-07-25,9101.0,Stuffed Animals & Teddy Bears
60,2020-07-26,9101.0,Stuffed Animals & Teddy Bears
61,2020-07-27,11296.0,Stuffed Animals & Teddy Bears
62,2020-07-28,11296.0,Stuffed Animals & Teddy Bears
63,2020-07-29,12041.0,Stuffed Animals & Teddy Bears
64,2020-07-30,12041.0,Stuffed Animals & Teddy Bears
65,2020-07-31,12041.0,Stuffed Animals & Teddy Bears
66,2020-08-01,10120.0,Stuffed Animals & Teddy Bears
67,2020-08-02,10120.0,Stuffed Animals & Teddy Bears
68,2020-08-03,10120.0,Stuffed Animals & Teddy Bears
69,2020-08-04,9683.0,Stuffed Animals & Teddy Bears
70,2020-08-05,9683.0,Stuffed Animals & Teddy Bears
71,2020-08-06,9683.0,Stuffed Animals & Teddy Bears
72,2020-08-07,7733.0,Stuffed Animals & Teddy Bears
73,2020-08-08,7733.0,Stuffed Animals & Teddy Bears
74,2020-08-09,7733.0,Stuffed Animals & Teddy Bears
75,2020-08-10,8071.0,Stuffed Animals & Teddy Bears
76,2020-08-11,8071.0,Stuffed Animals & Teddy Bears
77,2020-08-12,8071.0,Stuffed Animals & Teddy Bears
78,2020-08-13,9799.0,Stuffed Animals & Teddy Bears
79,2020-08-14,9799.0,Stuffed Animals & Teddy Bears
80,2020-08-15,9799.0,Stuffed Animals & Teddy Bears
81,2020-08-16,8414.0,Stuffed Animals & Teddy Bears
82,2020-08-17,8414.0,Stuffed Animals & Teddy Bears
83,2020-08-18,8414.0,Stuffed Animals & Teddy Bears
84,2020-08-19,11209.0,Stuffed Animals & Teddy Bears
85,2020-08-20,11209.0,Stuffed Animals & Teddy Bears
86,2020-08-21,11209.0,Stuffed Animals & Teddy Bears
87,2020-08-22,11209.0,Stuffed Animals & Teddy Bears
88,2020-08-23,11209.0,Stuffed Animals & Teddy Bears
89,2020-08-24,8315.0,Stuffed Animals & Teddy Bears
90,2020-08-25,8315.0,Stuffed Animals & Teddy Bears
91,2020-08-26,9161.0,Stuffed Animals & Teddy Bears
92,2020-08-27,9161.0,Stuffed Animals & Teddy Bears
93,2020-08-28,6847.0,Stuffed Animals & Teddy Bears
94,2020-08-29,6847.0,Stuffed Animals & Teddy Bears
95,2020-08-30,6847.0,Stuffed Animals & Teddy Bears
96,2020-08-31,8344.0,Stuffed Animals & Teddy Bears
