,date,value,name_B083C3YYBV
0,2020-07-16,9449.0,Seat Covers
1,2020-07-17,8522.0,Seat Covers
2,2020-07-18,6111.0,Seat Covers
3,2020-07-19,6989.0,Seat Covers
4,2020-07-20,4795.0,Seat Covers
5,2020-07-21,5406.0,Seat Covers
6,2020-07-22,3748.0,Seat Covers
7,2020-07-23,4079.0,Seat Covers
8,2020-07-24,4079.0,Seat Covers
9,2020-07-25,3606.0,Seat Covers
10,2020-07-26,3606.0,Seat Covers
11,2020-07-27,2553.0,Seat Covers
12,2020-07-28,2706.0,Seat Covers
13,2020-07-29,2706.0,Seat Covers
14,2020-07-30,2706.0,Seat Covers
15,2020-07-31,2706.0,Seat Covers
16,2020-08-01,2706.0,Seat Covers
17,2020-08-02,3520.0,Seat Covers
18,2020-08-03,3520.0,Seat Covers
19,2020-08-04,3520.0,Seat Covers
20,2020-08-05,3470.0,Seat Covers
21,2020-08-06,3507.0,Seat Covers
22,2020-08-07,3810.0,Seat Covers
23,2020-08-08,5834.0,Seat Covers
24,2020-08-09,5834.0,Seat Covers
25,2020-08-10,5834.0,Seat Covers
26,2020-08-11,5834.0,Seat Covers
27,2020-08-12,5834.0,Seat Covers
28,2020-08-13,5834.0,Seat Covers
29,2020-08-14,10094.0,Seat Covers
30,2020-08-15,6134.0,Seat Covers
31,2020-08-16,4288.0,Seat Covers
32,2020-08-17,3805.0,Seat Covers
33,2020-08-18,4743.0,Seat Covers
34,2020-08-19,5278.0,Seat Covers
35,2020-08-20,4949.0,Seat Covers
36,2020-08-21,4532.0,Seat Covers
37,2020-08-22,4048.0,Seat Covers
38,2020-08-23,3839.0,Seat Covers
39,2020-08-24,3356.0,Seat Covers
40,2020-08-25,3042.0,Seat Covers
41,2020-08-26,3042.0,Seat Covers
42,2020-08-27,2827.0,Seat Covers
43,2020-08-28,2827.0,Seat Covers
44,2020-08-29,2827.0,Seat Covers
45,2020-08-30,2827.0,Seat Covers
46,2020-08-31,2807.0,Seat Covers
47,2020-09-01,2807.0,Seat Covers
48,2020-09-02,3459.0,Seat Covers
49,2020-09-03,3707.0,Seat Covers
50,2020-09-04,3707.0,Seat Covers
51,2020-09-05,3707.0,Seat Covers
52,2020-09-06,3084.0,Seat Covers
53,2020-09-07,3084.0,Seat Covers
54,2020-09-08,2749.0,Seat Covers
55,2020-09-09,2749.0,Seat Covers
56,2020-09-10,2749.0,Seat Covers
57,2020-09-11,2623.0,Seat Covers
58,2020-09-12,2623.0,Seat Covers
59,2020-09-13,2623.0,Seat Covers
60,2020-09-14,1988.0,Seat Covers
61,2020-09-15,1988.0,Seat Covers
62,2020-09-16,2292.0,Seat Covers
63,2020-09-17,2399.0,Seat Covers
64,2020-09-18,2399.0,Seat Covers
65,2020-09-19,2399.0,Seat Covers
66,2020-09-20,2678.0,Seat Covers
67,2020-09-21,2447.0,Seat Covers
68,2020-09-22,2447.0,Seat Covers
69,2020-09-23,2447.0,Seat Covers
70,2020-09-24,3090.0,Seat Covers
71,2020-09-25,3417.0,Seat Covers
72,2020-09-26,3417.0,Seat Covers
73,2020-09-27,2689.0,Seat Covers
74,2020-09-28,3155.0,Seat Covers
75,2020-09-29,2583.0,Seat Covers
76,2020-09-30,2632.0,Seat Covers
77,2020-10-01,2740.0,Seat Covers
78,2020-10-02,2740.0,Seat Covers
79,2020-10-03,2740.0,Seat Covers
80,2020-10-04,2971.0,Seat Covers
81,2020-10-05,2971.0,Seat Covers
82,2020-10-06,2348.0,Seat Covers
83,2020-10-07,2348.0,Seat Covers
84,2020-10-08,2348.0,Seat Covers
85,2020-10-09,2229.0,Seat Covers
86,2020-10-10,2229.0,Seat Covers
87,2020-10-11,2291.0,Seat Covers
88,2020-10-12,2392.0,Seat Covers
89,2020-10-13,3015.0,Seat Covers
90,2020-10-14,2538.0,Seat Covers
91,2020-10-15,2711.0,Seat Covers
92,2020-10-16,2742.0,Seat Covers
93,2020-10-17,2742.0,Seat Covers
94,2020-10-18,2478.0,Seat Covers
95,2020-10-19,2587.0,Seat Covers
96,2020-10-20,2587.0,Seat Covers
97,2020-10-21,2495.0,Seat Covers
98,2020-10-22,2147.0,Seat Covers
99,2020-10-23,3528.0,Seat Covers
100,2020-10-24,3528.0,Seat Covers
101,2020-10-25,3282.0,Seat Covers
102,2020-10-26,3282.0,Seat Covers
103,2020-10-27,3282.0,Seat Covers
104,2020-10-28,3511.0,Seat Covers
105,2020-10-29,3153.0,Seat Covers
106,2020-10-30,3153.0,Seat Covers
107,2020-10-31,3153.0,Seat Covers
108,2020-11-01,2940.0,Seat Covers
109,2020-11-02,2940.0,Seat Covers
110,2020-11-03,3310.0,Seat Covers
111,2020-11-04,3310.0,Seat Covers
112,2020-11-05,3179.0,Seat Covers
113,2020-11-06,2760.0,Seat Covers
114,2020-11-07,2760.0,Seat Covers
115,2020-11-08,2724.0,Seat Covers
116,2020-11-09,2724.0,Seat Covers
117,2020-11-10,3460.0,Seat Covers
118,2020-11-11,3591.0,Seat Covers
119,2020-11-12,3591.0,Seat Covers
120,2020-11-13,3591.0,Seat Covers
121,2020-11-14,3591.0,Seat Covers
122,2020-11-15,3260.0,Seat Covers
123,2020-11-16,3260.0,Seat Covers
124,2020-11-17,3260.0,Seat Covers
125,2020-11-18,3260.0,Seat Covers
126,2020-11-19,3365.0,Seat Covers
127,2020-11-20,3365.0,Seat Covers
128,2020-11-21,3365.0,Seat Covers
129,2020-11-22,2854.0,Seat Covers
130,2020-11-23,2854.0,Seat Covers
131,2020-11-24,2854.0,Seat Covers
132,2020-11-25,3344.0,Seat Covers
133,2020-11-26,3293.0,Seat Covers
134,2020-11-27,3293.0,Seat Covers
135,2020-11-28,2554.0,Seat Covers
136,2020-11-29,2316.0,Seat Covers
137,2020-11-30,2703.0,Seat Covers
138,2020-12-01,2663.0,Seat Covers
139,2020-12-02,2898.0,Seat Covers
140,2020-12-03,3255.0,Seat Covers
141,2020-12-04,3255.0,Seat Covers
142,2020-12-05,3300.0,Seat Covers
143,2020-12-06,3494.0,Seat Covers
144,2020-12-07,3422.0,Seat Covers
145,2020-12-08,3938.0,Seat Covers
146,2020-12-09,3812.0,Seat Covers
147,2020-12-10,3171.0,Seat Covers
148,2020-12-11,3171.0,Seat Covers
149,2020-12-12,3171.0,Seat Covers
150,2020-12-13,2806.0,Seat Covers
151,2020-12-14,1464.0,Seat Covers
152,2020-12-15,1464.0,Seat Covers
153,2020-12-16,2691.0,Seat Covers
154,2020-12-17,2792.0,Seat Covers
155,2020-12-18,2666.0,Seat Covers
156,2020-12-19,2662.0,Seat Covers
157,2020-12-20,2662.0,Seat Covers
158,2020-12-21,2662.0,Seat Covers
159,2020-12-22,2062.0,Seat Covers
160,2020-12-23,2062.0,Seat Covers
161,2020-12-24,2491.0,Seat Covers
162,2020-12-25,2609.0,Seat Covers
163,2020-12-26,2609.0,Seat Covers
164,2020-12-27,2609.0,Seat Covers
165,2020-12-28,2732.0,Seat Covers
166,2020-12-29,2732.0,Seat Covers
167,2020-12-30,2977.0,Seat Covers
168,2020-12-31,2648.0,Seat Covers
169,2021-01-01,2648.0,Seat Covers
170,2021-01-02,2648.0,Seat Covers
171,2021-01-03,3480.0,Seat Covers
172,2021-01-04,3480.0,Seat Covers
173,2021-01-05,6220.0,Seat Covers
174,2021-01-06,6146.0,Seat Covers
175,2021-01-07,5483.0,Seat Covers
176,2021-01-08,5483.0,Seat Covers
177,2021-01-09,5483.0,Seat Covers
178,2021-01-10,2709.0,Seat Covers
179,2021-01-11,2066.0,Seat Covers
180,2021-01-12,1899.0,Seat Covers
181,2021-01-13,1899.0,Seat Covers
182,2021-01-14,2229.0,Seat Covers
183,2021-01-15,2229.0,Seat Covers
184,2021-01-16,2229.0,Seat Covers
185,2021-01-17,1828.0,Seat Covers
186,2021-01-18,1815.0,Seat Covers
187,2021-01-19,1844.0,Seat Covers
188,2021-01-20,1850.0,Seat Covers
189,2021-01-21,1850.0,Seat Covers
190,2021-01-22,1850.0,Seat Covers
191,2021-01-23,1803.0,Seat Covers
192,2021-01-24,2611.0,Seat Covers
193,2021-01-25,3346.0,Seat Covers
194,2021-01-26,3791.0,Seat Covers
195,2021-01-27,4076.0,Seat Covers
196,2021-01-28,4595.0,Seat Covers
197,2021-01-29,3896.0,Seat Covers
198,2021-01-30,3896.0,Seat Covers
199,2021-01-31,2462.0,Seat Covers
200,2021-02-01,2462.0,Seat Covers
201,2021-02-02,2462.0,Seat Covers
202,2021-02-03,2293.0,Seat Covers
203,2021-02-04,2300.0,Seat Covers
204,2021-02-05,2300.0,Seat Covers
205,2021-02-06,2300.0,Seat Covers
206,2021-02-07,1603.0,Seat Covers
207,2021-02-08,1603.0,Seat Covers
208,2021-02-09,2016.0,Seat Covers
209,2021-02-10,1914.0,Seat Covers
210,2021-02-11,1931.0,Seat Covers
211,2021-02-12,1931.0,Seat Covers
212,2021-02-13,1567.0,Seat Covers
213,2021-02-14,1567.0,Seat Covers
214,2021-02-15,1704.0,Seat Covers
215,2021-02-16,1974.0,Seat Covers
216,2021-02-17,1974.0,Seat Covers
217,2021-02-18,1974.0,Seat Covers
218,2021-02-19,1994.0,Seat Covers
219,2021-02-20,1994.0,Seat Covers
220,2021-02-21,1445.0,Seat Covers
221,2021-02-22,1445.0,Seat Covers
222,2021-02-23,1188.0,Seat Covers
223,2021-02-24,1282.0,Seat Covers
224,2021-02-25,1282.0,Seat Covers
225,2021-02-26,1282.0,Seat Covers
226,2021-02-27,1104.0,Seat Covers
227,2021-02-28,1104.0,Seat Covers
228,2021-03-01,847.0,Seat Covers
229,2021-03-02,663.0,Seat Covers
230,2021-03-03,957.0,Seat Covers
231,2021-03-04,957.0,Seat Covers
232,2021-03-05,1194.0,Seat Covers
233,2021-03-06,1194.0,Seat Covers
234,2021-03-07,1194.0,Seat Covers
235,2021-03-08,1247.0,Seat Covers
236,2021-03-09,1304.0,Seat Covers
237,2021-03-10,1304.0,Seat Covers
238,2021-03-11,1304.0,Seat Covers
239,2021-03-12,1228.0,Seat Covers
240,2021-03-13,1228.0,Seat Covers
241,2021-03-14,1228.0,Seat Covers
242,2021-03-15,1222.0,Seat Covers
243,2021-03-16,1309.0,Seat Covers
244,2021-03-17,1273.0,Seat Covers
245,2021-03-18,1273.0,Seat Covers
246,2021-03-19,1273.0,Seat Covers
247,2021-03-20,1449.0,Seat Covers
248,2021-03-21,1572.0,Seat Covers
249,2021-03-22,1725.0,Seat Covers
250,2021-03-23,1271.0,Seat Covers
251,2021-03-24,1191.0,Seat Covers
252,2021-03-25,1191.0,Seat Covers
253,2021-03-26,880.0,Seat Covers
254,2021-03-27,870.0,Seat Covers
255,2021-03-28,870.0,Seat Covers
256,2021-03-29,748.0,Seat Covers
257,2021-03-30,748.0,Seat Covers
258,2021-03-31,1028.0,Seat Covers
259,2021-04-01,1028.0,Seat Covers
260,2021-04-02,1419.0,Seat Covers
261,2021-04-03,1419.0,Seat Covers
262,2021-04-04,1419.0,Seat Covers
263,2021-04-05,1436.0,Seat Covers
264,2021-04-06,1606.0,Seat Covers
265,2021-04-07,1699.0,Seat Covers
266,2021-04-08,1575.0,Seat Covers
267,2021-04-09,1446.0,Seat Covers
268,2021-04-10,1602.0,Seat Covers
269,2021-04-11,1602.0,Seat Covers
270,2021-04-12,1455.0,Seat Covers
271,2021-04-13,1455.0,Seat Covers
272,2021-04-14,1455.0,Seat Covers
273,2021-04-15,1195.0,Seat Covers
274,2021-04-16,1195.0,Seat Covers
275,2021-04-17,1453.0,Seat Covers
276,2021-04-18,1244.0,Seat Covers
277,2021-04-19,1244.0,Seat Covers
278,2021-04-20,1308.0,Seat Covers
279,2021-04-21,1308.0,Seat Covers
280,2021-04-22,1308.0,Seat Covers
281,2021-04-23,1515.0,Seat Covers
282,2021-04-24,1515.0,Seat Covers
283,2021-04-25,1396.0,Seat Covers
284,2021-04-26,1396.0,Seat Covers
285,2021-04-27,1291.0,Seat Covers
286,2021-04-28,1291.0,Seat Covers
287,2021-04-29,1278.0,Seat Covers
288,2021-04-30,1278.0,Seat Covers
289,2021-05-01,1278.0,Seat Covers
290,2021-05-02,1504.0,Seat Covers
291,2021-05-03,1504.0,Seat Covers
292,2021-05-04,1278.0,Seat Covers
293,2021-05-05,1206.0,Seat Covers
294,2021-05-06,1328.0,Seat Covers
295,2021-05-07,1481.0,Seat Covers
296,2021-05-08,1285.0,Seat Covers
297,2021-05-09,1402.0,Seat Covers
298,2021-05-10,1391.0,Seat Covers
299,2021-05-11,1391.0,Seat Covers
300,2021-05-12,1193.0,Seat Covers
301,2021-05-13,1193.0,Seat Covers
302,2021-05-14,1542.0,Seat Covers
303,2021-05-15,1542.0,Seat Covers
304,2021-05-16,1691.0,Seat Covers
305,2021-05-17,1691.0,Seat Covers
306,2021-05-18,1283.0,Seat Covers
307,2021-05-19,1283.0,Seat Covers
308,2021-05-20,1552.0,Seat Covers
309,2021-05-21,1552.0,Seat Covers
310,2021-05-22,1269.0,Seat Covers
311,2021-05-23,1378.0,Seat Covers
312,2021-05-24,1478.0,Seat Covers
313,2021-05-25,1478.0,Seat Covers
314,2021-05-26,1455.0,Seat Covers
315,2021-05-27,1718.0,Seat Covers
316,2021-05-28,1718.0,Seat Covers
317,2021-05-29,1718.0,Seat Covers
318,2021-05-30,1434.0,Seat Covers
319,2021-05-31,1473.0,Seat Covers
320,2021-06-01,1409.0,Seat Covers
321,2021-06-02,1490.0,Seat Covers
322,2021-06-03,1478.0,Seat Covers
323,2021-06-04,1478.0,Seat Covers
324,2021-06-05,1396.0,Seat Covers
325,2021-06-06,1396.0,Seat Covers
326,2021-06-07,1321.0,Seat Covers
327,2021-06-08,1414.0,Seat Covers
328,2021-06-09,1381.0,Seat Covers
329,2021-06-10,1381.0,Seat Covers
330,2021-06-11,925.0,Seat Covers
331,2021-06-12,925.0,Seat Covers
332,2021-06-13,1277.0,Seat Covers
333,2021-06-14,1277.0,Seat Covers
334,2021-06-15,1256.0,Seat Covers
335,2021-06-16,1308.0,Seat Covers
336,2021-06-17,1308.0,Seat Covers
337,2021-06-18,1308.0,Seat Covers
338,2021-06-19,1298.0,Seat Covers
339,2021-06-20,1298.0,Seat Covers
340,2021-06-21,1479.0,Seat Covers
341,2021-06-22,1405.0,Seat Covers
342,2021-06-23,1405.0,Seat Covers
343,2021-06-24,1420.0,Seat Covers
344,2021-06-25,1420.0,Seat Covers
345,2021-06-26,1548.0,Seat Covers
346,2021-06-27,1548.0,Seat Covers
347,2021-06-28,1660.0,Seat Covers
348,2021-06-29,1660.0,Seat Covers
349,2021-06-30,1177.0,Seat Covers
350,2021-07-01,1177.0,Seat Covers
351,2021-07-02,1308.0,Seat Covers
352,2021-07-03,1516.0,Seat Covers
353,2021-07-04,1677.0,Seat Covers
354,2021-07-05,1677.0,Seat Covers
355,2021-07-06,1661.0,Seat Covers
356,2021-07-07,1582.0,Seat Covers
357,2021-07-08,1582.0,Seat Covers
358,2021-07-09,1697.0,Seat Covers
359,2021-07-10,1697.0,Seat Covers
360,2021-07-11,1630.0,Seat Covers
