,date,value,name_B08DFM75QL
0,2020-09-26,72292.0,Panels
1,2020-09-27,72292.0,Panels
2,2020-09-28,41136.0,Panels
3,2020-09-29,41136.0,Panels
4,2020-09-30,41136.0,Panels
5,2020-10-01,41136.0,Panels
6,2020-10-02,53029.0,Panels
7,2020-10-03,53029.0,Panels
8,2020-10-04,53029.0,Panels
9,2020-10-05,44861.0,Panels
10,2020-10-06,44861.0,Panels
11,2020-10-07,44861.0,Panels
12,2020-10-08,55372.0,Panels
13,2020-10-09,55372.0,Panels
14,2020-10-10,55372.0,Panels
15,2020-10-11,55372.0,Panels
16,2020-10-12,45730.0,Panels
17,2020-10-13,38505.0,Panels
18,2020-10-14,28216.0,Panels
19,2020-10-15,19676.0,Panels
20,2020-10-16,19676.0,Panels
21,2020-10-17,35635.0,Panels
22,2020-10-18,35635.0,Panels
23,2020-10-19,36025.0,Panels
24,2020-10-20,37583.0,Panels
25,2020-10-21,37583.0,Panels
26,2020-10-22,37583.0,Panels
27,2020-10-23,51138.0,Panels
28,2020-10-24,51138.0,Panels
29,2020-10-25,51138.0,Panels
30,2020-10-26,51138.0,Panels
31,2020-10-27,51138.0,Panels
32,2020-10-28,32641.0,Panels
33,2020-10-29,45515.0,Panels
34,2020-10-30,45515.0,Panels
35,2020-10-31,40990.0,Panels
36,2020-11-01,40990.0,Panels
37,2020-11-02,40990.0,Panels
38,2020-11-03,40990.0,Panels
39,2020-11-04,55050.0,Panels
40,2020-11-05,55893.0,Panels
41,2020-11-06,55893.0,Panels
42,2020-11-07,55893.0,Panels
43,2020-11-08,55893.0,Panels
44,2020-11-09,55893.0,Panels
45,2020-11-10,78734.0,Panels
46,2020-11-11,78734.0,Panels
47,2020-11-12,84060.0,Panels
48,2020-11-13,84060.0,Panels
49,2020-11-14,61241.0,Panels
50,2020-11-15,61241.0,Panels
51,2020-11-16,83056.0,Panels
52,2020-11-17,83056.0,Panels
53,2020-11-18,83056.0,Panels
54,2020-11-19,65905.0,Panels
55,2020-11-20,59317.0,Panels
56,2020-11-21,59317.0,Panels
57,2020-11-22,120468.0,Panels
58,2020-11-23,120468.0,Panels
59,2020-11-24,120468.0,Panels
60,2020-11-25,120468.0,Panels
61,2020-11-26,120468.0,Panels
62,2020-11-27,85777.0,Panels
63,2020-11-28,96900.0,Panels
64,2020-11-29,93077.0,Panels
65,2020-11-30,121295.0,Panels
66,2020-12-01,99023.0,Panels
67,2020-12-02,120180.0,Panels
68,2020-12-03,155444.0,Panels
69,2020-12-04,155444.0,Panels
70,2020-12-05,149781.0,Panels
71,2020-12-06,149781.0,Panels
72,2020-12-07,99488.0,Panels
73,2020-12-08,99488.0,Panels
74,2020-12-09,98632.0,Panels
