,date,value,name_B00LTYJGC4
0,2018-09-15,2235.0,Misting Systems
1,2018-09-16,2566.0,Misting Systems
2,2018-09-17,2662.0,Misting Systems
3,2018-09-18,2070.0,Misting Systems
4,2018-09-19,4144.0,Misting Systems
5,2018-09-20,3191.0,Misting Systems
6,2018-09-21,3479.0,Misting Systems
7,2018-09-22,3287.0,Misting Systems
8,2018-09-23,3287.0,Misting Systems
9,2018-09-24,3441.0,Misting Systems
10,2018-09-25,3382.0,Misting Systems
11,2018-09-26,3382.0,Misting Systems
12,2018-09-27,3328.0,Misting Systems
13,2018-09-28,3328.0,Misting Systems
14,2018-09-29,3328.0,Misting Systems
15,2018-09-30,4661.0,Misting Systems
16,2018-10-01,4661.0,Misting Systems
17,2018-10-02,4661.0,Misting Systems
18,2018-10-03,4661.0,Misting Systems
19,2018-10-04,5408.0,Misting Systems
20,2018-10-05,4381.0,Misting Systems
21,2018-10-06,5749.0,Misting Systems
22,2018-10-07,5749.0,Misting Systems
23,2018-10-08,5749.0,Misting Systems
24,2018-10-09,9138.0,Misting Systems
25,2018-10-10,9138.0,Misting Systems
26,2018-10-11,9138.0,Misting Systems
27,2018-10-12,9208.0,Misting Systems
28,2018-10-13,8365.0,Misting Systems
29,2018-10-14,7697.0,Misting Systems
30,2018-10-15,7697.0,Misting Systems
31,2018-10-16,7697.0,Misting Systems
32,2018-10-17,7697.0,Misting Systems
33,2018-10-18,7697.0,Misting Systems
34,2018-10-19,6336.0,Misting Systems
35,2018-10-20,9103.0,Misting Systems
36,2018-10-21,5439.0,Misting Systems
37,2018-10-22,5439.0,Misting Systems
38,2018-10-23,5439.0,Misting Systems
39,2018-10-24,6249.0,Misting Systems
40,2018-10-25,6249.0,Misting Systems
41,2018-10-26,7717.0,Misting Systems
42,2018-10-27,5962.0,Misting Systems
43,2018-10-28,6329.0,Misting Systems
44,2018-10-29,6329.0,Misting Systems
45,2018-10-30,6329.0,Misting Systems
46,2018-10-31,6329.0,Misting Systems
47,2018-11-01,7662.0,Misting Systems
48,2018-11-02,7662.0,Misting Systems
49,2018-11-03,7858.0,Misting Systems
50,2018-11-04,7858.0,Misting Systems
51,2018-11-05,13524.0,Misting Systems
52,2018-11-06,13524.0,Misting Systems
53,2018-11-07,7358.0,Misting Systems
54,2018-11-08,7358.0,Misting Systems
55,2018-11-09,7358.0,Misting Systems
56,2018-11-10,6148.0,Misting Systems
57,2018-11-11,10427.0,Misting Systems
58,2018-11-12,16217.0,Misting Systems
