,date,value,name_B07ZTH4T6P
0,2019-11-01,9990.0,Shower Curtains
1,2019-11-02,10718.0,Shower Curtains
2,2019-11-03,10060.0,Shower Curtains
3,2019-11-04,13141.0,Shower Curtains
4,2019-11-05,11654.0,Shower Curtains
5,2019-11-06,12808.0,Shower Curtains
6,2019-11-07,11928.0,Shower Curtains
7,2019-11-08,9892.0,Shower Curtains
8,2019-11-09,12494.0,Shower Curtains
9,2019-11-10,10258.0,Shower Curtains
10,2019-11-11,10269.0,Shower Curtains
11,2019-11-12,13657.0,Shower Curtains
12,2019-11-13,12651.0,Shower Curtains
13,2019-11-14,11465.0,Shower Curtains
14,2019-11-15,15579.0,Shower Curtains
15,2019-11-16,12350.0,Shower Curtains
16,2019-11-17,12350.0,Shower Curtains
17,2019-11-18,14918.0,Shower Curtains
18,2019-11-19,19852.0,Shower Curtains
19,2019-11-20,21755.0,Shower Curtains
20,2019-11-21,31157.0,Shower Curtains
21,2019-11-22,31157.0,Shower Curtains
22,2019-11-23,31157.0,Shower Curtains
23,2019-11-24,29018.0,Shower Curtains
24,2019-11-25,23445.0,Shower Curtains
25,2019-11-26,33518.0,Shower Curtains
26,2019-11-27,32490.0,Shower Curtains
27,2019-11-28,22325.0,Shower Curtains
28,2019-11-29,22325.0,Shower Curtains
29,2019-11-30,32752.0,Shower Curtains
30,2019-12-01,40586.0,Shower Curtains
31,2019-12-02,40586.0,Shower Curtains
32,2019-12-03,40586.0,Shower Curtains
33,2019-12-04,40586.0,Shower Curtains
34,2019-12-05,52142.0,Shower Curtains
35,2019-12-06,60186.0,Shower Curtains
36,2019-12-07,60186.0,Shower Curtains
37,2019-12-08,60186.0,Shower Curtains
38,2019-12-09,60186.0,Shower Curtains
39,2019-12-10,134313.0,Shower Curtains
40,2019-12-11,134313.0,Shower Curtains
41,2019-12-12,152075.0,Shower Curtains
42,2019-12-13,121354.0,Shower Curtains
43,2019-12-14,121354.0,Shower Curtains
44,2019-12-15,121354.0,Shower Curtains
45,2019-12-16,121354.0,Shower Curtains
46,2019-12-17,121354.0,Shower Curtains
47,2019-12-18,49554.0,Shower Curtains
48,2019-12-19,49554.0,Shower Curtains
49,2019-12-20,49554.0,Shower Curtains
50,2019-12-21,49554.0,Shower Curtains
51,2019-12-22,49554.0,Shower Curtains
52,2019-12-23,39123.0,Shower Curtains
53,2019-12-24,36367.0,Shower Curtains
54,2019-12-25,30387.0,Shower Curtains
55,2019-12-26,23488.0,Shower Curtains
56,2019-12-27,31594.0,Shower Curtains
57,2019-12-28,31594.0,Shower Curtains
58,2019-12-29,31594.0,Shower Curtains
59,2019-12-30,31594.0,Shower Curtains
60,2019-12-31,23796.0,Shower Curtains
61,2020-01-01,23796.0,Shower Curtains
62,2020-01-02,23375.0,Shower Curtains
63,2020-01-03,23375.0,Shower Curtains
64,2020-01-04,25671.0,Shower Curtains
65,2020-01-05,25671.0,Shower Curtains
66,2020-01-06,25671.0,Shower Curtains
67,2020-01-07,25671.0,Shower Curtains
68,2020-01-08,21105.0,Shower Curtains
69,2020-01-09,12838.0,Shower Curtains
70,2020-01-10,12838.0,Shower Curtains
71,2020-01-11,12838.0,Shower Curtains
72,2020-01-12,16346.0,Shower Curtains
73,2020-01-13,17296.0,Shower Curtains
74,2020-01-14,17296.0,Shower Curtains
75,2020-01-15,17296.0,Shower Curtains
76,2020-01-16,12913.0,Shower Curtains
77,2020-01-17,12913.0,Shower Curtains
78,2020-01-18,11980.0,Shower Curtains
79,2020-01-19,9396.0,Shower Curtains
80,2020-01-20,11031.0,Shower Curtains
81,2020-01-21,13870.0,Shower Curtains
82,2020-01-22,13870.0,Shower Curtains
83,2020-01-23,14649.0,Shower Curtains
84,2020-01-24,11669.0,Shower Curtains
85,2020-01-25,11669.0,Shower Curtains
86,2020-01-26,11669.0,Shower Curtains
87,2020-01-27,11669.0,Shower Curtains
88,2020-01-28,5392.0,Shower Curtains
89,2020-01-29,5392.0,Shower Curtains
90,2020-01-30,5392.0,Shower Curtains
91,2020-01-31,3261.0,Shower Curtains
92,2020-02-01,3261.0,Shower Curtains
93,2020-02-02,2898.0,Shower Curtains
94,2020-02-03,2811.0,Shower Curtains
95,2020-02-04,2811.0,Shower Curtains
96,2020-02-05,2811.0,Shower Curtains
97,2020-02-06,2811.0,Shower Curtains
98,2020-02-07,3701.0,Shower Curtains
