,date,value,name_B07Y8S36KZ
0,2019-09-26,8099.0,Jars
1,2019-09-27,8776.0,Jars
2,2019-09-28,7946.0,Jars
3,2019-09-29,8942.0,Jars
4,2019-09-30,11427.0,Jars
5,2019-10-01,13254.0,Jars
6,2019-10-02,16565.0,Jars
7,2019-10-03,12901.0,Jars
8,2019-10-04,16754.0,Jars
9,2019-10-05,14002.0,Jars
10,2019-10-06,12704.0,Jars
11,2019-10-07,10943.0,Jars
12,2019-10-08,10877.0,Jars
13,2019-10-09,14701.0,Jars
14,2019-10-10,11372.0,Jars
15,2019-10-11,7076.0,Jars
16,2019-10-12,7989.0,Jars
17,2019-10-13,9788.0,Jars
18,2019-10-14,9131.0,Jars
19,2019-10-15,13102.0,Jars
20,2019-10-16,9471.0,Jars
21,2019-10-17,11633.0,Jars
22,2019-10-18,11020.0,Jars
23,2019-10-19,9357.0,Jars
24,2019-10-20,12471.0,Jars
25,2019-10-21,13606.0,Jars
26,2019-10-22,11935.0,Jars
27,2019-10-23,16743.0,Jars
28,2019-10-24,13072.0,Jars
29,2019-10-25,10383.0,Jars
30,2019-10-26,10550.0,Jars
31,2019-10-27,16777.0,Jars
32,2019-10-28,18388.0,Jars
33,2019-10-29,13755.0,Jars
34,2019-10-30,12921.0,Jars
35,2019-10-31,12979.0,Jars
36,2019-11-01,10275.0,Jars
37,2019-11-02,8286.0,Jars
38,2019-11-03,14243.0,Jars
39,2019-11-04,16159.0,Jars
40,2019-11-05,12959.0,Jars
41,2019-11-06,14852.0,Jars
42,2019-11-07,12496.0,Jars
43,2019-11-08,12496.0,Jars
44,2019-11-09,12496.0,Jars
45,2019-11-10,12496.0,Jars
46,2019-11-11,12496.0,Jars
47,2019-11-12,12496.0,Jars
48,2019-11-13,12496.0,Jars
49,2019-11-14,12496.0,Jars
50,2019-11-15,12496.0,Jars
51,2019-11-16,12496.0,Jars
52,2019-11-17,12496.0,Jars
53,2019-11-18,9905.0,Jars
54,2019-11-19,9905.0,Jars
55,2019-11-20,9905.0,Jars
56,2019-11-21,10571.0,Jars
57,2019-11-22,11936.0,Jars
58,2019-11-23,11936.0,Jars
59,2019-11-24,11936.0,Jars
60,2019-11-25,16241.0,Jars
61,2019-11-26,16241.0,Jars
62,2019-11-27,16241.0,Jars
63,2019-11-28,16241.0,Jars
64,2019-11-29,16241.0,Jars
65,2019-11-30,16241.0,Jars
66,2019-12-01,16241.0,Jars
67,2019-12-02,18093.0,Jars
68,2019-12-03,18093.0,Jars
69,2019-12-04,18093.0,Jars
70,2019-12-05,18093.0,Jars
71,2019-12-06,18093.0,Jars
72,2019-12-07,18093.0,Jars
73,2019-12-08,18093.0,Jars
74,2019-12-09,18093.0,Jars
75,2019-12-10,18093.0,Jars
76,2019-12-11,20487.0,Jars
77,2019-12-12,20487.0,Jars
78,2019-12-13,20487.0,Jars
79,2019-12-14,20487.0,Jars
80,2019-12-15,20083.0,Jars
81,2019-12-16,20083.0,Jars
82,2019-12-17,20083.0,Jars
83,2019-12-18,33070.0,Jars
84,2019-12-19,33070.0,Jars
85,2019-12-20,33070.0,Jars
86,2019-12-21,33070.0,Jars
87,2019-12-22,33070.0,Jars
88,2019-12-23,33070.0,Jars
89,2019-12-24,19678.0,Jars
90,2019-12-25,19678.0,Jars
91,2019-12-26,19678.0,Jars
92,2019-12-27,16242.0,Jars
93,2019-12-28,16242.0,Jars
94,2019-12-29,16242.0,Jars
95,2019-12-30,16242.0,Jars
96,2019-12-31,16242.0,Jars
97,2020-01-01,16242.0,Jars
98,2020-01-02,16242.0,Jars
99,2020-01-03,16242.0,Jars
100,2020-01-04,16242.0,Jars
101,2020-01-05,16242.0,Jars
102,2020-01-06,14140.0,Jars
103,2020-01-07,14140.0,Jars
104,2020-01-08,14140.0,Jars
105,2020-01-09,14564.0,Jars
106,2020-01-10,14564.0,Jars
107,2020-01-11,14564.0,Jars
108,2020-01-12,14564.0,Jars
109,2020-01-13,14564.0,Jars
110,2020-01-14,14564.0,Jars
111,2020-01-15,10156.0,Jars
112,2020-01-16,10156.0,Jars
113,2020-01-17,10156.0,Jars
114,2020-01-18,10156.0,Jars
115,2020-01-19,10156.0,Jars
116,2020-01-20,10156.0,Jars
117,2020-01-21,10156.0,Jars
118,2020-01-22,10156.0,Jars
119,2020-01-23,10118.0,Jars
120,2020-01-24,10118.0,Jars
121,2020-01-25,10118.0,Jars
122,2020-01-26,12812.0,Jars
123,2020-01-27,12812.0,Jars
124,2020-01-28,12812.0,Jars
125,2020-01-29,12812.0,Jars
126,2020-01-30,12812.0,Jars
127,2020-01-31,12812.0,Jars
128,2020-02-01,12812.0,Jars
129,2020-02-02,12812.0,Jars
130,2020-02-03,12812.0,Jars
131,2020-02-04,25179.0,Jars
132,2020-02-05,25179.0,Jars
133,2020-02-06,25179.0,Jars
134,2020-02-07,25179.0,Jars
135,2020-02-08,25179.0,Jars
136,2020-02-09,25179.0,Jars
137,2020-02-10,25179.0,Jars
138,2020-02-11,25179.0,Jars
139,2020-02-12,25179.0,Jars
140,2020-02-13,25179.0,Jars
141,2020-02-14,14995.0,Jars
142,2020-02-15,20795.0,Jars
143,2020-02-16,20795.0,Jars
144,2020-02-17,20795.0,Jars
145,2020-02-18,20795.0,Jars
146,2020-02-19,20795.0,Jars
147,2020-02-20,17709.0,Jars
148,2020-02-21,17709.0,Jars
149,2020-02-22,17709.0,Jars
150,2020-02-23,17709.0,Jars
151,2020-02-24,17709.0,Jars
152,2020-02-25,17709.0,Jars
153,2020-02-26,10186.0,Jars
154,2020-02-27,10186.0,Jars
155,2020-02-28,10186.0,Jars
156,2020-02-29,9155.0,Jars
157,2020-03-01,9155.0,Jars
158,2020-03-02,7047.0,Jars
159,2020-03-03,7047.0,Jars
160,2020-03-04,7047.0,Jars
161,2020-03-05,7047.0,Jars
162,2020-03-06,11733.0,Jars
163,2020-03-07,11733.0,Jars
164,2020-03-08,11733.0,Jars
165,2020-03-09,11733.0,Jars
166,2020-03-10,11733.0,Jars
167,2020-03-11,-1.0,Jars
