,date,value,name_B082YFC9LC
0,2019-12-25,8183.0,Pool & Spa Replacement Parts
1,2019-12-26,8183.0,Pool & Spa Replacement Parts
2,2019-12-27,10676.0,Pool & Spa Replacement Parts
3,2019-12-28,10676.0,Pool & Spa Replacement Parts
4,2019-12-29,10676.0,Pool & Spa Replacement Parts
5,2019-12-30,10676.0,Pool & Spa Replacement Parts
6,2019-12-31,3619.0,Pool & Spa Replacement Parts
7,2020-01-01,3619.0,Pool & Spa Replacement Parts
8,2020-01-02,3619.0,Pool & Spa Replacement Parts
9,2020-01-03,3619.0,Pool & Spa Replacement Parts
10,2020-01-04,3899.0,Pool & Spa Replacement Parts
11,2020-01-05,1467.0,Pool & Spa Replacement Parts
12,2020-01-06,1467.0,Pool & Spa Replacement Parts
13,2020-01-07,1467.0,Pool & Spa Replacement Parts
14,2020-01-08,1655.0,Pool & Spa Replacement Parts
15,2020-01-09,1714.0,Pool & Spa Replacement Parts
16,2020-01-10,1353.0,Pool & Spa Replacement Parts
17,2020-01-11,1670.0,Pool & Spa Replacement Parts
18,2020-01-12,1670.0,Pool & Spa Replacement Parts
19,2020-01-13,1339.0,Pool & Spa Replacement Parts
20,2020-01-14,1282.0,Pool & Spa Replacement Parts
21,2020-01-15,1619.0,Pool & Spa Replacement Parts
22,2020-01-16,1619.0,Pool & Spa Replacement Parts
23,2020-01-17,2927.0,Pool & Spa Replacement Parts
24,2020-01-18,2927.0,Pool & Spa Replacement Parts
25,2020-01-19,1358.0,Pool & Spa Replacement Parts
26,2020-01-20,1552.0,Pool & Spa Replacement Parts
27,2020-01-21,1552.0,Pool & Spa Replacement Parts
28,2020-01-22,1616.0,Pool & Spa Replacement Parts
29,2020-01-23,1616.0,Pool & Spa Replacement Parts
30,2020-01-24,1616.0,Pool & Spa Replacement Parts
31,2020-01-25,1616.0,Pool & Spa Replacement Parts
32,2020-01-26,1616.0,Pool & Spa Replacement Parts
33,2020-01-27,1616.0,Pool & Spa Replacement Parts
34,2020-01-28,2720.0,Pool & Spa Replacement Parts
35,2020-01-29,2720.0,Pool & Spa Replacement Parts
36,2020-01-30,2720.0,Pool & Spa Replacement Parts
37,2020-01-31,2720.0,Pool & Spa Replacement Parts
38,2020-02-01,2720.0,Pool & Spa Replacement Parts
39,2020-02-02,2720.0,Pool & Spa Replacement Parts
40,2020-02-03,1387.0,Pool & Spa Replacement Parts
41,2020-02-04,1387.0,Pool & Spa Replacement Parts
42,2020-02-05,1387.0,Pool & Spa Replacement Parts
43,2020-02-06,1448.0,Pool & Spa Replacement Parts
44,2020-02-07,1304.0,Pool & Spa Replacement Parts
45,2020-02-08,1304.0,Pool & Spa Replacement Parts
46,2020-02-09,1100.0,Pool & Spa Replacement Parts
47,2020-02-10,1275.0,Pool & Spa Replacement Parts
48,2020-02-11,1275.0,Pool & Spa Replacement Parts
49,2020-02-12,1275.0,Pool & Spa Replacement Parts
50,2020-02-13,1275.0,Pool & Spa Replacement Parts
