,date,value,name_B083NRQPHJ
0,2020-01-10,1364.0,Container Sets
1,2020-01-11,1364.0,Container Sets
2,2020-01-12,981.0,Container Sets
3,2020-01-13,1507.0,Container Sets
4,2020-01-14,1507.0,Container Sets
5,2020-01-15,1200.0,Container Sets
6,2020-01-16,1030.0,Container Sets
7,2020-01-17,914.0,Container Sets
8,2020-01-18,891.0,Container Sets
9,2020-01-19,891.0,Container Sets
10,2020-01-20,743.0,Container Sets
11,2020-01-21,1086.0,Container Sets
12,2020-01-22,1294.0,Container Sets
13,2020-01-23,1294.0,Container Sets
14,2020-01-24,1294.0,Container Sets
15,2020-01-25,1294.0,Container Sets
16,2020-01-26,686.0,Container Sets
17,2020-01-27,686.0,Container Sets
18,2020-01-28,715.0,Container Sets
19,2020-01-29,715.0,Container Sets
20,2020-01-30,859.0,Container Sets
21,2020-01-31,930.0,Container Sets
22,2020-02-01,916.0,Container Sets
23,2020-02-02,688.0,Container Sets
24,2020-02-03,688.0,Container Sets
25,2020-02-04,702.0,Container Sets
26,2020-02-05,702.0,Container Sets
27,2020-02-06,781.0,Container Sets
28,2020-02-07,776.0,Container Sets
29,2020-02-08,776.0,Container Sets
30,2020-02-09,776.0,Container Sets
31,2020-02-10,701.0,Container Sets
32,2020-02-11,874.0,Container Sets
33,2020-02-12,915.0,Container Sets
34,2020-02-13,915.0,Container Sets
35,2020-02-14,1256.0,Container Sets
36,2020-02-15,1256.0,Container Sets
37,2020-02-16,856.0,Container Sets
38,2020-02-17,809.0,Container Sets
39,2020-02-18,902.0,Container Sets
40,2020-02-19,986.0,Container Sets
41,2020-02-20,986.0,Container Sets
42,2020-02-21,975.0,Container Sets
43,2020-02-22,933.0,Container Sets
44,2020-02-23,634.0,Container Sets
45,2020-02-24,611.0,Container Sets
46,2020-02-25,611.0,Container Sets
47,2020-02-26,823.0,Container Sets
48,2020-02-27,636.0,Container Sets
49,2020-02-28,682.0,Container Sets
50,2020-02-29,682.0,Container Sets
51,2020-03-01,682.0,Container Sets
52,2020-03-02,865.0,Container Sets
53,2020-03-03,1135.0,Container Sets
54,2020-03-04,1392.0,Container Sets
55,2020-03-05,1392.0,Container Sets
56,2020-03-06,1135.0,Container Sets
57,2020-03-07,-1.0,Container Sets
