,date,value,name_B0716FJGGY
0,2020-06-03,5860.0,Jewelry Clasps
1,2020-06-04,5860.0,Jewelry Clasps
2,2020-06-05,5501.0,Jewelry Clasps
3,2020-06-06,5501.0,Jewelry Clasps
4,2020-06-07,5501.0,Jewelry Clasps
5,2020-06-08,5501.0,Jewelry Clasps
6,2020-06-09,5501.0,Jewelry Clasps
7,2020-06-10,5992.0,Jewelry Clasps
8,2020-06-11,5992.0,Jewelry Clasps
9,2020-06-12,8368.0,Jewelry Clasps
10,2020-06-13,6090.0,Jewelry Clasps
11,2020-06-14,6090.0,Jewelry Clasps
12,2020-06-15,6778.0,Jewelry Clasps
13,2020-06-16,6778.0,Jewelry Clasps
14,2020-06-17,6778.0,Jewelry Clasps
15,2020-06-18,5498.0,Jewelry Clasps
16,2020-06-19,5498.0,Jewelry Clasps
17,2020-06-20,5498.0,Jewelry Clasps
18,2020-06-21,6434.0,Jewelry Clasps
19,2020-06-22,6434.0,Jewelry Clasps
20,2020-06-23,8283.0,Jewelry Clasps
21,2020-06-24,8283.0,Jewelry Clasps
22,2020-06-25,8283.0,Jewelry Clasps
23,2020-06-26,8283.0,Jewelry Clasps
24,2020-06-27,8283.0,Jewelry Clasps
25,2020-06-28,5276.0,Jewelry Clasps
26,2020-06-29,5276.0,Jewelry Clasps
27,2020-06-30,3351.0,Jewelry Clasps
28,2020-07-01,3351.0,Jewelry Clasps
29,2020-07-02,3351.0,Jewelry Clasps
30,2020-07-03,3351.0,Jewelry Clasps
31,2020-07-04,3351.0,Jewelry Clasps
32,2020-07-05,3351.0,Jewelry Clasps
33,2020-07-06,3351.0,Jewelry Clasps
34,2020-07-07,3351.0,Jewelry Clasps
35,2020-07-08,3351.0,Jewelry Clasps
36,2020-07-09,4033.0,Jewelry Clasps
37,2020-07-10,4571.0,Jewelry Clasps
38,2020-07-11,4571.0,Jewelry Clasps
39,2020-07-12,6237.0,Jewelry Clasps
40,2020-07-13,6237.0,Jewelry Clasps
41,2020-07-14,4182.0,Jewelry Clasps
42,2020-07-15,5014.0,Jewelry Clasps
43,2020-07-16,6949.0,Jewelry Clasps
44,2020-07-17,6949.0,Jewelry Clasps
45,2020-07-18,6949.0,Jewelry Clasps
46,2020-07-19,6949.0,Jewelry Clasps
47,2020-07-20,7745.0,Jewelry Clasps
48,2020-07-21,7745.0,Jewelry Clasps
49,2020-07-22,7745.0,Jewelry Clasps
50,2020-07-23,7745.0,Jewelry Clasps
51,2020-07-24,7745.0,Jewelry Clasps
52,2020-07-25,7745.0,Jewelry Clasps
53,2020-07-26,4749.0,Jewelry Clasps
54,2020-07-27,4749.0,Jewelry Clasps
55,2020-07-28,4749.0,Jewelry Clasps
56,2020-07-29,4749.0,Jewelry Clasps
57,2020-07-30,5050.0,Jewelry Clasps
58,2020-07-31,5050.0,Jewelry Clasps
59,2020-08-01,5050.0,Jewelry Clasps
60,2020-08-02,5050.0,Jewelry Clasps
61,2020-08-03,5050.0,Jewelry Clasps
62,2020-08-04,6768.0,Jewelry Clasps
63,2020-08-05,6559.0,Jewelry Clasps
64,2020-08-06,6559.0,Jewelry Clasps
65,2020-08-07,6081.0,Jewelry Clasps
66,2020-08-08,5534.0,Jewelry Clasps
67,2020-08-09,5679.0,Jewelry Clasps
68,2020-08-10,5679.0,Jewelry Clasps
69,2020-08-11,5679.0,Jewelry Clasps
70,2020-08-12,5679.0,Jewelry Clasps
71,2020-08-13,5679.0,Jewelry Clasps
72,2020-08-14,10906.0,Jewelry Clasps
73,2020-08-15,10906.0,Jewelry Clasps
74,2020-08-16,10906.0,Jewelry Clasps
75,2020-08-17,10906.0,Jewelry Clasps
76,2020-08-18,5719.0,Jewelry Clasps
77,2020-08-19,5719.0,Jewelry Clasps
78,2020-08-20,7824.0,Jewelry Clasps
79,2020-08-21,7824.0,Jewelry Clasps
80,2020-08-22,7824.0,Jewelry Clasps
81,2020-08-23,7824.0,Jewelry Clasps
82,2020-08-24,7824.0,Jewelry Clasps
83,2020-08-25,6703.0,Jewelry Clasps
84,2020-08-26,6703.0,Jewelry Clasps
85,2020-08-27,6703.0,Jewelry Clasps
86,2020-08-28,6703.0,Jewelry Clasps
87,2020-08-29,6703.0,Jewelry Clasps
88,2020-08-30,6703.0,Jewelry Clasps
89,2020-08-31,4282.0,Jewelry Clasps
90,2020-09-01,4282.0,Jewelry Clasps
91,2020-09-02,4282.0,Jewelry Clasps
92,2020-09-03,4282.0,Jewelry Clasps
93,2020-09-04,4282.0,Jewelry Clasps
94,2020-09-05,8508.0,Jewelry Clasps
95,2020-09-06,8508.0,Jewelry Clasps
96,2020-09-07,8508.0,Jewelry Clasps
97,2020-09-08,6791.0,Jewelry Clasps
98,2020-09-09,6791.0,Jewelry Clasps
99,2020-09-10,6791.0,Jewelry Clasps
100,2020-09-11,6791.0,Jewelry Clasps
101,2020-09-12,6791.0,Jewelry Clasps
102,2020-09-13,4767.0,Jewelry Clasps
103,2020-09-14,5951.0,Jewelry Clasps
104,2020-09-15,9029.0,Jewelry Clasps
105,2020-09-16,6906.0,Jewelry Clasps
106,2020-09-17,6906.0,Jewelry Clasps
107,2020-09-18,9023.0,Jewelry Clasps
108,2020-09-19,9023.0,Jewelry Clasps
109,2020-09-20,7109.0,Jewelry Clasps
110,2020-09-21,7109.0,Jewelry Clasps
111,2020-09-22,7109.0,Jewelry Clasps
112,2020-09-23,7109.0,Jewelry Clasps
113,2020-09-24,6285.0,Jewelry Clasps
114,2020-09-25,6285.0,Jewelry Clasps
115,2020-09-26,6285.0,Jewelry Clasps
116,2020-09-27,6285.0,Jewelry Clasps
117,2020-09-28,4074.0,Jewelry Clasps
118,2020-09-29,4074.0,Jewelry Clasps
119,2020-09-30,5569.0,Jewelry Clasps
120,2020-10-01,5569.0,Jewelry Clasps
121,2020-10-02,5569.0,Jewelry Clasps
122,2020-10-03,5569.0,Jewelry Clasps
123,2020-10-04,5569.0,Jewelry Clasps
124,2020-10-05,4505.0,Jewelry Clasps
125,2020-10-06,4505.0,Jewelry Clasps
126,2020-10-07,4505.0,Jewelry Clasps
