,date,value,name_B08R7NTFJ3
0,2020-12-24,2396.0,Molding & Casting
1,2020-12-25,2657.0,Molding & Casting
2,2020-12-26,2657.0,Molding & Casting
3,2020-12-27,2666.0,Molding & Casting
4,2020-12-28,2709.0,Molding & Casting
5,2020-12-29,2709.0,Molding & Casting
6,2020-12-30,3164.0,Molding & Casting
7,2020-12-31,3164.0,Molding & Casting
8,2021-01-01,619.0,Molding & Casting
9,2021-01-02,809.0,Molding & Casting
10,2021-01-03,809.0,Molding & Casting
11,2021-01-04,809.0,Molding & Casting
12,2021-01-05,1325.0,Molding & Casting
13,2021-01-06,1149.0,Molding & Casting
14,2021-01-07,1156.0,Molding & Casting
15,2021-01-08,1156.0,Molding & Casting
16,2021-01-09,1313.0,Molding & Casting
17,2021-01-10,1313.0,Molding & Casting
18,2021-01-11,1313.0,Molding & Casting
19,2021-01-12,1143.0,Molding & Casting
20,2021-01-13,1396.0,Molding & Casting
21,2021-01-14,1396.0,Molding & Casting
22,2021-01-15,1027.0,Molding & Casting
23,2021-01-16,1027.0,Molding & Casting
24,2021-01-17,1027.0,Molding & Casting
25,2021-01-18,1332.0,Molding & Casting
26,2021-01-19,1484.0,Molding & Casting
27,2021-01-20,1484.0,Molding & Casting
28,2021-01-21,1748.0,Molding & Casting
29,2021-01-22,1748.0,Molding & Casting
30,2021-01-23,992.0,Molding & Casting
31,2021-01-24,992.0,Molding & Casting
32,2021-01-25,857.0,Molding & Casting
33,2021-01-26,1023.0,Molding & Casting
34,2021-01-27,1023.0,Molding & Casting
35,2021-01-28,1023.0,Molding & Casting
36,2021-01-29,575.0,Molding & Casting
37,2021-01-30,575.0,Molding & Casting
38,2021-01-31,575.0,Molding & Casting
39,2021-02-01,1467.0,Molding & Casting
40,2021-02-02,1425.0,Molding & Casting
41,2021-02-03,1854.0,Molding & Casting
42,2021-02-04,1854.0,Molding & Casting
43,2021-02-05,1854.0,Molding & Casting
44,2021-02-06,915.0,Molding & Casting
45,2021-02-07,970.0,Molding & Casting
46,2021-02-08,970.0,Molding & Casting
47,2021-02-09,1021.0,Molding & Casting
48,2021-02-10,1404.0,Molding & Casting
49,2021-02-11,1404.0,Molding & Casting
50,2021-02-12,889.0,Molding & Casting
51,2021-02-13,889.0,Molding & Casting
52,2021-02-14,826.0,Molding & Casting
53,2021-02-15,826.0,Molding & Casting
54,2021-02-16,1228.0,Molding & Casting
55,2021-02-17,1594.0,Molding & Casting
56,2021-02-18,1594.0,Molding & Casting
57,2021-02-19,1594.0,Molding & Casting
58,2021-02-20,1323.0,Molding & Casting
59,2021-02-21,1323.0,Molding & Casting
60,2021-02-22,3404.0,Molding & Casting
61,2021-02-23,4099.0,Molding & Casting
62,2021-02-24,4695.0,Molding & Casting
63,2021-02-25,4695.0,Molding & Casting
64,2021-02-26,5431.0,Molding & Casting
65,2021-02-27,3699.0,Molding & Casting
66,2021-02-28,3699.0,Molding & Casting
67,2021-03-01,1420.0,Molding & Casting
68,2021-03-02,1590.0,Molding & Casting
69,2021-03-03,1590.0,Molding & Casting
70,2021-03-04,2140.0,Molding & Casting
71,2021-03-05,2482.0,Molding & Casting
72,2021-03-06,2482.0,Molding & Casting
73,2021-03-07,2482.0,Molding & Casting
74,2021-03-08,2482.0,Molding & Casting
75,2021-03-09,2373.0,Molding & Casting
76,2021-03-10,2157.0,Molding & Casting
77,2021-03-11,2157.0,Molding & Casting
78,2021-03-12,2157.0,Molding & Casting
79,2021-03-13,1830.0,Molding & Casting
80,2021-03-14,1830.0,Molding & Casting
81,2021-03-15,1942.0,Molding & Casting
82,2021-03-16,2384.0,Molding & Casting
83,2021-03-17,2384.0,Molding & Casting
84,2021-03-18,2384.0,Molding & Casting
85,2021-03-19,1449.0,Molding & Casting
86,2021-03-20,1158.0,Molding & Casting
87,2021-03-21,1158.0,Molding & Casting
88,2021-03-22,2695.0,Molding & Casting
89,2021-03-23,2342.0,Molding & Casting
90,2021-03-24,1948.0,Molding & Casting
91,2021-03-25,2575.0,Molding & Casting
92,2021-03-26,2575.0,Molding & Casting
93,2021-03-27,2575.0,Molding & Casting
94,2021-03-28,1801.0,Molding & Casting
95,2021-03-29,1801.0,Molding & Casting
96,2021-03-30,1634.0,Molding & Casting
97,2021-03-31,1634.0,Molding & Casting
98,2021-04-01,1697.0,Molding & Casting
99,2021-04-02,814.0,Molding & Casting
100,2021-04-03,879.0,Molding & Casting
101,2021-04-04,815.0,Molding & Casting
102,2021-04-05,815.0,Molding & Casting
103,2021-04-06,1343.0,Molding & Casting
104,2021-04-07,1720.0,Molding & Casting
105,2021-04-08,1720.0,Molding & Casting
106,2021-04-09,1250.0,Molding & Casting
107,2021-04-10,1250.0,Molding & Casting
108,2021-04-11,1715.0,Molding & Casting
109,2021-04-12,1660.0,Molding & Casting
110,2021-04-13,2289.0,Molding & Casting
111,2021-04-14,1373.0,Molding & Casting
112,2021-04-15,1868.0,Molding & Casting
113,2021-04-16,613.0,Molding & Casting
114,2021-04-17,976.0,Molding & Casting
115,2021-04-18,1214.0,Molding & Casting
116,2021-04-19,1214.0,Molding & Casting
117,2021-04-20,1710.0,Molding & Casting
118,2021-04-21,1269.0,Molding & Casting
119,2021-04-22,1335.0,Molding & Casting
120,2021-04-23,1453.0,Molding & Casting
121,2021-04-24,1233.0,Molding & Casting
122,2021-04-25,535.0,Molding & Casting
123,2021-04-26,1183.0,Molding & Casting
124,2021-04-27,1343.0,Molding & Casting
125,2021-04-28,1343.0,Molding & Casting
126,2021-04-29,1343.0,Molding & Casting
127,2021-04-30,1659.0,Molding & Casting
128,2021-05-01,1659.0,Molding & Casting
129,2021-05-02,2762.0,Molding & Casting
130,2021-05-03,1493.0,Molding & Casting
131,2021-05-04,1071.0,Molding & Casting
132,2021-05-05,1071.0,Molding & Casting
133,2021-05-06,1842.0,Molding & Casting
134,2021-05-07,1842.0,Molding & Casting
135,2021-05-08,1833.0,Molding & Casting
136,2021-05-09,1748.0,Molding & Casting
137,2021-05-10,2982.0,Molding & Casting
138,2021-05-11,2530.0,Molding & Casting
139,2021-05-12,2530.0,Molding & Casting
140,2021-05-13,2578.0,Molding & Casting
141,2021-05-14,2488.0,Molding & Casting
142,2021-05-15,1885.0,Molding & Casting
143,2021-05-16,1574.0,Molding & Casting
144,2021-05-17,1574.0,Molding & Casting
145,2021-05-18,1392.0,Molding & Casting
146,2021-05-19,1219.0,Molding & Casting
147,2021-05-20,1412.0,Molding & Casting
148,2021-05-21,1400.0,Molding & Casting
149,2021-05-22,1400.0,Molding & Casting
150,2021-05-23,1709.0,Molding & Casting
151,2021-05-24,1543.0,Molding & Casting
152,2021-05-25,1543.0,Molding & Casting
153,2021-05-26,2290.0,Molding & Casting
154,2021-05-27,2077.0,Molding & Casting
155,2021-05-28,1767.0,Molding & Casting
156,2021-05-29,2184.0,Molding & Casting
157,2021-05-30,1469.0,Molding & Casting
158,2021-05-31,742.0,Molding & Casting
159,2021-06-01,738.0,Molding & Casting
160,2021-06-02,1167.0,Molding & Casting
161,2021-06-03,553.0,Molding & Casting
162,2021-06-04,493.0,Molding & Casting
163,2021-06-05,533.0,Molding & Casting
164,2021-06-06,533.0,Molding & Casting
165,2021-06-07,233.0,Molding & Casting
166,2021-06-08,432.0,Molding & Casting
167,2021-06-09,432.0,Molding & Casting
168,2021-06-10,407.0,Molding & Casting
169,2021-06-11,407.0,Molding & Casting
170,2021-06-12,760.0,Molding & Casting
171,2021-06-13,760.0,Molding & Casting
172,2021-06-14,425.0,Molding & Casting
173,2021-06-15,1067.0,Molding & Casting
174,2021-06-16,1409.0,Molding & Casting
175,2021-06-17,1409.0,Molding & Casting
176,2021-06-18,1030.0,Molding & Casting
177,2021-06-19,1030.0,Molding & Casting
178,2021-06-20,303.0,Molding & Casting
179,2021-06-21,491.0,Molding & Casting
180,2021-06-22,465.0,Molding & Casting
181,2021-06-23,158.0,Molding & Casting
182,2021-06-24,324.0,Molding & Casting
183,2021-06-25,368.0,Molding & Casting
