,date,value,name_B086P9HXSC
0,2020-08-06,115678.0,Tablecloths
1,2020-08-07,115678.0,Tablecloths
2,2020-08-08,115678.0,Tablecloths
3,2020-08-09,115678.0,Tablecloths
4,2020-08-10,115678.0,Tablecloths
5,2020-08-11,115678.0,Tablecloths
6,2020-08-12,115678.0,Tablecloths
7,2020-08-13,115678.0,Tablecloths
8,2020-08-14,60138.0,Tablecloths
9,2020-08-15,60138.0,Tablecloths
10,2020-08-16,60138.0,Tablecloths
11,2020-08-17,102905.0,Tablecloths
12,2020-08-18,102905.0,Tablecloths
13,2020-08-19,102905.0,Tablecloths
14,2020-08-20,82196.0,Tablecloths
15,2020-08-21,82196.0,Tablecloths
16,2020-08-22,166228.0,Tablecloths
17,2020-08-23,166228.0,Tablecloths
18,2020-08-24,166228.0,Tablecloths
19,2020-08-25,112130.0,Tablecloths
20,2020-08-26,112130.0,Tablecloths
21,2020-08-27,112130.0,Tablecloths
22,2020-08-28,112130.0,Tablecloths
23,2020-08-29,132979.0,Tablecloths
24,2020-08-30,132979.0,Tablecloths
25,2020-08-31,132979.0,Tablecloths
26,2020-09-01,132979.0,Tablecloths
27,2020-09-02,132979.0,Tablecloths
28,2020-09-03,132979.0,Tablecloths
29,2020-09-04,132979.0,Tablecloths
30,2020-09-05,89613.0,Tablecloths
31,2020-09-06,89613.0,Tablecloths
32,2020-09-07,89613.0,Tablecloths
33,2020-09-08,89613.0,Tablecloths
34,2020-09-09,89613.0,Tablecloths
35,2020-09-10,89613.0,Tablecloths
36,2020-09-11,89613.0,Tablecloths
37,2020-09-12,100709.0,Tablecloths
38,2020-09-13,100709.0,Tablecloths
39,2020-09-14,100709.0,Tablecloths
40,2020-09-15,100709.0,Tablecloths
41,2020-09-16,100709.0,Tablecloths
42,2020-09-17,100709.0,Tablecloths
43,2020-09-18,100709.0,Tablecloths
44,2020-09-19,100709.0,Tablecloths
45,2020-09-20,155158.0,Tablecloths
46,2020-09-21,155158.0,Tablecloths
47,2020-09-22,155158.0,Tablecloths
48,2020-09-23,155158.0,Tablecloths
49,2020-09-24,155158.0,Tablecloths
50,2020-09-25,177849.0,Tablecloths
51,2020-09-26,177849.0,Tablecloths
52,2020-09-27,177849.0,Tablecloths
53,2020-09-28,99326.0,Tablecloths
54,2020-09-29,99326.0,Tablecloths
55,2020-09-30,99326.0,Tablecloths
56,2020-10-01,99326.0,Tablecloths
57,2020-10-02,82831.0,Tablecloths
58,2020-10-03,82831.0,Tablecloths
59,2020-10-04,82831.0,Tablecloths
60,2020-10-05,74640.0,Tablecloths
61,2020-10-06,74640.0,Tablecloths
62,2020-10-07,74640.0,Tablecloths
63,2020-10-08,74640.0,Tablecloths
64,2020-10-09,74640.0,Tablecloths
65,2020-10-10,74640.0,Tablecloths
66,2020-10-11,74640.0,Tablecloths
67,2020-10-12,177595.0,Tablecloths
68,2020-10-13,177595.0,Tablecloths
69,2020-10-14,177595.0,Tablecloths
70,2020-10-15,177595.0,Tablecloths
71,2020-10-16,177595.0,Tablecloths
72,2020-10-17,177595.0,Tablecloths
73,2020-10-18,177595.0,Tablecloths
74,2020-10-19,177595.0,Tablecloths
75,2020-10-20,177595.0,Tablecloths
76,2020-10-21,177595.0,Tablecloths
77,2020-10-22,177595.0,Tablecloths
78,2020-10-23,177595.0,Tablecloths
79,2020-10-24,177595.0,Tablecloths
80,2020-10-25,177595.0,Tablecloths
81,2020-10-26,177595.0,Tablecloths
82,2020-10-27,177595.0,Tablecloths
83,2020-10-28,177595.0,Tablecloths
84,2020-10-29,177595.0,Tablecloths
